  subjects puzzleID numCities mas nos undo_c leftover numError sumSeverityErrors numUNDO TT
1 27 11 11 13 1 14.963302 0 0 0 25.173000
1 28 8 9 2 1 34.742995 5 5 11 63.958000
1 22 9 9 31 1 20.823250 0 0 0 20.084000
1 19 8 8 12 1 0.456886 0 0 2 41.529000
1 3 10 10 34 1 3.498413 0 0 0 22.450000
1 16 6 9 13 1 32.609948 1 3 0 39.598000
1 15 7 9 4 1 46.766335 1 2 0 11.574000
1 6 10 10 180 1 13.224729 0 0 0 34.197000
1 0 9 9 104 1 13.885006 0 0 0 30.424000
1 8 9 9 10 1 24.940695 1 1 6 52.997000
1 40 9 9 8 1 21.686618 1 1 5 32.445000
1 12 8 9 2 1 44.389670 1 1 0 12.512000
1 13 11 11 60 1 12.382920 0 0 0 18.505000
1 9 9 10 2 1 2.350983 1 1 0 22.046000
1 5 8 9 5 1 40.938247 1 1 0 11.237000
1 7 9 9 3 1 10.842372 0 0 0 10.395000
1 10 9 9 1 1 2.312216 0 0 0 15.425000
1 35 11 11 5 1 8.275174 0 0 0 25.912000
1 32 10 10 17 1 30.247948 0 0 1 22.758000
1 36 9 10 2 1 2.619890 1 1 0 18.740000
1 23 9 10 76 1 15.559326 2 2 1 24.225000
1 31 10 10 2 1 20.955461 1 1 4 44.960000
1 41 10 10 1 1 0.389893 1 1 4 55.639000
1 21 8 9 84 0 22.745422 1 1 0 23.598000
1 28 6 9 2 0 48.427266 3 3 0 10.053000
1 20 8 9 1 0 11.292711 1 1 0 11.823000
1 11 12 12 6 0 1.150033 0 0 0 31.002000
1 32 10 10 17 0 30.247948 0 0 0 17.985000
1 3 10 10 34 0 3.498413 0 0 0 20.116000
1 37 7 10 6 0 2.276795 1 3 0 12.801000
1 6 10 10 180 0 26.527954 0 0 0 24.862000
1 19 6 8 12 0 10.336387 2 2 0 35.673000
1 25 10 10 5 0 11.524457 0 0 0 63.785000
1 43 11 12 16 0 37.279393 1 1 0 24.327000
1 30 8 8 5 0 2.111218 0 0 0 45.188000
1 44 7 7 13 0 6.619204 0 0 0 28.861000
1 34 10 10 12 0 18.607893 0 0 0 15.001000
1 17 7 8 2 0 33.814995 1 1 0 11.079000
1 39 9 10 1 0 24.724245 1 1 0 22.669000
1 13 10 11 60 0 37.621673 1 1 0 28.114000
1 15 8 9 4 0 37.489290 1 1 0 25.056000
1 35 8 11 5 0 30.438575 2 3 0 24.024000
1 8 9 9 10 0 24.940695 0 0 0 10.728000
1 27 11 11 13 0 13.318927 0 0 0 25.499000
1 36 9 10 2 0 22.917512 1 1 0 28.452000
1 38 8 9 33 0 26.081883 1 1 0 18.180000
1 22 9 9 31 0 20.823250 0 0 0 19.304000
1 9 10 10 2 0 6.857811 0 0 0 27.808000
1 14 10 10 8 0 1.720988 0 0 0 81.601000
1 45 10 10 6 0 8.153328 0 0 0 64.564000
1 42 9 9 16 0 14.438090 0 0 0 20.019000
1 1 7 7 6 0 3.696353 0 0 0 17.732000
1 18 9 10 3 0 2.502269 1 1 0 11.711000
1 41 9 10 1 0 49.216224 1 1 0 102.560000
1 29 9 9 1 0 11.765758 0 0 0 26.265000
1 33 9 9 5 0 15.378267 0 0 0 15.873000
1 2 10 10 70 0 28.398264 0 0 0 14.007000
1 16 9 9 13 0 20.334262 0 0 0 22.669000
1 23 9 10 76 0 69.863076 1 1 0 14.369000
1 26 7 9 9 0 20.316615 1 2 0 10.375000
1 24 10 10 4 0 6.333418 0 0 0 20.614000
1 10 9 9 1 0 2.312216 0 0 0 12.757000
1 5 8 9 5 0 40.938247 1 1 0 128.257000
1 12 6 9 2 0 12.909773 2 3 0 8.982000
1 40 9 9 8 0 21.686618 0 0 0 12.706000
1 7 8 9 3 0 23.610589 1 1 0 12.221000
1 31 9 10 2 0 56.385707 1 1 0 16.237000
1 0 9 9 104 0 25.540909 0 0 0 16.164000
1 4 9 10 4 0 24.302558 1 1 0 15.836000
1 26 8 9 9 1 45.980561 1 1 0 15.344000
1 14 10 10 8 1 11.890226 0 0 0 14.748000
1 38 8 9 33 1 30.443581 1 1 0 19.021000
1 42 9 9 16 1 14.438090 0 0 0 24.217000
