"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-27.3025850929939,1767853.70207539,-1.5443916575756e-05,0.999987677537406
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-3.57510328087902e-16,34742.4834880478,-1.0290292811419e-20,1
"4","NOS",-5.83608920847219e-16,7593.0883745555,-7.68605463361782e-20,1
"5","NUMERROR",-3.12818796212899e-14,706428.26495903,-4.42817497160934e-20,1
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",2.53999903786833e-18,144.826535173986,1.75382158719527e-20,1
"10","LEFTOVER:NUMERROR",-3.36429155827456e-17,3172.72514812447,-1.06037913818767e-20,1
"11","NOS:NUMERROR",1.47099868471826e-16,3084.43932691165,4.76909586738774e-20,1
