"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",3.03536273812552,0.502461590612042,6.04098461422331,1.5317658673168e-09
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-0.136446621518298,0.0205206684483185,-6.64922889144376,2.94632505236777e-11
"4","NOS",-0.00754643876605274,0.00340695690062515,-2.21500857984673,0.026759475620862
"5","UNDO",3.11550145839777,0.617852807623043,5.04246548685843,4.59571664806193e-07
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",0.00109777080201103,0.000134341197702764,8.17151269143734,3.04546460658287e-16
"10","LEFTOVER:UNDO",0.0331367089334058,0.00733897012849198,4.51517152314868,6.32655387789231e-06
"11","NOS:UNDO",-0.0335088813438584,0.00572221958802291,-5.85592370729627,4.74365960854285e-09
