condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,114,-1,8,157,10,0.0
basic,0,14,0,0,0,15,"[0, 15]",2,20,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",216.7053423,15572,15458,8,102,10,1.0
basic,0,14,0,0,0,28,"[0, 15, 28]",3,17,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 22, 23, 25, 26, 27]",197.4959696,16675,1103,8,48,10,1.0446007867311968
basic,0,14,0,0,0,17,"[0, 15, 28, 17]",4,14,"[1, 2, 3, 4, 7, 8, 13, 18, 19, 20, 22, 23, 25, 26]",184.0423455,17739,1064,8,39,10,1.0729463354689972
basic,0,14,0,0,0,18,"[0, 15, 28, 17, 18]",5,9,"[1, 2, 4, 7, 8, 19, 23, 25, 26]",119.412631,20109,2370,8,27,10,1.5035901079219378
basic,0,14,0,0,0,8,"[0, 15, 28, 17, 18, 8]",6,8,"[1, 2, 4, 7, 19, 23, 25, 26]",105.8111605,21420,1311,8,18,10,1.4819689987843856
basic,0,14,0,0,0,1,"[0, 15, 28, 17, 18, 8, 1]",7,5,"[7, 19, 23, 25, 26]",82.21031307,25071,3651,4,6,10,1.4084991998385268
basic,0,14,0,0,0,19,"[0, 15, 28, 17, 18, 8, 1, 19]",8,4,"[7, 23, 25, 26]",66.97876686,26396,1325,4,1,10,1.5758713333797987
basic,0,14,0,0,0,25,"[0, 15, 28, 17, 18, 8, 1, 19, 25]",9,2,"[7, 23]",31.1318702,32071,5675,2,0,10,1.6426186864061416
basic,0,14,0,0,1,7,"[0, 15, 28, 17, 18, 8, 1, 19, 25, 7]",10,0,[],11.4341546,33021,950,1,0,10,1.652323224159132
