condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,41,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,369,-1,1,143,10,0.0
basic,0,41,0,0,0,13,"[0, 13]",2,23,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",258.2747079,19197,18828,1,55,10,1.0
basic,0,41,0,0,0,28,"[0, 13, 28]",3,22,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]",223.7928286,20139,942,1,39,10,1.895724242592676
basic,0,41,0,0,0,5,"[0, 13, 28, 5]",4,19,"[1, 2, 3, 6, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27]",210.1913581,20906,767,1,34,10,2.861541269398273
basic,0,41,0,0,0,3,"[0, 13, 28, 5, 3]",5,16,"[1, 2, 6, 9, 10, 12, 14, 17, 18, 19, 20, 21, 22, 24, 25, 27]",175.3632086,21989,1083,1,22,10,3.1455488489005883
basic,0,41,0,0,0,21,"[0, 13, 28, 5, 3, 21]",6,14,"[1, 2, 6, 9, 10, 12, 14, 17, 18, 19, 20, 22, 25, 27]",143.2228912,22804,815,13,11,9,3.207558429289677
basic,0,41,0,0,0,9,"[0, 13, 28, 5, 3, 21, 9]",7,6,"[1, 2, 10, 12, 14, 17]",93.85691102,23786,982,7,4,9,2.5050148501792275
basic,0,41,0,0,0,2,"[0, 13, 28, 5, 3, 21, 9, 2]",8,5,"[1, 10, 12, 14, 17]",81.77386505,24751,965,5,0,9,2.4119643847713177
basic,0,41,0,0,1,17,"[0, 13, 28, 5, 3, 21, 9, 2, 17]",9,0,[],49.21622385,26116,1365,1,0,9,3.9563478735796007
basic,0,41,0,1,1,17,"[0, 13, 28, 5, 3, 21, 9, 2, 17]",9,0,[],49.21622385,30836,4720,1,0,9,3.9563478735796007
basic,1,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,374,-1,16,302,9,0.0
basic,1,42,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",191.2939744,8941,8567,1,22,9,1.0
basic,1,42,0,0,0,4,"[0, 5, 4]",3,23,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",171.4445412,10076,1135,1,14,9,1.420957801478707
basic,1,42,0,0,0,22,"[0, 5, 4, 22]",4,20,"[1, 2, 3, 6, 7, 8, 9, 11, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29]",160.2642013,10942,866,1,11,9,1.5771494659680896
basic,1,42,0,0,0,8,"[0, 5, 4, 22, 8]",5,14,"[1, 2, 3, 6, 7, 11, 15, 18, 19, 24, 25, 26, 27, 29]",138.1282577,12188,1246,1,10,9,1.5055393955524201
basic,1,42,0,0,0,1,"[0, 5, 4, 22, 8, 1]",6,5,"[2, 7, 19, 26, 27]",89.03650682,13239,1051,1,7,9,1.3547259083637835
basic,1,42,0,0,0,7,"[0, 5, 4, 22, 8, 1, 7]",7,4,"[2, 19, 26, 27]",59.03650682,14290,1051,1,3,9,1.3909715672447451
basic,1,42,0,0,0,26,"[0, 5, 4, 22, 8, 1, 7, 26]",8,1,[27],32.46584631,17049,2759,1,0,9,1.3511825943939393
basic,1,42,0,0,1,27,"[0, 5, 4, 22, 8, 1, 7, 26, 27]",9,0,[],14.43808994,18398,1349,1,0,9,1.3391911688802078
basic,1,42,0,1,1,27,"[0, 5, 4, 22, 8, 1, 7, 26, 27]",9,0,[],14.43808994,20235,1837,1,0,9,1.3391911688802078
basic,2,17,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",300,351,-1,2,73,8,0.0
basic,2,17,0,0,0,9,"[0, 9]",2,25,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",210.5293344,20031,19680,1,34,8,1.0
basic,2,17,0,0,0,16,"[0, 9, 16]",3,21,"[1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",197.1876704,20966,935,1,26,8,1.173103464220352
basic,2,17,0,0,0,2,"[0, 9, 16, 2]",4,18,"[1, 3, 5, 7, 8, 10, 11, 12, 14, 17, 18, 19, 23, 25, 26, 27, 28, 29]",181.0631549,21946,980,1,23,8,1.14825089247282
basic,2,17,0,0,0,10,"[0, 9, 16, 2, 10]",5,4,"[3, 11, 23, 28]",71.04042993,24365,2419,3,2,7,1.2629477265421833
basic,2,17,0,0,0,3,"[0, 9, 16, 2, 10, 3]",6,2,"[11, 28]",44.41337602,30220,5855,2,0,7,1.349216507765288
basic,2,17,0,0,1,28,"[0, 9, 16, 2, 10, 3, 28]",7,0,[],10.41337602,31402,1182,1,0,7,1.3953915984988103
basic,2,17,0,1,1,28,"[0, 9, 16, 2, 10, 3, 28]",7,0,[],10.41337602,32473,1071,1,0,7,1.3953915984988103
basic,3,29,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,374,-1,1,78,9,0.0
basic,3,29,0,0,0,27,"[0, 27]",2,24,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 29]",191.6579491,7094,6720,23,138,7,1.0
basic,3,29,0,0,0,22,"[0, 27, 22]",3,20,"[1, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 21, 23, 25, 26, 28, 29]",158.4164088,8297,1203,13,54,7,1.2104699216674117
basic,3,29,0,0,0,12,"[0, 27, 22, 12]",4,11,"[4, 5, 7, 9, 13, 14, 21, 23, 26, 28, 29]",120.4690769,9475,1178,9,16,7,1.1629201815610561
basic,3,29,0,0,0,7,"[0, 27, 22, 12, 7]",5,8,"[4, 5, 9, 13, 14, 21, 26, 28]",106.8676064,10678,1203,8,4,7,1.1744097803837283
basic,3,29,0,0,0,5,"[0, 27, 22, 12, 7, 5]",6,2,"[13, 14]",43.33808566,11921,1243,2,0,7,2.0655598400659714
basic,3,29,0,0,1,13,"[0, 27, 22, 12, 7, 5, 13]",7,0,[],17.6281654,13269,1348,1,0,7,2.608634060768182
basic,3,29,0,1,1,13,"[0, 27, 22, 12, 7, 5, 13]",7,0,[],17.6281654,14791,1522,1,0,7,2.608634060768182
basic,4,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,358,-1,2,200,10,0.0
basic,4,36,0,0,0,9,"[0, 9]",2,16,"[2, 4, 8, 10, 12, 13, 16, 17, 18, 19, 23, 25, 26, 27, 28, 29]",230.9348134,9425,9067,81,367,8,1.0
basic,4,36,0,0,0,17,"[0, 9, 17]",3,13,"[2, 4, 8, 10, 12, 13, 16, 18, 19, 23, 25, 27, 29]",204.6860039,10660,1235,22,90,8,1.0084584538853834
basic,4,36,0,0,0,19,"[0, 9, 17, 19]",4,12,"[2, 4, 8, 10, 12, 13, 16, 18, 23, 25, 27, 29]",176.7933525,11712,1052,8,25,8,1.5984695375617641
basic,4,36,0,0,0,2,"[0, 9, 17, 19, 2]",5,8,"[8, 10, 12, 13, 16, 18, 25, 27]",139.6719302,12888,1176,3,6,8,1.4197222355264698
basic,4,36,0,0,0,25,"[0, 9, 17, 19, 2, 25]",6,4,"[10, 12, 13, 16]",114.6719302,14056,1168,2,3,8,1.618724672336267
basic,4,36,0,0,0,13,"[0, 9, 17, 19, 2, 25, 13]",7,2,"[10, 12]",94.08066987,15172,1116,2,0,8,2.099469552875175
basic,4,36,0,0,1,12,"[0, 9, 17, 19, 2, 25, 13, 12]",8,0,[],14.90365301,17469,2297,1,0,8,12.840093699859885
basic,4,36,0,1,1,12,"[0, 9, 17, 19, 2, 25, 13, 12]",8,0,[],14.90365301,18821,1352,1,0,8,12.840093699859885
basic,5,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,359,-1,3,136,10,0.0
basic,5,18,0,0,0,25,"[0, 25]",2,22,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 16, 18, 19, 20, 21, 23, 24, 26, 27, 28]",239.9916672,8547,8188,7,151,9,1.0
basic,5,18,0,0,0,8,"[0, 25, 8]",3,18,"[1, 2, 3, 5, 7, 9, 10, 12, 13, 14, 16, 18, 20, 21, 23, 26, 27, 28]",202.9376526,9743,1196,4,45,9,1.0260955462572583
basic,5,18,0,0,0,13,"[0, 25, 8, 13]",4,16,"[1, 3, 5, 7, 9, 10, 12, 14, 16, 18, 20, 21, 23, 26, 27, 28]",181.8426295,13005,3262,3,20,9,1.2569221801369617
basic,5,18,0,0,0,14,"[0, 25, 8, 13, 14]",5,13,"[3, 5, 7, 9, 10, 12, 16, 18, 21, 23, 26, 27, 28]",162.8689635,13842,837,3,12,9,1.2231659856162418
basic,5,18,0,0,0,3,"[0, 25, 8, 13, 14, 3]",6,8,"[5, 7, 9, 12, 23, 26, 27, 28]",132.7857456,15021,1179,3,6,9,1.366392221372545
basic,5,18,0,0,0,5,"[0, 25, 8, 13, 14, 3, 5]",7,2,"[12, 27]",74.6049928,16238,1217,1,1,9,1.2610806019335608
basic,5,18,0,0,0,12,"[0, 25, 8, 13, 14, 3, 5, 12]",8,1,[27],63.20323855,17488,1250,1,0,9,1.2762589009967817
basic,5,18,0,0,1,27,"[0, 25, 8, 13, 14, 3, 5, 12, 27]",9,0,[],22.48469241,19151,1663,1,0,9,1.4075470288984155
basic,5,18,0,1,1,27,"[0, 25, 8, 13, 14, 3, 5, 12, 27]",9,0,[],22.48469241,20620,1469,1,0,9,1.4075470288984155
basic,6,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,350,-1,5,108,9,0.0
basic,6,33,0,0,0,19,"[0, 19]",2,15,"[2, 5, 7, 11, 13, 14, 16, 17, 18, 20, 21, 24, 26, 28, 29]",132.4261357,12023,11673,1,36,7,1.0
basic,6,33,0,0,0,24,"[0, 19, 24]",3,10,"[7, 13, 14, 16, 17, 18, 21, 26, 28, 29]",90.37854361,14888,2865,1,7,7,1.0295744364098542
basic,6,33,0,0,0,7,"[0, 19, 24, 7]",4,3,"[14, 26, 29]",61.17237987,15954,1066,1,3,7,1.1207254556424748
basic,6,33,0,0,0,14,"[0, 19, 24, 7, 14]",5,2,"[26, 29]",46.30631113,17366,1412,1,1,7,1.1693933826129768
basic,6,33,0,0,0,26,"[0, 19, 24, 7, 14, 26]",6,1,[29],33.65720049,18567,1201,1,0,7,1.177252459558968
basic,6,33,0,0,1,29,"[0, 19, 24, 7, 14, 26, 29]",7,0,[],5.764549123,21296,2729,1,0,7,1.3988234288262205
basic,6,33,0,1,1,29,"[0, 19, 24, 7, 14, 26, 29]",7,0,[],5.764549123,22585,1289,1,0,7,1.3988234288262205
