condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,105,-1,3,79,9,0.0
undo,0,7,0,0,0,23,"[0, 23]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",253.7290588,4278,4173,6,103,8,1.0
undo,0,7,0,0,0,16,"[0, 23, 16]",3,20,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 18, 19, 20, 22, 24, 25, 27, 29]",164.6223812,8045,3767,12,52,7,1.0510824079114807
undo,0,7,0,0,0,14,"[0, 23, 16, 14]",4,7,"[1, 5, 10, 11, 22, 24, 29]",116.9883597,15124,7079,4,9,7,1.2073205725097695
undo,0,7,0,0,0,5,"[0, 23, 16, 14, 5]",5,6,"[1, 10, 11, 22, 24, 29]",101.9883597,18061,2937,4,3,7,1.2533135392642498
undo,0,7,0,0,0,10,"[0, 23, 16, 14, 5, 10]",6,1,[11],42.52408471,20581,2520,1,0,7,1.845859628221461
undo,0,7,0,0,1,11,"[0, 23, 16, 14, 5, 10, 11]",7,0,[],0.738919879,22735,2154,1,0,7,1.6538810426195594
undo,0,7,0,1,1,11,"[0, 23, 16, 14, 5, 10, 11]",7,0,[],0.738919879,25419,2684,1,0,7,1.6538810426195594
undo,1,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,171,-1,8,157,10,0.0
undo,1,14,0,0,0,18,"[0, 18]",2,17,"[1, 2, 3, 4, 7, 8, 9, 13, 15, 17, 19, 20, 22, 23, 25, 26, 28]",179.8958785,7090,6919,18,136,9,1.0
undo,1,14,0,0,0,8,"[0, 18, 8]",3,13,"[1, 2, 4, 7, 13, 15, 17, 19, 20, 23, 25, 26, 28]",166.294408,8355,1265,18,99,9,1.0203858410107731
undo,1,14,0,0,0,1,"[0, 18, 8, 1]",4,10,"[2, 4, 7, 15, 17, 19, 23, 25, 26, 28]",142.6935606,10357,2002,11,42,9,1.0173392374431458
undo,1,14,0,0,0,19,"[0, 18, 8, 1, 19]",5,9,"[2, 4, 7, 15, 17, 23, 25, 26, 28]",127.4620143,12350,1993,11,22,9,1.1668364376922102
undo,1,14,0,0,0,25,"[0, 18, 8, 1, 19, 25]",6,5,"[2, 4, 7, 23, 26]",91.61511768,14876,2526,5,7,9,1.273103293863789
undo,1,14,0,0,0,23,"[0, 18, 8, 1, 19, 25, 23]",7,3,"[4, 7, 26]",62.20423534,16966,2090,2,2,9,1.2650679654635444
undo,1,14,0,0,0,26,"[0, 18, 8, 1, 19, 25, 23, 26]",8,2,"[4, 7]",51.38758152,18045,1079,2,0,9,1.2530957004441798
undo,1,14,0,0,1,7,"[0, 18, 8, 1, 19, 25, 23, 26, 7]",9,0,[],6.287692383,20996,2951,1,0,9,1.6817917810897667
undo,1,14,0,1,1,7,"[0, 18, 8, 1, 19, 25, 23, 26, 7]",9,0,[],6.287692383,23113,2117,1,0,9,1.6817917810897667
undo,2,23,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,131,-1,76,2626,10,0.0
undo,2,23,0,0,0,18,"[0, 18]",2,14,"[2, 5, 6, 7, 9, 10, 12, 13, 14, 19, 21, 22, 27, 29]",203.8958898,7487,7356,73,787,9,1.0
undo,2,23,0,0,0,27,"[0, 18, 27]",3,9,"[2, 6, 7, 9, 12, 13, 14, 22, 29]",128.5832083,8922,1435,51,277,9,1.1972268052690318
undo,2,23,0,0,0,6,"[0, 18, 27, 6]",4,8,"[2, 7, 9, 12, 13, 14, 22, 29]",100.2812649,10887,1965,43,68,9,1.3293035545030156
undo,2,23,0,0,0,2,"[0, 18, 27, 6, 2]",5,6,"[9, 12, 13, 14, 22, 29]",81.84217594,13106,2219,16,17,9,1.5987085337271232
undo,2,23,0,0,0,12,"[0, 18, 27, 6, 2, 12]",6,5,"[9, 13, 14, 22, 29]",67.94973195,14328,1222,4,5,9,1.8929166061978238
undo,2,23,0,0,0,13,"[0, 18, 27, 6, 2, 12, 13]",7,3,"[9, 14, 22]",55.86668598,15888,1560,2,1,9,2.205763785795194
undo,2,23,0,0,0,9,"[0, 18, 27, 6, 2, 12, 13, 9]",8,1,[14],31.84586168,17889,2001,1,0,9,2.0524872333624122
undo,2,23,0,0,1,14,"[0, 18, 27, 6, 2, 12, 13, 9, 14]",9,0,[],21.40555517,19768,1879,1,0,9,1.9773893774704039
undo,2,23,0,1,1,14,"[0, 18, 27, 6, 2, 12, 13, 9, 14]",9,0,[],21.40555517,21346,1578,1,0,9,1.9773893774704039
undo,3,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,110,-1,5,236,11,0.0
undo,3,35,0,0,0,27,"[0, 27]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",278.7867966,5548,5438,5,144,11,1.0
undo,3,35,0,0,0,24,"[0, 27, 24]",3,25,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29]",234.6053525,8215,2667,3,80,11,2.1084080567904624
undo,3,35,0,0,0,17,"[0, 27, 24, 17]",4,20,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 15, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29]",222.9006526,9154,939,3,50,11,1.9439555968916868
