condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,112,-1,8,191,9,0.0
undo,0,40,0,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,7235,7123,4,80,9,1.0
undo,0,40,0,0,0,6,"[0, 1, 6]",3,17,"[2, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",227.7466295,7954,719,4,74,9,1.0459427008232034
undo,0,40,0,0,0,21,"[0, 1, 6, 21]",4,8,"[2, 5, 9, 17, 18, 19, 22, 23]",175.7754837,8982,1028,4,25,9,1.0308822257404064
undo,0,40,0,0,0,9,"[0, 1, 6, 21, 9]",5,6,"[2, 5, 18, 19, 22, 23]",130.0699041,9834,852,4,12,9,1.377861912961129
undo,0,40,0,0,0,18,"[0, 1, 6, 21, 9, 18]",6,5,"[2, 5, 19, 22, 23]",113.5169588,10676,842,4,4,9,1.5742712168661408
undo,0,40,0,0,0,23,"[0, 1, 6, 21, 9, 18, 23]",7,3,"[2, 5, 19]",79.51695879,11428,752,2,1,9,2.324611956726637
undo,0,40,0,0,0,19,"[0, 1, 6, 21, 9, 18, 23, 19]",8,1,[5],47.56386817,12265,837,1,0,9,2.460596854255639
undo,0,40,0,0,1,5,"[0, 1, 6, 21, 9, 18, 23, 19, 5]",9,0,[],9.485002643,13300,1035,1,0,9,2.3622228457215413
undo,0,40,1,0,0,19,"[0, 1, 6, 21, 9, 18, 23, 19]",8,1,[5],47.56386817,16334,3034,1,0,9,2.460596854255639
undo,0,40,1,0,0,23,"[0, 1, 6, 21, 9, 18, 23]",7,3,"[2, 5, 19]",79.51695879,16733,399,2,1,9,2.324611956726637
undo,0,40,1,0,0,18,"[0, 1, 6, 21, 9, 18]",6,5,"[2, 5, 19, 22, 23]",113.5169588,17033,300,4,4,9,1.5742712168661408
undo,0,40,1,0,0,9,"[0, 1, 6, 21, 9]",5,6,"[2, 5, 18, 19, 22, 23]",130.0699041,17348,315,4,12,9,1.377861912961129
undo,0,40,1,0,0,21,"[0, 1, 6, 21]",4,8,"[2, 5, 9, 17, 18, 19, 22, 23]",175.7754837,17581,233,4,25,9,1.0308822257404064
undo,0,40,1,0,0,6,"[0, 1, 6]",3,17,"[2, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",227.7466295,17814,233,4,74,9,1.0459427008232034
undo,0,40,1,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,18279,465,4,80,9,1.0
undo,0,40,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,18611,332,8,191,9,0.0
undo,0,40,0,0,0,2,"[0, 2]",2,28,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.7646581,20853,2242,4,79,9,1.0
undo,0,40,0,0,0,19,"[0, 2, 19]",3,22,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29]",194.4249148,21990,1137,19,105,8,1.02908296307533
undo,0,40,0,0,0,23,"[0, 2, 19, 23]",4,15,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 21, 22, 27, 29]",162.4718242,23805,1815,11,38,8,1.4499965171787688
undo,0,40,0,0,0,5,"[0, 2, 19, 23, 5]",5,10,"[1, 6, 7, 8, 9, 11, 18, 21, 22, 27]",134.1698808,24612,807,4,12,8,1.3483906154476113
undo,0,40,0,0,0,18,"[0, 2, 19, 23, 5, 18]",6,5,"[1, 6, 9, 21, 22]",102.594574,25580,968,3,3,8,1.6664768989460201
undo,0,40,0,0,0,9,"[0, 2, 19, 23, 5, 18, 9]",7,2,"[6, 21]",86.04162866,26136,556,2,0,8,1.7348609689602368
undo,0,40,0,0,1,21,"[0, 2, 19, 23, 5, 18, 9, 21]",8,0,[],40.33604914,27149,1013,1,0,8,2.1548319090303782
undo,0,40,1,0,0,9,"[0, 2, 19, 23, 5, 18, 9]",7,2,"[6, 21]",86.04162866,30130,2981,2,0,8,1.7348609689602368
undo,0,40,1,0,0,18,"[0, 2, 19, 23, 5, 18]",6,5,"[1, 6, 9, 21, 22]",102.594574,30379,249,3,3,8,1.6664768989460201
undo,0,40,1,0,0,5,"[0, 2, 19, 23, 5]",5,10,"[1, 6, 7, 8, 9, 11, 18, 21, 22, 27]",134.1698808,30612,233,4,12,8,1.3483906154476113
undo,0,40,1,0,0,23,"[0, 2, 19, 23]",4,15,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 21, 22, 27, 29]",162.4718242,30844,232,11,38,8,1.4499965171787688
undo,0,40,1,0,0,19,"[0, 2, 19]",3,22,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29]",194.4249148,31077,233,19,105,8,1.02908296307533
undo,0,40,1,0,0,2,"[0, 2]",2,28,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.7646581,31343,266,4,79,9,1.0
undo,0,40,0,0,0,1,"[0, 2, 1]",3,13,"[5, 6, 8, 9, 10, 13, 17, 18, 19, 21, 22, 23, 27]",197.9695215,34438,3095,3,32,9,1.9563451201211088
undo,0,40,0,0,0,6,"[0, 2, 1, 6]",4,10,"[5, 8, 9, 13, 17, 18, 19, 21, 22, 23]",177.8697703,35103,665,3,29,9,1.767962123020631
undo,0,40,0,0,0,21,"[0, 2, 1, 6, 21]",5,5,"[5, 9, 18, 19, 23]",125.8986245,35884,781,2,8,9,1.4447873803466464
undo,0,40,0,0,0,9,"[0, 2, 1, 6, 21, 9]",6,4,"[5, 18, 19, 23]",80.19304493,36729,845,2,4,9,1.782283650173066
undo,0,40,0,0,0,18,"[0, 2, 1, 6, 21, 9, 18]",7,3,"[5, 19, 23]",63.64009957,37339,610,2,1,9,1.995326683187404
undo,0,40,0,0,0,23,"[0, 2, 1, 6, 21, 9, 18, 23]",8,1,[5],29.64009957,38546,1207,1,0,9,2.8504770875343683
undo,0,40,0,0,1,5,"[0, 2, 1, 6, 21, 9, 18, 23, 5]",9,0,[],1.338156173,39625,1079,1,0,9,2.4284661275730834
undo,0,40,0,1,1,5,"[0, 2, 1, 6, 21, 9, 18, 23, 5]",9,0,[],1.338156173,40851,1226,1,0,9,2.4284661275730834
undo,1,31,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,129,-1,2,87,10,0.0
undo,1,31,0,0,0,14,"[0, 14]",2,25,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.861378,2868,2739,2,59,10,1.0
