condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,283,-1,6,248,10,0.0
basic,0,45,0,0,0,15,"[0, 15]",2,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",253.9022777,3340,3057,5,207,10,1.0
basic,0,45,0,0,0,23,"[0, 15, 23]",3,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 29]",230.3014303,4148,808,5,163,10,1.0006068457769497
basic,0,45,0,0,0,20,"[0, 15, 23, 20]",4,19,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 21, 22, 24, 25, 29]",188.8647316,5024,876,5,137,10,1.2062119754673604
basic,0,45,0,0,0,24,"[0, 15, 23, 20, 24]",5,14,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 17, 19, 21, 22, 29]",145.0355176,6158,1134,1,23,10,1.5044386356496664
basic,0,45,0,0,0,7,"[0, 15, 23, 20, 24, 7]",6,9,"[2, 3, 6, 10, 12, 17, 19, 22, 29]",110.6262165,7292,1134,1,22,10,1.4273775035809357
basic,0,45,0,0,0,2,"[0, 15, 23, 20, 24, 7, 2]",7,6,"[3, 6, 10, 12, 22, 29]",72.61306087,8409,1117,1,7,10,1.3566457419165387
basic,0,45,0,0,0,3,"[0, 15, 23, 20, 24, 7, 2, 3]",8,4,"[6, 10, 22, 29]",47.29508307,9463,1054,1,3,10,1.4087069987569252
basic,0,45,0,0,0,29,"[0, 15, 23, 20, 24, 7, 2, 3, 29]",9,1,[10],27.29508307,10174,711,1,0,10,1.6931989191216303
basic,0,45,0,0,1,10,"[0, 15, 23, 20, 24, 7, 2, 3, 29, 10]",10,0,[],5.754423843,12342,2168,1,0,10,1.9996819797033594
basic,0,45,0,1,1,10,"[0, 15, 23, 20, 24, 7, 2, 3, 29, 10]",10,0,[],5.754423843,13417,1075,1,0,10,1.9996819797033594
basic,1,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,16,302,9,0.0
basic,1,42,0,0,0,22,"[0, 22]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",211.3997743,7988,7824,5,83,9,1.0
basic,1,42,0,0,0,8,"[0, 22, 8]",3,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",189.2638306,8961,973,19,88,8,1.029936807841886
basic,1,42,0,0,0,1,"[0, 22, 8, 1]",4,14,"[2, 3, 4, 5, 6, 7, 10, 15, 18, 19, 24, 26, 27, 28]",140.1720798,9840,879,13,34,8,1.0263530486295833
basic,1,42,0,0,0,7,"[0, 22, 8, 1, 7]",5,10,"[2, 4, 5, 6, 15, 19, 24, 26, 27, 28]",110.1720798,10924,1084,12,8,8,1.0957893919232085
basic,1,42,0,0,0,26,"[0, 22, 8, 1, 7, 26]",6,4,"[2, 19, 27, 28]",83.6014193,12806,1882,6,1,8,1.0929221247474747
basic,1,42,0,0,0,27,"[0, 22, 8, 1, 7, 26, 27]",7,2,"[2, 19]",65.57366292,13941,1135,2,0,8,1.099382198082748
basic,1,42,0,0,1,19,"[0, 22, 8, 1, 7, 26, 27, 19]",8,0,[],24.56146961,15255,1314,1,0,8,1.2738003776781508
basic,1,42,0,1,1,19,"[0, 22, 8, 1, 7, 26, 27, 19]",8,0,[],24.56146961,16148,893,1,0,8,1.2738003776781508
basic,2,24,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,279,-1,4,76,10,0.0
