condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,478,-1,16,556,12,0.0
basic,0,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,7248,6770,16,520,12,1.0
basic,0,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,9248,2000,15,422,12,1.082311746871282
basic,0,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,18041,8793,15,389,12,1.215201926898219
basic,0,43,0,0,0,25,"[0, 29, 20, 16, 25]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 19, 22, 23]",175.7708124,19765,1724,53,282,11,1.566384303308987
basic,0,43,0,0,0,15,"[0, 29, 20, 16, 25, 15]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23]",153.0992443,21133,1368,27,108,11,1.776736412604812
basic,0,43,0,0,0,12,"[0, 29, 20, 16, 25, 15, 12]",7,10,"[1, 3, 6, 7, 9, 11, 14, 19, 22, 23]",133.7860364,22298,1165,21,41,11,1.6813323012225032
basic,0,43,0,0,0,3,"[0, 29, 20, 16, 25, 15, 12, 3]",8,9,"[1, 6, 7, 9, 11, 14, 19, 22, 23]",120.7860364,23541,1243,20,12,11,1.608740348096123
basic,0,43,0,0,0,11,"[0, 29, 20, 16, 25, 15, 12, 3, 11]",9,3,"[6, 14, 22]",53.75619226,24781,1240,1,2,11,2.7059759092307694
basic,0,43,0,0,0,6,"[0, 29, 20, 16, 25, 15, 12, 3, 11, 6]",10,1,[14],33.14066413,26733,1952,1,0,11,2.419603450300579
basic,0,43,0,0,1,14,"[0, 29, 20, 16, 25, 15, 12, 3, 11, 6, 14]",11,0,[],4.680165186,28055,1322,1,0,11,2.3808374911788053
basic,0,43,0,1,1,14,"[0, 29, 20, 16, 25, 15, 12, 3, 11, 6, 14]",11,0,[],4.680165186,31608,3553,1,0,11,2.3808374911788053
basic,1,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,314,-1,2,182,10,0.0
basic,1,9,0,0,0,10,"[0, 10]",2,22,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",245.6676892,6924,6610,5,195,9,1.0
basic,1,9,0,0,0,8,"[0, 10, 8]",3,20,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",197.2941427,8793,1869,3,50,9,1.6102923877889634
basic,1,9,0,0,0,28,"[0, 10, 8, 28]",4,19,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27]",186.4774889,11672,2879,2,25,9,1.528377012595975
basic,1,9,0,0,0,23,"[0, 10, 8, 28, 23]",5,13,"[3, 4, 7, 9, 11, 18, 19, 20, 21, 22, 25, 26, 27]",161.4574968,13098,1426,2,12,9,2.3268849491132118
basic,1,9,0,0,0,9,"[0, 10, 8, 28, 23, 9]",6,11,"[3, 4, 7, 11, 18, 19, 20, 21, 25, 26, 27]",139.0968171,14268,1170,2,6,9,2.1607964611878296
basic,1,9,0,0,0,26,"[0, 10, 8, 28, 23, 9, 26]",7,3,"[18, 20, 21]",82.44878092,15345,1077,2,1,9,1.8622029673999667
basic,1,9,0,0,0,21,"[0, 10, 8, 28, 23, 9, 26, 21]",8,1,[20],28.54145303,16624,1279,1,0,9,2.2901575374033833
basic,1,9,0,0,1,20,"[0, 10, 8, 28, 23, 9, 26, 21, 20]",9,0,[],16.45840706,17722,1098,1,0,9,2.23879636412838
basic,1,9,0,1,1,20,"[0, 10, 8, 28, 23, 9, 26, 21, 20]",9,0,[],16.45840706,21232,3510,1,0,9,2.23879636412838
basic,2,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,378,-1,5,236,11,0.0
basic,2,35,0,0,0,27,"[0, 27]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",278.7867966,7336,6958,5,144,11,1.0
basic,2,35,0,0,0,28,"[0, 27, 28]",3,18,"[1, 2, 5, 6, 7, 9, 10, 13, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26]",240.707931,8494,1158,4,100,10,1.0168505943672008
basic,2,35,0,0,0,19,"[0, 27, 28, 19]",4,14,"[1, 2, 5, 6, 9, 10, 15, 17, 18, 21, 23, 24, 25, 26]",191.7896318,9622,1128,11,75,9,1.3148564374305836
basic,2,35,0,0,0,24,"[0, 27, 28, 19, 24]",5,9,"[1, 2, 5, 9, 15, 17, 18, 23, 26]",117.4592881,11190,1568,3,20,9,5.8853487613374895
basic,2,35,0,0,0,17,"[0, 27, 28, 19, 24, 17]",6,6,"[1, 5, 9, 15, 18, 23]",105.7545882,12678,1488,3,8,9,4.897634910968656
basic,2,35,0,0,0,1,"[0, 27, 28, 19, 24, 17, 1]",7,5,"[5, 9, 15, 18, 23]",89.94319985,13662,984,3,3,9,4.394339868933799
basic,2,35,0,0,0,15,"[0, 27, 28, 19, 24, 17, 1, 15]",8,2,"[5, 23]",67.09588053,14903,1241,2,0,9,4.190522877836577
basic,2,35,0,0,1,23,"[0, 27, 28, 19, 24, 17, 1, 15, 23]",9,0,[],6.65582759,17369,2466,1,0,9,2.7590615597757737
