condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,142,-1,6,168,10,0.0
basic,0,37,0,0,0,19,"[0, 19]",2,19,"[1, 2, 4, 5, 6, 7, 9, 10, 11, 15, 17, 18, 20, 21, 22, 25, 26, 28, 29]",185.6627795,4453,4311,25,244,9,1.0
basic,0,37,0,0,0,21,"[0, 19, 21]",3,14,"[1, 2, 4, 7, 10, 11, 15, 17, 18, 20, 22, 25, 26, 29]",144.5531699,5686,1233,10,75,9,1.001632816594558
basic,0,37,0,0,0,20,"[0, 19, 21, 20]",4,9,"[1, 2, 4, 7, 15, 18, 22, 26, 29]",130.1309648,6383,697,4,34,9,1.1332411810100422
basic,0,37,0,0,0,15,"[0, 19, 21, 20, 15]",5,8,"[1, 2, 4, 7, 18, 22, 26, 29]",113.1309648,7070,687,4,11,9,1.1230304972303446
basic,0,37,0,0,0,1,"[0, 19, 21, 20, 15, 1]",6,5,"[2, 4, 7, 18, 22]",73.16848237,8067,997,4,3,9,1.4327471194915349
basic,0,37,0,0,0,2,"[0, 19, 21, 20, 15, 1, 2]",7,3,"[4, 7, 22]",55.96383184,8928,861,2,1,9,1.6142938316493505
basic,0,37,0,0,0,4,"[0, 19, 21, 20, 15, 1, 2, 4]",8,1,[22],44.56207759,10018,1090,1,0,9,1.5716058080933497
basic,0,37,0,0,1,22,"[0, 19, 21, 20, 15, 1, 2, 4, 22]",9,0,[],19.56207759,11022,1004,1,0,9,1.722001818199419
basic,0,37,0,1,1,22,"[0, 19, 21, 20, 15, 1, 2, 4, 22]",9,0,[],19.56207759,12007,985,1,0,9,1.722001818199419
basic,1,13,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,130,-1,60,2676,11,0.0
basic,1,13,0,0,0,24,"[0, 24]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",288.8196601,3690,3560,16,1444,11,1.0
basic,1,13,0,0,0,28,"[0, 24, 28]",3,23,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29]",222.5324064,4789,1099,8,243,11,1.0513810491680837
