condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,324,-1,34,427,10,0.0
undo,0,3,0,0,0,8,"[0, 8]",2,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",239.9666759,3495,3171,1,54,10,1.0
undo,0,3,0,0,0,24,"[0, 8, 24]",3,23,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",227.8011509,4818,1323,1,50,10,1.2267083825981846
undo,0,3,0,0,0,17,"[0, 8, 24, 17]",4,11,"[3, 4, 7, 10, 14, 15, 16, 19, 20, 21, 27]",158.4469873,5713,895,1,18,10,1.3836579788002414
undo,0,3,0,0,0,20,"[0, 8, 24, 17, 20]",5,9,"[3, 4, 7, 10, 14, 15, 16, 19, 21]",145.7978767,6114,401,1,14,10,1.3620097615632467
undo,0,3,0,0,0,3,"[0, 8, 24, 17, 20, 3]",6,5,"[4, 10, 14, 19, 21]",125.4017986,7164,1050,1,11,10,1.3956695218398405
undo,0,3,0,0,0,19,"[0, 8, 24, 17, 20, 3, 19]",7,4,"[4, 10, 14, 21]",88.06548922,7954,790,1,4,10,1.4360605238855817
undo,0,3,0,0,0,21,"[0, 8, 24, 17, 20, 3, 19, 21]",8,2,"[10, 14]",75.85893361,8712,758,1,1,10,1.4576450248605066
undo,0,3,0,0,0,14,"[0, 8, 24, 17, 20, 3, 19, 21, 14]",9,1,[10],48.95168551,9395,683,1,0,10,1.9505702217699148
undo,0,3,0,0,1,10,"[0, 8, 24, 17, 20, 3, 19, 21, 14, 10]",10,0,[],3.498412803,10048,653,1,0,10,1.8830527336542522
undo,0,3,0,1,1,10,"[0, 8, 24, 17, 20, 3, 19, 21, 14, 10]",10,0,[],3.498412803,10942,894,1,0,10,1.8830527336542522
undo,1,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,363,-1,84,830,9,0.0
undo,1,21,0,0,0,18,"[0, 18]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",240.923778,4109,3746,44,305,9,1.0
undo,1,21,0,0,0,29,"[0, 18, 29]",3,24,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",212.2706805,4942,833,11,87,9,1.035555280387994
undo,1,21,0,0,0,25,"[0, 18, 29, 25]",4,18,"[1, 4, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 24, 26]",167.0490043,5783,841,6,45,9,2.2226517719335437
undo,1,21,0,0,0,23,"[0, 18, 29, 25, 23]",5,10,"[4, 8, 14, 15, 16, 17, 20, 21, 22, 24]",123.7246462,6757,974,3,20,9,1.7801958981326236
undo,1,21,0,0,0,21,"[0, 18, 29, 25, 23, 21]",6,3,"[4, 14, 16]",94.11046043,7311,554,1,3,9,2.290491065218303
undo,1,21,0,0,0,14,"[0, 18, 29, 25, 23, 21, 14]",7,2,"[4, 16]",68.49796348,7933,622,1,1,9,2.021100447974041
undo,1,21,0,0,0,4,"[0, 18, 29, 25, 23, 21, 14, 4]",8,1,[16],54.35582786,8429,496,1,0,9,1.9205022281831265
undo,1,21,0,0,1,16,"[0, 18, 29, 25, 23, 21, 14, 4, 16]",9,0,[],9.757621617,9585,1156,1,0,9,1.7782202964615115
undo,1,21,0,1,1,16,"[0, 18, 29, 25, 23, 21, 14, 4, 16]",9,0,[],9.757621617,10429,844,1,0,9,1.7782202964615115
undo,2,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,349,-1,8,191,9,0.0
undo,2,40,0,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,2614,2265,4,80,9,1.0
undo,2,40,0,0,0,6,"[0, 1, 6]",3,17,"[2, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",227.7466295,2970,356,4,74,9,1.0459427008232034
undo,2,40,0,0,0,21,"[0, 1, 6, 21]",4,8,"[2, 5, 9, 17, 18, 19, 22, 23]",175.7754837,4206,1236,4,25,9,1.0308822257404064
undo,2,40,0,0,0,9,"[0, 1, 6, 21, 9]",5,6,"[2, 5, 18, 19, 22, 23]",130.0699041,4978,772,4,12,9,1.377861912961129
undo,2,40,0,0,0,18,"[0, 1, 6, 21, 9, 18]",6,5,"[2, 5, 19, 22, 23]",113.5169588,5390,412,4,4,9,1.5742712168661408
undo,2,40,0,0,0,23,"[0, 1, 6, 21, 9, 18, 23]",7,3,"[2, 5, 19]",79.51695879,6074,684,2,1,9,2.324611956726637
undo,2,40,0,0,0,19,"[0, 1, 6, 21, 9, 18, 23, 19]",8,1,[5],47.56386817,7862,1788,1,0,9,2.460596854255639
undo,2,40,0,0,1,5,"[0, 1, 6, 21, 9, 18, 23, 19, 5]",9,0,[],9.485002643,8569,707,1,0,9,2.3622228457215413
undo,2,40,0,1,1,5,"[0, 1, 6, 21, 9, 18, 23, 19, 5]",9,0,[],9.485002643,9366,797,1,0,9,2.3622228457215413
undo,3,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,363,-1,5,41,8,0.0
undo,3,30,0,0,0,25,"[0, 25]",2,12,"[3, 5, 7, 9, 11, 16, 18, 19, 20, 24, 27, 29]",121.1005869,3221,2858,7,37,7,1.0
undo,3,30,0,0,0,27,"[0, 25, 27]",3,8,"[3, 5, 7, 18, 19, 20, 24, 29]",81.54050603,3983,762,2,17,7,1.0432445497342653
undo,3,30,0,0,0,3,"[0, 25, 27, 3]",4,5,"[5, 7, 18, 20, 29]",62.43553286,4987,1004,2,6,7,1.0419393955972533
undo,3,30,0,0,0,29,"[0, 25, 27, 3, 29]",5,3,"[5, 7, 18]",43.83445762,5653,666,1,2,7,1.0521853644580021
undo,3,30,0,0,0,18,"[0, 25, 27, 3, 29, 18]",6,1,[5],24.5212497,6295,642,1,0,7,1.1278751785159948
