condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,132,-1,16,302,9,0.0
basic,0,42,0,0,0,22,"[0, 22]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",211.3997743,3078,2946,5,83,9,1.0
basic,0,42,0,0,0,8,"[0, 22, 8]",3,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",189.2638306,4758,1680,19,88,8,1.029936807841886
basic,0,42,0,0,0,1,"[0, 22, 8, 1]",4,14,"[2, 3, 4, 5, 6, 7, 10, 15, 18, 19, 24, 26, 27, 28]",140.1720798,5801,1043,13,34,8,1.0263530486295833
basic,0,42,0,0,0,7,"[0, 22, 8, 1, 7]",5,10,"[2, 4, 5, 6, 15, 19, 24, 26, 27, 28]",110.1720798,6870,1069,12,8,8,1.0957893919232085
basic,0,42,0,0,0,2,"[0, 22, 8, 1, 7, 2]",6,5,"[6, 19, 26, 27, 28]",70.95473671,7957,1087,2,3,8,1.1954111230881679
basic,0,42,0,0,0,19,"[0, 22, 8, 1, 7, 2, 19]",7,1,[26],39.18997636,9319,1362,1,0,8,1.206148995002556
basic,0,42,0,0,1,26,"[0, 22, 8, 1, 7, 2, 19, 26]",8,0,[],4.304449275,10522,1203,1,0,8,1.4934118723484848
basic,0,42,0,1,1,26,"[0, 22, 8, 1, 7, 2, 19, 26]",8,0,[],4.304449275,11915,1393,1,0,8,1.4934118723484848
basic,1,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,165,-1,2,96,9,0.0
basic,1,28,0,0,0,5,"[0, 5]",2,21,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 23, 25, 26, 28, 29]",169.6427984,2168,2003,4,42,8,1.0
basic,1,28,0,0,0,26,"[0, 5, 26]",3,15,"[2, 3, 4, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 25, 28]",136.8861197,2834,666,4,35,8,1.0149913611821164
basic,1,28,0,0,0,19,"[0, 5, 26, 19]",4,7,"[2, 7, 9, 12, 13, 14, 18]",95.88611973,3904,1070,3,16,8,1.1179162815331476
basic,1,28,0,0,0,7,"[0, 5, 26, 19, 7]",5,5,"[2, 12, 13, 14, 18]",68.15527048,4536,632,2,5,8,1.1835592656658687
basic,1,28,0,0,0,12,"[0, 5, 26, 19, 7, 12]",6,2,"[13, 18]",55.00232404,5641,1105,1,1,8,1.1891830098953253
basic,1,28,0,0,0,13,"[0, 5, 26, 19, 7, 12, 13]",7,1,[18],37.79767351,6376,735,1,0,8,1.3761105369117108
basic,1,28,0,0,1,18,"[0, 5, 26, 19, 7, 12, 13, 18]",8,0,[],13.38456227,7336,960,1,0,8,1.7228206627692229
basic,1,28,0,1,1,18,"[0, 5, 26, 19, 7, 12, 13, 18]",8,0,[],13.38456227,8581,1245,1,0,8,1.7228206627692229
basic,2,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,131,-1,9,226,9,0.0
basic,2,26,0,0,0,16,"[0, 16]",2,17,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 17, 18, 19, 21, 22, 23, 26, 29]",188.0535842,2068,1937,34,176,8,1.0
basic,2,26,0,0,0,29,"[0, 16, 29]",3,12,"[4, 5, 6, 10, 12, 13, 14, 17, 19, 21, 23, 26]",163.8461474,2904,836,32,68,8,1.1142946124989752
basic,2,26,0,0,0,4,"[0, 16, 29, 4]",4,9,"[5, 6, 10, 12, 13, 14, 17, 21, 23]",139.8461474,4096,1192,17,7,8,1.3213762371676339
basic,2,26,0,0,0,17,"[0, 16, 29, 4, 17]",5,5,"[6, 10, 14, 21, 23]",118.7511243,4873,777,6,0,8,1.2756100061290643
basic,2,26,0,0,0,14,"[0, 16, 29, 4, 17, 14]",6,2,"[6, 10]",96.27891921,6618,1745,2,0,8,1.264154039440982
basic,2,26,0,0,0,6,"[0, 16, 29, 4, 17, 14, 6]",7,1,[10],75.25512317,7665,1047,1,0,8,1.3993089646092733
basic,2,26,0,0,1,10,"[0, 16, 29, 4, 17, 14, 6, 10]",8,0,[],45.98056083,8334,669,1,0,8,1.5697867669370302
basic,2,26,0,1,1,10,"[0, 16, 29, 4, 17, 14, 6, 10]",8,0,[],45.98056083,9648,1314,1,0,8,1.5697867669370302
basic,3,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,12,149,8,0.0
basic,3,19,0,0,0,9,"[0, 9]",2,21,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]",185.9956141,2818,2654,13,76,7,1.0
basic,3,19,0,0,0,6,"[0, 9, 6]",3,13,"[4, 7, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28, 29]",144.5589154,3710,892,13,38,7,1.0111071984935167
basic,3,19,0,0,0,4,"[0, 9, 6, 4]",4,7,"[10, 11, 14, 20, 22, 27, 28]",103.5101639,5353,1643,2,8,7,1.1922496747189233
basic,3,19,0,0,0,28,"[0, 9, 6, 4, 28]",5,4,"[11, 14, 22, 27]",92.32982402,7390,2037,2,2,7,1.2672242257358344
basic,3,19,0,0,1,27,"[0, 9, 6, 4, 28, 27]",6,0,[],39.92753399,8246,856,1,0,6,1.6700847262478309
basic,3,19,0,1,1,27,"[0, 9, 6, 4, 28, 27]",6,0,[],39.92753399,9581,1335,1,0,6,1.6700847262478309
basic,4,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,131,-1,13,161,9,0.0
