condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,147,-1,12,149,8,0.0
undo,0,19,0,0,0,6,"[0, 6]",2,14,"[4, 7, 9, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28, 29]",146.2664643,13713,13566,15,42,6,1.0
undo,0,19,0,0,0,22,"[0, 6, 22]",3,7,"[4, 7, 10, 11, 14, 20, 24]",85.2664643,14698,985,2,4,6,1.0079609453008609
undo,0,19,0,0,0,20,"[0, 6, 22, 20]",4,4,"[10, 11, 14, 24]",72.11351786,15365,667,2,2,6,1.0079920961288358
undo,0,19,0,0,0,11,"[0, 6, 22, 20, 11]",5,1,[14],24.31184425,16518,1153,1,0,6,1.2573827429707154
undo,0,19,0,0,1,14,"[0, 6, 22, 20, 11, 14]",6,0,[],13.49519042,16967,449,1,0,6,1.3700368456336027
undo,0,19,1,0,0,11,"[0, 6, 22, 20, 11]",5,1,[14],24.31184425,24748,7781,1,0,6,1.2573827429707154
undo,0,19,1,0,0,20,"[0, 6, 22, 20]",4,4,"[10, 11, 14, 24]",72.11351786,24935,187,2,2,6,1.0079920961288358
undo,0,19,1,0,0,22,"[0, 6, 22]",3,7,"[4, 7, 10, 11, 14, 20, 24]",85.2664643,25136,201,2,4,6,1.0079609453008609
undo,0,19,1,0,0,6,"[0, 6]",2,14,"[4, 7, 9, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28, 29]",146.2664643,25433,297,15,42,6,1.0
undo,0,19,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,25749,316,12,149,8,0.0
undo,0,19,0,0,0,9,"[0, 9]",2,21,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]",185.9956141,26530,781,13,76,7,1.0
undo,0,19,0,0,0,6,"[0, 9, 6]",3,13,"[4, 7, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28, 29]",144.5589154,27516,986,13,38,7,1.0111071984935167
undo,0,19,0,0,0,22,"[0, 9, 6, 22]",4,7,"[4, 7, 10, 11, 14, 20, 24]",83.55891541,28556,1040,2,4,7,1.0159761935372444
undo,0,19,0,0,0,20,"[0, 9, 6, 22, 20]",5,4,"[10, 11, 14, 24]",70.40596897,29048,492,2,2,7,1.015544960909188
undo,0,19,0,0,0,11,"[0, 9, 6, 22, 20, 11]",6,1,[14],22.60429536,30118,1070,1,0,7,1.2651706818512372
undo,0,19,0,0,1,14,"[0, 9, 6, 22, 20, 11, 14]",7,0,[],11.78764153,30596,478,1,0,7,1.3782021706710783
undo,0,19,0,1,1,14,"[0, 9, 6, 22, 20, 11, 14]",7,0,[],11.78764153,38548,7952,1,0,7,1.3782021706710783
undo,1,0,0,0,0,0,[0],1,27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,141,-1,104,1136,9,0.0
undo,1,0,0,0,0,28,"[0, 28]",2,26,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",194.9190788,3721,3580,39,388,9,1.0
undo,1,0,0,0,0,5,"[0, 28, 5]",3,21,"[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 29]",151.2613189,5439,1718,27,210,9,1.0978295127671733
undo,1,0,0,0,0,26,"[0, 28, 5, 26]",4,15,"[3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 23, 24]",115.8212286,7891,2452,5,35,9,1.1400379746718978
undo,1,0,0,0,0,4,"[0, 28, 5, 26, 4]",5,12,"[3, 7, 8, 9, 11, 12, 15, 17, 19, 20, 23, 24]",103.779634,8509,618,4,17,9,1.2534780347343448
undo,1,0,0,0,0,24,"[0, 28, 5, 26, 4, 24]",6,9,"[3, 7, 8, 9, 11, 12, 15, 17, 19]",92.37787977,9309,800,4,12,9,1.2444963062448124
undo,1,0,0,0,0,15,"[0, 28, 5, 26, 4, 24, 15]",7,6,"[3, 7, 8, 9, 11, 17]",69.03264471,10111,802,3,4,9,1.2218613820858855
undo,1,0,0,0,0,7,"[0, 28, 5, 26, 4, 24, 15, 7]",8,2,"[3, 8]",37.96819558,10811,700,2,0,9,1.2781430976973103
undo,1,0,0,0,1,8,"[0, 28, 5, 26, 4, 24, 15, 7, 8]",9,0,[],18.8632224,11629,818,1,0,9,1.263743502581705
undo,1,0,0,1,1,8,"[0, 28, 5, 26, 4, 24, 15, 7, 8]",9,0,[],18.8632224,13855,2226,1,0,9,1.263743502581705
undo,2,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,176,-1,5,108,9,0.0
undo,2,33,0,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,5439,5263,21,129,8,1.0
undo,2,33,0,0,0,17,"[0, 21, 17]",3,12,"[2, 7, 11, 13, 14, 16, 18, 19, 20, 24, 26, 29]",135.8218032,6107,668,3,35,8,1.0302064673538902
undo,2,33,0,0,0,13,"[0, 21, 17, 13]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",113.0182947,6524,417,3,18,8,1.2307555582916028
undo,2,33,0,0,0,29,"[0, 21, 17, 13, 29]",5,5,"[7, 11, 14, 20, 26]",51.94456878,8915,2391,3,3,7,1.179279205832945
undo,2,33,0,0,0,26,"[0, 21, 17, 13, 29, 26]",6,1,[14],24.05191741,9643,728,1,0,7,1.2197084341582196
undo,2,33,0,0,1,14,"[0, 21, 17, 13, 29, 26, 14]",7,0,[],11.40280677,10177,534,1,0,7,1.3302800298543374
undo,2,33,1,0,0,26,"[0, 21, 17, 13, 29, 26]",6,1,[14],24.05191741,17677,7500,1,0,7,1.2197084341582196
undo,2,33,1,0,0,29,"[0, 21, 17, 13, 29]",5,5,"[7, 11, 14, 20, 26]",51.94456878,18025,348,3,3,7,1.179279205832945
undo,2,33,1,0,0,13,"[0, 21, 17, 13]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",113.0182947,18292,267,3,18,8,1.2307555582916028
undo,2,33,0,0,0,19,"[0, 21, 17, 13, 19]",5,6,"[7, 14, 16, 24, 26, 29]",87.52319715,19152,860,3,6,8,1.267959080158969
undo,2,33,0,0,0,7,"[0, 21, 17, 13, 19, 7]",6,3,"[14, 24, 26]",41.90521823,20688,1536,2,1,8,1.2111387775864462
undo,2,33,0,0,0,14,"[0, 21, 17, 13, 19, 7, 14]",7,1,[26],27.03914949,21093,405,1,0,8,1.2582047812090849
undo,2,33,0,0,1,26,"[0, 21, 17, 13, 19, 7, 14, 26]",8,0,[],14.39003885,22027,934,1,0,8,1.2624145644521343
undo,2,33,0,1,1,26,"[0, 21, 17, 13, 19, 7, 14, 26]",8,0,[],14.39003885,24467,2440,1,0,8,1.2624145644521343
undo,3,13,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,60,2676,11,0.0
undo,3,13,0,0,0,24,"[0, 24]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",288.8196601,3026,2862,16,1444,11,1.0
undo,3,13,0,0,0,28,"[0, 24, 28]",3,23,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29]",222.5324064,7461,4435,8,243,11,1.0513810491680837
undo,3,13,0,0,0,2,"[0, 24, 28, 2]",4,19,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27, 29]",184.889346,9693,2232,7,110,11,1.050374132001543
undo,3,13,0,0,0,29,"[0, 24, 28, 2, 29]",5,18,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27]",173.1846461,10203,510,7,85,11,1.1393409619120594
undo,3,13,0,0,0,7,"[0, 24, 28, 2, 29, 7]",6,17,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27]",157.9203086,10909,706,5,45,11,1.349777315111579
undo,3,13,0,0,0,26,"[0, 24, 28, 2, 29, 7, 26]",7,16,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 27]",147.480002,11361,452,5,25,11,1.5942082773824946
undo,3,13,0,0,0,6,"[0, 24, 28, 2, 29, 7, 26, 6]",8,12,"[1, 3, 4, 11, 13, 15, 16, 17, 19, 20, 23, 27]",127.3802508,12062,701,4,12,11,1.5898347940840756
undo,3,13,0,0,0,11,"[0, 24, 28, 2, 29, 7, 26, 6, 11]",9,6,"[1, 13, 15, 16, 17, 23]",108.2752776,12799,737,3,4,11,1.5029953945561012
undo,3,13,0,0,0,13,"[0, 24, 28, 2, 29, 7, 26, 6, 11, 13]",10,2,"[15, 17]",52.19497806,14617,1818,2,0,11,1.3655915863754327
