condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,130,-1,31,704,9,0.0
undo,0,22,0,0,0,29,"[0, 29]",2,22,"[1, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28]",222.9935068,5745,5615,11,235,9,1.0
undo,0,22,0,0,0,19,"[0, 29, 19]",3,18,"[1, 3, 6, 7, 8, 9, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 28]",207.9602104,6690,945,11,172,9,1.1559285443414686
undo,0,22,0,0,0,9,"[0, 29, 19, 9]",4,16,"[1, 3, 6, 7, 8, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",187.5641323,7490,800,7,84,9,1.2555028175473422
undo,0,22,0,0,0,6,"[0, 29, 19, 9, 6]",5,13,"[3, 7, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",160.9370784,9300,1810,17,16,8,1.5692551066355458
undo,0,22,0,0,0,28,"[0, 29, 19, 9, 6, 28]",6,5,"[7, 14, 16, 17, 22]",130.9370784,10290,990,5,2,8,1.5285578577513508
undo,0,22,0,0,0,16,"[0, 29, 19, 9, 6, 28, 16]",7,1,[22],96.49872771,11110,820,1,0,8,2.5001967567448653
undo,0,22,0,0,1,22,"[0, 29, 19, 9, 6, 28, 16, 22]",8,0,[],8.039697643,14270,3160,1,0,8,2.084367549440744
undo,0,22,1,0,0,16,"[0, 29, 19, 9, 6, 28, 16]",7,1,[22],96.49872771,20261,5991,1,0,8,2.5001967567448653
undo,0,22,1,0,0,28,"[0, 29, 19, 9, 6, 28]",6,5,"[7, 14, 16, 17, 22]",130.9370784,20494,233,5,2,8,1.5285578577513508
undo,0,22,1,0,0,6,"[0, 29, 19, 9, 6]",5,13,"[3, 7, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",160.9370784,20694,200,17,16,8,1.5692551066355458
undo,0,22,1,0,0,9,"[0, 29, 19, 9]",4,16,"[1, 3, 6, 7, 8, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",187.5641323,21061,367,7,84,9,1.2555028175473422
undo,0,22,0,0,0,14,"[0, 29, 19, 9, 14]",5,11,"[1, 3, 6, 7, 13, 16, 17, 20, 21, 24, 28]",144.5176458,22516,1455,4,28,9,1.200251311198461
undo,0,22,0,0,0,7,"[0, 29, 19, 9, 14, 7]",6,10,"[1, 3, 6, 13, 16, 17, 20, 21, 24, 28]",131.479241,23616,1100,4,18,9,1.3399585036197592
undo,0,22,0,0,0,17,"[0, 29, 19, 9, 14, 7, 17]",7,5,"[1, 3, 20, 21, 24]",89.86193693,24972,1356,3,3,9,1.3297480627305363
undo,0,22,0,0,0,21,"[0, 29, 19, 9, 14, 7, 17, 21]",8,2,"[3, 24]",38.51020862,26864,1892,2,0,9,1.621067475944888
undo,0,22,0,0,1,3,"[0, 29, 19, 9, 14, 7, 17, 21, 3]",9,0,[],13.49021662,29149,2285,1,0,9,1.6812263795812836
undo,0,22,0,1,1,3,"[0, 29, 19, 9, 14, 7, 17, 21, 3]",9,0,[],13.49021662,30727,1578,1,0,9,1.6812263795812836
undo,1,25,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,147,-1,5,94,10,0.0
undo,1,25,0,0,0,23,"[0, 23]",2,23,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",259.7756293,3323,3176,3,33,10,1.0
undo,1,25,0,0,0,22,"[0, 23, 22]",3,21,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 24, 25, 27, 28, 29]",200.3786597,6820,3497,1,22,9,1.2876090609136028
undo,1,25,0,0,0,29,"[0, 23, 22, 29]",4,16,"[1, 3, 5, 7, 8, 9, 11, 12, 13, 17, 19, 20, 21, 24, 25, 28]",184.2541442,7837,1017,1,13,9,1.8482114467728663
undo,1,25,0,0,0,19,"[0, 23, 22, 29, 19]",5,12,"[1, 3, 5, 7, 9, 11, 12, 13, 17, 20, 21, 24]",167.9753236,8578,741,1,10,9,2.747534441683921
undo,1,25,0,0,0,1,"[0, 23, 22, 29, 19, 1]",6,3,"[5, 20, 21]",109.451824,9833,1255,2,1,8,6.137143510949588
undo,1,25,0,0,0,21,"[0, 23, 22, 29, 19, 1, 21]",7,1,[20],81.00889871,10515,682,1,0,8,4.361541858069621
undo,1,25,0,0,1,20,"[0, 23, 22, 29, 19, 1, 21, 20]",8,0,[],43.52556908,12374,1859,1,0,8,3.28813372974359
undo,1,25,1,0,0,21,"[0, 23, 22, 29, 19, 1, 21]",7,1,[20],81.00889871,14962,2588,1,0,8,4.361541858069621
undo,1,25,1,0,0,1,"[0, 23, 22, 29, 19, 1]",6,3,"[5, 20, 21]",109.451824,15129,167,2,1,8,6.137143510949588
undo,1,25,1,0,0,19,"[0, 23, 22, 29, 19]",5,12,"[1, 3, 5, 7, 9, 11, 12, 13, 17, 20, 21, 24]",167.9753236,15296,167,1,10,9,2.747534441683921
undo,1,25,1,0,0,29,"[0, 23, 22, 29]",4,16,"[1, 3, 5, 7, 8, 9, 11, 12, 13, 17, 19, 20, 21, 24, 25, 28]",184.2541442,15462,166,1,13,9,1.8482114467728663
undo,1,25,1,0,0,22,"[0, 23, 22]",3,21,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 24, 25, 27, 28, 29]",200.3786597,15829,367,1,22,9,1.2876090609136028
undo,1,25,1,0,0,23,"[0, 23]",2,23,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",259.7756293,17812,1983,3,33,10,1.0
undo,1,25,0,0,0,19,"[0, 23, 19]",3,21,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 27, 28, 29]",223.9287326,18973,1161,3,24,10,1.583101227007039
undo,1,25,0,0,0,29,"[0, 23, 19, 29]",4,19,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28]",207.649912,20937,1964,3,17,10,1.474631541426484
undo,1,25,0,0,0,22,"[0, 23, 19, 29, 22]",5,18,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 24, 25, 28]",191.5253965,22183,1246,3,14,10,1.4020377754906637
undo,1,25,0,0,0,7,"[0, 23, 19, 29, 22, 7]",6,7,"[3, 8, 9, 11, 13, 24, 28]",115.8814939,24089,1906,3,11,10,1.5709678649326715
undo,1,25,0,0,0,24,"[0, 23, 19, 29, 22, 7, 24]",7,5,"[3, 8, 9, 13, 28]",91.12265712,24990,901,3,7,10,1.486191600033379
undo,1,25,0,0,0,9,"[0, 23, 19, 29, 22, 7, 24, 9]",8,4,"[3, 8, 13, 28]",73.09490075,26215,1225,3,3,10,1.453504870342882
undo,1,25,0,0,0,3,"[0, 23, 19, 29, 22, 7, 24, 9, 3]",9,3,"[8, 13, 28]",42.82940885,28207,1992,3,0,10,1.388955167525479
undo,1,25,0,0,1,28,"[0, 23, 19, 29, 22, 7, 24, 9, 3, 28]",10,0,[],11.52445716,29081,874,1,0,10,1.3331084120212044
undo,1,25,0,1,1,28,"[0, 23, 19, 29, 22, 7, 24, 9, 3, 28]",10,0,[],11.52445716,30761,1680,1,0,10,1.3331084120212044
undo,2,5,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,5,139,9,0.0
undo,2,5,0,0,0,12,"[0, 12]",2,22,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28]",228.3062067,6223,6059,1,27,9,1.0
undo,2,5,0,0,0,25,"[0, 12, 25]",3,21,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28]",200.5213187,7133,910,1,20,9,1.584023303445617
undo,2,5,0,0,0,23,"[0, 12, 25, 23]",4,19,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27]",182.0822298,7784,651,1,14,9,2.3508446989254357
undo,2,5,0,0,0,24,"[0, 12, 25, 23, 24]",5,15,"[2, 4, 5, 6, 8, 9, 13, 14, 15, 17, 18, 19, 22, 26, 27]",158.995437,8407,623,1,12,9,1.9469752046288753
undo,2,5,0,0,0,17,"[0, 12, 25, 23, 24, 17]",6,7,"[4, 5, 6, 8, 15, 18, 19]",124.0097257,9099,692,1,8,9,1.6482276497563642
undo,2,5,0,0,0,5,"[0, 12, 25, 23, 24, 17, 5]",7,4,"[4, 6, 15, 18]",80.96323916,12550,3451,1,3,9,1.4654649104389412
undo,2,5,0,0,1,15,"[0, 12, 25, 23, 24, 17, 5, 15]",8,0,[],40.93824697,14616,2066,1,0,8,1.4660376450939663
undo,2,5,0,1,1,15,"[0, 12, 25, 23, 24, 17, 5, 15]",8,0,[],40.93824697,17562,2946,1,0,8,1.4660376450939663
undo,3,15,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,133,-1,4,65,9,0.0
undo,3,15,0,0,0,16,"[0, 16]",2,16,"[3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 25, 27]",185.8378346,4153,4020,22,104,7,1.0
undo,3,15,0,0,0,11,"[0, 16, 11]",3,13,"[3, 4, 7, 10, 12, 13, 14, 15, 18, 21, 22, 25, 27]",159.818611,5236,1083,10,29,7,1.1289542380807378
undo,3,15,1,0,0,16,"[0, 16]",2,16,"[3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 25, 27]",185.8378346,8083,2847,22,104,7,1.0
undo,3,15,1,0,0,0,[0],1,25,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,8383,300,4,65,9,0.0
undo,3,15,0,0,0,12,"[0, 12]",2,22,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 23, 24, 26, 27, 28, 29]",213.547701,10989,2606,4,35,9,1.0
undo,3,15,0,0,0,7,"[0, 12, 7]",3,16,"[1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 24, 27]",180.3061607,11994,1005,4,29,9,1.411291635294361
undo,3,15,0,0,0,16,"[0, 12, 7, 16]",4,10,"[3, 4, 10, 11, 13, 14, 15, 18, 21, 22]",136.6484008,13503,1509,2,11,9,1.4308733430458784
undo,3,15,0,0,0,11,"[0, 12, 7, 16, 11]",5,7,"[3, 4, 13, 14, 15, 21, 22]",110.6291772,15446,1943,2,5,9,1.5251025438826007
undo,3,15,0,0,0,3,"[0, 12, 7, 16, 11, 3]",6,5,"[4, 13, 14, 15, 22]",99.22742292,16751,1305,2,3,9,1.5166583878170454
undo,3,15,0,0,0,22,"[0, 12, 7, 16, 11, 3, 22]",7,2,"[13, 15]",49.49815588,18686,1935,2,0,9,1.4519711389669923
undo,3,15,0,0,0,15,"[0, 12, 7, 16, 11, 3, 22, 15]",8,1,[13],23.88565893,20246,1560,1,0,9,1.4060225827822495
undo,3,15,0,0,1,13,"[0, 12, 7, 16, 11, 3, 22, 15, 13]",9,0,[],8.621321408,22687,2441,1,0,9,1.4544229719836068
undo,3,15,0,1,1,13,"[0, 12, 7, 16, 11, 3, 22, 15, 13]",9,0,[],8.621321408,23664,977,1,0,9,1.4544229719836068
undo,4,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,130,-1,13,161,9,0.0
undo,4,16,0,0,0,17,"[0, 17]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",241.3058776,1708,1578,2,58,9,1.0
undo,4,16,0,0,0,16,"[0, 17, 16]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",212.9862731,5057,3349,2,52,9,1.0529535521792848
undo,4,16,0,0,0,21,"[0, 17, 16, 21]",4,19,"[3, 5, 7, 8, 9, 10, 12, 14, 15, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",168.332046,6166,1109,9,18,8,1.5524765786046826
undo,4,16,0,0,0,8,"[0, 17, 16, 21, 8]",5,7,"[3, 5, 9, 12, 15, 20, 25]",119.0776046,7417,1251,9,6,8,1.458624751458944
undo,4,16,0,0,0,20,"[0, 17, 16, 21, 8, 20]",6,3,"[9, 15, 25]",61.30217727,8927,1510,4,1,8,1.3191752290945782
undo,4,16,0,0,0,25,"[0, 17, 16, 21, 8, 20, 25]",7,2,"[9, 15]",48.65306663,11625,2698,2,0,8,1.3641436248537882
