condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,142,-1,6,168,10,0.0
basic,0,37,0,0,0,9,"[0, 9]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",275.7925631,18635,18493,45,289,9,1.0
basic,0,37,0,0,0,12,"[0, 9, 12]",3,12,"[5, 6, 7, 8, 10, 13, 14, 16, 17, 18, 23, 28]",194.0490619,19988,1353,10,13,6,1.0254170250851105
basic,0,37,0,0,0,16,"[0, 9, 12, 16]",4,4,"[8, 13, 14, 23]",136.0404418,21317,1329,3,2,6,1.1137230906502282
basic,0,37,0,0,0,13,"[0, 9, 12, 16, 13]",5,1,[8],106.4938684,22433,1116,1,0,6,1.1048297662184086
basic,0,37,0,0,1,8,"[0, 9, 12, 16, 13, 8]",6,0,[],76.41065049,25360,2927,1,0,6,1.4980377585122178
basic,0,37,0,1,1,8,"[0, 9, 12, 16, 13, 8]",6,0,[],76.41065049,27735,2375,1,0,6,1.4980377585122178
basic,1,27,0,0,0,0,[0],1,26,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,143,-1,13,578,11,0.0
basic,1,27,0,0,0,15,"[0, 15]",2,24,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29]",263.7508621,7028,6885,6,219,11,1.0
basic,1,27,0,0,0,24,"[0, 15, 24]",3,20,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26, 27, 29]",246.5462115,7882,854,6,130,11,1.130933077698322
basic,1,27,0,0,0,17,"[0, 15, 24, 17]",4,15,"[1, 6, 8, 10, 12, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",229.9932662,9209,1327,4,60,11,1.1285538435963374
basic,1,27,0,0,0,12,"[0, 15, 24, 17, 12]",5,14,"[1, 6, 8, 10, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",218.8129263,10026,817,2,32,11,1.2561880288755216
basic,1,27,0,0,0,10,"[0, 15, 24, 17, 12, 10]",6,11,"[1, 8, 13, 14, 18, 19, 23, 25, 26, 27, 29]",207.7675653,10875,849,2,28,11,1.2228289337766665
basic,1,27,0,0,0,13,"[0, 15, 24, 17, 12, 10, 13]",7,9,"[1, 8, 14, 18, 19, 23, 26, 27, 29]",167.9178476,11763,888,2,18,11,1.3421291994761178
basic,1,27,0,0,0,19,"[0, 15, 24, 17, 12, 10, 13, 19]",8,5,"[1, 8, 14, 23, 29]",131.6825057,12823,1060,2,6,11,1.294749956153846
basic,1,27,0,0,0,8,"[0, 15, 24, 17, 12, 10, 13, 19, 8]",9,3,"[14, 23, 29]",116.816437,13988,1165,2,1,11,1.3554286578836865
basic,1,27,0,0,0,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 14]",10,1,[29],59.25777126,16652,2664,1,0,11,1.312380420632942
basic,1,27,0,1,0,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 14]",10,1,[29],59.25777126,18027,1375,1,0,11,1.312380420632942
basic,2,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,158,-1,5,41,8,0.0
basic,2,30,0,0,0,16,"[0, 16]",2,17,"[3, 5, 7, 9, 11, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",219.3774225,3100,2942,5,34,8,1.0
basic,2,30,0,0,0,26,"[0, 16, 26]",3,8,"[9, 11, 17, 20, 22, 25, 27, 28]",176.927452,4516,1416,7,3,5,1.3420329969668985
basic,2,30,0,0,0,17,"[0, 16, 26, 17]",4,1,[22],74.96177146,5997,1481,1,0,5,1.193219858893313
basic,2,30,0,0,1,22,"[0, 16, 26, 17, 22]",5,0,[],55.7263874,7594,1597,1,0,5,1.223925680162388
basic,2,30,0,1,1,22,"[0, 16, 26, 17, 22]",5,0,[],55.7263874,10567,2973,1,0,5,1.223925680162388
basic,3,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,161,-1,34,427,10,0.0
basic,3,3,0,0,0,7,"[0, 7]",2,28,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",278.8103799,5034,4873,24,215,10,1.0
basic,3,3,0,0,0,8,"[0, 7, 8]",3,24,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",222.837172,6779,1745,16,114,10,1.2853332575451413
basic,3,3,0,0,0,24,"[0, 7, 8, 24]",4,21,"[1, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",210.671647,7735,956,16,91,10,1.5177505014936548
basic,3,3,0,0,0,14,"[0, 7, 8, 24, 14]",5,7,"[3, 4, 10, 17, 19, 20, 21]",139.5590602,9693,1958,4,18,10,1.2465780547557723
basic,3,3,0,0,0,21,"[0, 7, 8, 24, 14, 21]",6,6,"[3, 4, 10, 17, 19, 20]",112.6518121,11944,2251,2,7,10,1.2183717977583874
basic,3,3,0,0,0,19,"[0, 7, 8, 24, 14, 21, 19]",7,5,"[3, 4, 10, 17, 20]",100.4452565,13124,1180,2,4,10,1.3521756718137403
basic,3,3,0,0,0,3,"[0, 7, 8, 24, 14, 21, 19, 3]",8,2,"[17, 20]",63.10894706,14163,1039,2,0,10,1.8936141376820974
basic,3,3,0,1,0,3,"[0, 7, 8, 24, 14, 21, 19, 3]",8,2,"[17, 20]",63.10894706,15147,984,2,0,10,1.8936141376820974
basic,4,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,160,-1,31,704,9,0.0
basic,4,22,0,0,0,29,"[0, 29]",2,22,"[1, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28]",222.9935068,8231,8071,11,235,9,1.0
basic,4,22,0,0,0,19,"[0, 29, 19]",3,18,"[1, 3, 6, 7, 8, 9, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 28]",207.9602104,8963,732,11,172,9,1.1559285443414686
basic,4,22,0,0,0,9,"[0, 29, 19, 9]",4,16,"[1, 3, 6, 7, 8, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",187.5641323,10143,1180,7,84,9,1.2555028175473422
basic,4,22,0,0,0,6,"[0, 29, 19, 9, 6]",5,13,"[3, 7, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",160.9370784,11127,984,17,16,8,1.5692551066355458
basic,4,22,0,0,0,16,"[0, 29, 19, 9, 6, 16]",6,5,"[7, 14, 22, 25, 28]",126.4987277,12208,1081,4,2,8,2.1316196867673534
basic,4,22,0,0,0,28,"[0, 29, 19, 9, 6, 16, 28]",7,2,"[7, 14]",92.06037699,13341,1133,2,0,8,1.8800559086622874
basic,4,22,0,1,0,28,"[0, 29, 19, 9, 6, 16, 28]",7,2,"[7, 14]",92.06037699,14582,1241,2,0,8,1.8800559086622874
basic,5,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,144,-1,6,74,7,0.0
basic,5,1,0,0,0,14,"[0, 14]",2,19,"[1, 4, 5, 8, 9, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",200.1901808,5899,5755,5,42,7,1.0
basic,5,1,0,0,0,17,"[0, 14, 17]",3,15,"[1, 4, 5, 8, 9, 13, 15, 18, 19, 20, 22, 23, 25, 28, 29]",147.8356204,7099,1200,5,27,7,1.0028844724416826
basic,5,1,0,0,0,1,"[0, 14, 17, 1]",4,12,"[4, 5, 8, 9, 15, 18, 20, 22, 23, 25, 28, 29]",123.4840291,8362,1263,5,15,7,1.0264985578353567
basic,5,1,0,0,0,28,"[0, 14, 17, 1, 28]",5,5,"[9, 15, 22, 23, 29]",88.59850198,9898,1536,5,3,7,1.0339861575999345
basic,5,1,0,0,0,23,"[0, 14, 17, 1, 28, 23]",6,2,"[15, 22]",51.70676849,11776,1878,2,0,7,1.0327458250705703
basic,5,1,0,1,0,23,"[0, 14, 17, 1, 28, 23]",6,2,"[15, 22]",51.70676849,13015,1239,2,0,7,1.0327458250705703
basic,6,38,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,194,-1,33,506,9,0.0
basic,6,38,0,0,0,20,"[0, 20]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",246.1483519,8095,7901,14,198,9,1.0
basic,6,38,0,0,0,17,"[0, 20, 17]",3,24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29]",222.3786233,9559,1464,7,72,9,1.1975812846326472
basic,6,38,0,0,0,19,"[0, 20, 17, 19]",4,20,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 16, 18, 22, 23, 24, 25, 26, 27, 28, 29]",201.001065,10479,920,3,27,9,1.2298241575560172
basic,6,38,0,0,0,3,"[0, 20, 17, 19, 3]",5,7,"[6, 9, 18, 22, 23, 27, 29]",124.8958746,11548,1069,7,3,7,1.142156166414804
basic,6,38,0,0,0,27,"[0, 20, 17, 19, 3, 27]",6,2,"[18, 22]",76.63616054,12630,1082,2,0,7,1.5398544698551566
basic,6,38,0,0,1,22,"[0, 20, 17, 19, 3, 27, 22]",7,0,[],48.00051842,14905,2275,1,0,7,1.4647914660952526
basic,6,38,0,1,1,22,"[0, 20, 17, 19, 3, 27, 22]",7,0,[],48.00051842,16329,1424,1,0,7,1.4647914660952526
basic,7,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,145,-1,3,79,9,0.0
