condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,6,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,108,-1,180,4304,10,0.0
undo,0,6,0,0,0,3,"[0, 3]",2,28,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",266.4738908,5334,5226,90,1607,10,1.0
undo,0,6,0,0,0,18,"[0, 3, 18]",3,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",237.4738908,6097,763,34,516,10,1.0266750028725786
undo,0,6,0,0,0,17,"[0, 3, 18, 17]",4,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",223.5455025,7715,1618,17,243,10,1.0832900829093166
undo,0,6,0,0,0,10,"[0, 3, 18, 17, 10]",5,22,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]",203.8224196,8421,706,10,111,10,1.140294203414171
undo,0,6,0,0,0,24,"[0, 3, 18, 17, 10, 24]",6,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 22, 23, 26, 27, 28, 29]",190.4060117,9258,837,10,80,10,1.1264281153820843
undo,0,6,0,0,0,23,"[0, 3, 18, 17, 10, 24, 23]",7,9,"[5, 6, 7, 11, 14, 16, 22, 27, 29]",129.2177775,10129,871,3,18,10,1.2725820835879924
undo,0,6,0,0,0,22,"[0, 3, 18, 17, 10, 24, 23, 22]",8,6,"[6, 11, 14, 16, 27, 29]",88.21777754,10660,531,1,5,10,1.3601236971104531
undo,0,6,0,0,0,29,"[0, 3, 18, 17, 10, 24, 23, 22, 29]",9,1,[16],37.88885941,12126,1466,1,0,10,2.460947627385582
undo,0,6,0,0,1,16,"[0, 3, 18, 17, 10, 24, 23, 22, 29, 16]",10,0,[],1.200986759,13318,1192,1,0,10,4.139618291530855
undo,0,6,1,0,0,29,"[0, 3, 18, 17, 10, 24, 23, 22, 29]",9,1,[16],37.88885941,18430,5112,1,0,10,2.460947627385582
undo,0,6,1,0,0,22,"[0, 3, 18, 17, 10, 24, 23, 22]",8,6,"[6, 11, 14, 16, 27, 29]",88.21777754,18624,194,1,5,10,1.3601236971104531
undo,0,6,1,0,0,23,"[0, 3, 18, 17, 10, 24, 23]",7,9,"[5, 6, 7, 11, 14, 16, 22, 27, 29]",129.2177775,18819,195,3,18,10,1.2725820835879924
undo,0,6,1,0,0,24,"[0, 3, 18, 17, 10, 24]",6,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 22, 23, 26, 27, 28, 29]",190.4060117,19326,507,10,80,10,1.1264281153820843
undo,0,6,0,0,0,7,"[0, 3, 18, 17, 10, 24, 7]",7,7,"[1, 2, 8, 13, 16, 26, 29]",119.4694203,21130,1804,7,2,9,3.7594224039448885
undo,0,6,0,0,0,26,"[0, 3, 18, 17, 10, 24, 7, 26]",8,3,"[1, 2, 13]",95.38623114,21529,399,3,0,9,4.113722643581588
undo,0,6,0,0,1,2,"[0, 3, 18, 17, 10, 24, 7, 26, 2]",9,0,[],65.55336336,22124,595,1,0,9,2.9556271670125684
undo,0,6,1,0,0,26,"[0, 3, 18, 17, 10, 24, 7, 26]",8,3,"[1, 2, 13]",95.38623114,23590,1466,3,0,9,4.113722643581588
undo,0,6,0,0,1,13,"[0, 3, 18, 17, 10, 24, 7, 26, 13]",9,0,[],16.17764575,24924,1334,1,0,9,8.573167739170453
undo,0,6,1,0,0,26,"[0, 3, 18, 17, 10, 24, 7, 26]",8,3,"[1, 2, 13]",95.38623114,28493,3569,3,0,9,4.113722643581588
undo,0,6,1,0,0,7,"[0, 3, 18, 17, 10, 24, 7]",7,7,"[1, 2, 8, 13, 16, 26, 29]",119.4694203,30612,2119,7,2,9,3.7594224039448885
undo,0,6,1,0,0,24,"[0, 3, 18, 17, 10, 24]",6,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 22, 23, 26, 27, 28, 29]",190.4060117,30973,361,10,80,10,1.1264281153820843
undo,0,6,1,0,0,10,"[0, 3, 18, 17, 10]",5,22,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]",203.8224196,31640,667,10,111,10,1.140294203414171
undo,0,6,1,0,0,17,"[0, 3, 18, 17]",4,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",223.5455025,32348,708,17,243,10,1.0832900829093166
undo,0,6,0,0,0,10,"[0, 3, 18, 17, 10]",5,22,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]",203.8224196,33531,1183,10,111,10,1.140294203414171
undo,0,6,0,0,0,24,"[0, 3, 18, 17, 10, 24]",6,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 22, 23, 26, 27, 28, 29]",190.4060117,33885,354,10,80,10,1.1264281153820843
undo,0,6,0,0,0,16,"[0, 3, 18, 17, 10, 24, 16]",7,13,"[1, 2, 6, 7, 13, 14, 20, 21, 22, 23, 26, 27, 29]",134.3703088,34503,618,6,21,10,2.2946652061367843
undo,0,6,0,0,0,29,"[0, 3, 18, 17, 10, 24, 16, 29]",8,7,"[6, 14, 20, 21, 22, 23, 27]",97.68243615,35154,651,5,5,10,1.8995488998077483
undo,0,6,0,0,0,23,"[0, 3, 18, 17, 10, 24, 16, 29, 23]",9,2,"[6, 22]",50.16401866,37886,2732,2,0,10,1.8616504050291767
