condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,181,-1,6,168,10,0.0
basic,0,37,0,0,0,28,"[0, 28]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",229.1692157,8096,7915,18,114,7,1.0
basic,0,37,0,0,0,6,"[0, 28, 6]",3,15,"[3, 5, 9, 10, 11, 15, 17, 18, 19, 20, 21, 23, 25, 26, 29]",168.4979705,9468,1372,7,34,7,1.4684030276794289
basic,0,37,0,0,0,10,"[0, 28, 6, 10]",4,13,"[3, 5, 9, 11, 17, 18, 19, 20, 21, 23, 25, 26, 29]",154.1801494,10102,634,4,16,7,1.4636977027853721
basic,0,37,0,0,0,17,"[0, 28, 6, 10, 17]",5,11,"[3, 5, 9, 11, 18, 19, 20, 21, 23, 26, 29]",139.6199296,10734,632,4,8,7,1.756910785214025
basic,0,37,0,0,0,29,"[0, 28, 6, 10, 17, 29]",6,2,"[11, 19]",86.15966402,11539,805,2,0,7,1.6485878380764996
basic,0,37,0,1,0,29,"[0, 28, 6, 10, 17, 29]",6,2,"[11, 19]",86.15966402,12363,824,2,0,7,1.6485878380764996
basic,1,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,9,226,9,0.0
basic,1,26,0,0,0,16,"[0, 16]",2,17,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 17, 18, 19, 21, 22, 23, 26, 29]",188.0535842,4730,4567,34,176,8,1.0
basic,1,26,0,0,0,29,"[0, 16, 29]",3,12,"[4, 5, 6, 10, 12, 13, 14, 17, 19, 21, 23, 26]",163.8461474,5808,1078,32,68,8,1.1142946124989752
basic,1,26,0,0,0,4,"[0, 16, 29, 4]",4,9,"[5, 6, 10, 12, 13, 14, 17, 21, 23]",139.8461474,6594,786,17,7,8,1.3213762371676339
basic,1,26,0,0,0,17,"[0, 16, 29, 4, 17]",5,5,"[6, 10, 14, 21, 23]",118.7511243,7187,593,6,0,8,1.2756100061290643
basic,1,26,0,0,0,14,"[0, 16, 29, 4, 17, 14]",6,2,"[6, 10]",96.27891921,7785,598,2,0,8,1.264154039440982
basic,1,26,0,0,0,6,"[0, 16, 29, 4, 17, 14, 6]",7,1,[10],75.25512317,9454,1669,1,0,8,1.3993089646092733
basic,1,26,0,1,0,6,"[0, 16, 29, 4, 17, 14, 6]",7,1,[10],75.25512317,10613,1159,1,0,8,1.3993089646092733
basic,2,15,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,4,65,9,0.0
basic,2,15,0,0,0,12,"[0, 12]",2,22,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 23, 24, 26, 27, 28, 29]",213.547701,6304,6141,4,35,9,1.0
basic,2,15,0,0,0,7,"[0, 12, 7]",3,16,"[1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 24, 27]",180.3061607,7168,864,4,29,9,1.411291635294361
basic,2,15,0,0,0,11,"[0, 12, 7, 11]",4,9,"[3, 4, 13, 14, 15, 16, 21, 22, 27]",138.8212237,7955,787,2,12,9,1.2980572092387541
basic,2,15,0,0,0,3,"[0, 12, 7, 11, 3]",5,7,"[4, 13, 14, 15, 16, 21, 22]",127.4194695,8754,799,2,7,9,1.3036925309398455
basic,2,15,0,0,0,16,"[0, 12, 7, 11, 3, 16]",6,5,"[4, 13, 14, 15, 22]",102.3395971,10542,1788,2,2,9,1.731400260973498
basic,2,15,0,1,0,16,"[0, 12, 7, 11, 3, 16]",6,5,"[4, 13, 14, 15, 22]",102.3395971,12248,1706,2,2,9,1.731400260973498
basic,3,20,0,0,0,0,[0],1,21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,162,-1,1,9,9,0.0
basic,3,20,0,0,0,12,"[0, 12]",2,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",271.5570747,3857,3695,1,8,9,1.0
basic,3,20,0,0,0,1,"[0, 12, 1]",3,12,"[3, 4, 5, 6, 8, 9, 20, 21, 23, 27, 28, 29]",189.5692707,5838,1981,1,6,9,1.0757997779162911
basic,3,20,0,0,0,5,"[0, 12, 1, 5]",4,10,"[4, 6, 8, 9, 20, 21, 23, 27, 28, 29]",152.8950291,6719,881,1,5,9,1.1708231454516806
basic,3,20,0,0,0,21,"[0, 12, 1, 5, 21]",5,8,"[4, 6, 8, 9, 20, 23, 27, 28]",107.8950291,8054,1335,1,4,9,1.126197336199212
basic,3,20,0,0,0,8,"[0, 12, 1, 5, 21, 8]",6,5,"[6, 9, 23, 27, 28]",90.43077988,9295,1241,1,3,9,1.140007470699913
basic,3,20,0,1,0,8,"[0, 12, 1, 5, 21, 8]",6,5,"[6, 9, 23, 27, 28]",90.43077988,10229,934,1,3,9,1.140007470699913
basic,4,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,3,79,9,0.0
basic,4,7,0,0,0,6,"[0, 6]",2,22,"[2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28]",231.1160396,3421,3259,1,24,9,1.0
basic,4,7,0,0,0,25,"[0, 6, 25]",3,14,"[2, 4, 5, 7, 13, 14, 15, 16, 18, 19, 20, 21, 23, 28]",163.9371739,4510,1089,1,15,9,1.1491202566384209
basic,4,7,0,0,0,4,"[0, 6, 25, 4]",4,10,"[2, 7, 13, 15, 16, 18, 19, 20, 21, 23]",139.1985401,5253,743,1,9,9,1.145081852791697
basic,4,7,0,0,0,20,"[0, 6, 25, 4, 20]",5,6,"[2, 7, 13, 16, 18, 19]",119.5516574,6108,855,1,4,9,1.2036846139155144
basic,4,7,0,0,0,18,"[0, 6, 25, 4, 20, 18]",6,5,"[2, 7, 13, 16, 19]",106.7454089,6994,886,1,3,9,1.3498144584217913
basic,4,7,0,0,0,7,"[0, 6, 25, 4, 20, 18, 7]",7,2,"[2, 19]",65.51435269,8293,1299,1,1,9,1.2817825700699357
basic,4,7,0,1,0,7,"[0, 6, 25, 4, 20, 18, 7]",7,2,"[2, 19]",65.51435269,9247,954,1,1,9,1.2817825700699357
basic,5,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,3,136,10,0.0
basic,5,18,0,0,0,26,"[0, 26]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]",258.0238163,5703,5541,1,61,10,1.0
basic,5,18,0,0,0,23,"[0, 26, 23]",3,24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 27, 28, 29]",239.422741,6620,917,1,60,10,1.576763070488403
basic,5,18,0,0,0,25,"[0, 26, 23, 25]",4,12,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 27, 28]",177.1571807,7889,1269,1,20,10,2.047096022516276
basic,5,18,0,0,0,8,"[0, 26, 23, 25, 8]",5,10,"[3, 5, 7, 9, 12, 13, 14, 16, 27, 28]",140.1031661,8537,648,1,8,10,1.690350929277305
basic,5,18,0,0,0,13,"[0, 26, 23, 25, 8, 13]",6,9,"[3, 5, 7, 9, 12, 14, 16, 27, 28]",119.008143,9603,1066,1,5,10,1.9253363419040979
basic,5,18,0,0,0,14,"[0, 26, 23, 25, 8, 13, 14]",7,6,"[3, 5, 7, 9, 12, 27]",100.034477,10542,939,1,3,10,1.7836299664340558
basic,5,18,0,0,0,3,"[0, 26, 23, 25, 8, 13, 14, 3]",8,2,"[5, 12]",69.95125912,12053,1511,1,1,10,1.8798445814496316
basic,5,18,0,1,0,3,"[0, 26, 23, 25, 8, 13, 14, 3]",8,2,"[5, 12]",69.95125912,13196,1143,1,1,10,1.8798445814496316
basic,6,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,84,830,9,0.0
basic,6,21,0,0,0,25,"[0, 25]",2,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29]",240.1836143,5072,4909,30,238,9,1.0
basic,6,21,0,0,0,23,"[0, 25, 23]",3,21,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 24, 27, 29]",196.8592562,6494,1422,14,80,9,1.0416131642057598
basic,6,21,0,0,0,21,"[0, 25, 23, 21]",4,14,"[1, 4, 6, 8, 9, 14, 15, 16, 17, 18, 20, 22, 24, 29]",167.2450705,7607,1113,10,25,9,1.4768792067751173
basic,6,21,0,0,0,14,"[0, 25, 23, 21, 14]",5,10,"[4, 8, 9, 15, 16, 17, 18, 22, 24, 29]",141.6325735,11119,3512,8,13,9,1.3826076066332742
basic,6,21,0,0,0,4,"[0, 25, 23, 21, 14, 4]",6,7,"[8, 15, 16, 17, 18, 24, 29]",127.4904379,12872,1753,8,3,9,1.3487191473328533
basic,6,21,0,0,0,16,"[0, 25, 23, 21, 14, 4, 16]",7,3,"[8, 15, 24]",82.89223163,14052,1180,4,1,9,1.3301484172843694
basic,6,21,0,0,0,8,"[0, 25, 23, 21, 14, 4, 16, 8]",8,2,"[15, 24]",64.2911564,15787,1735,2,0,9,1.3009886562393016
basic,6,21,0,1,0,8,"[0, 25, 23, 21, 14, 4, 16, 8]",8,2,"[15, 24]",64.2911564,17197,1410,2,0,9,1.3009886562393016
basic,7,6,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,187,-1,180,4304,10,0.0
basic,7,6,0,0,0,3,"[0, 3]",2,28,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",266.4738908,4684,4497,90,1607,10,1.0
basic,7,6,0,0,0,10,"[0, 3, 10]",3,27,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",215.2293789,6433,1749,8,136,10,1.0050517746249001
basic,7,6,0,0,0,24,"[0, 3, 10, 24]",4,23,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",201.812971,7801,1368,8,85,10,1.0091851911500884
basic,7,6,0,0,0,17,"[0, 3, 10, 24, 17]",5,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 18, 20, 21, 22, 23, 26, 27, 29]",172.5384087,8637,836,8,53,10,1.8060138032707682
basic,7,6,0,0,0,18,"[0, 3, 10, 24, 17, 18]",6,15,"[1, 2, 6, 7, 8, 13, 14, 16, 20, 21, 22, 23, 26, 27, 29]",158.6100204,9469,832,7,36,10,2.3216150751946008
basic,7,6,0,0,0,16,"[0, 3, 10, 24, 17, 18, 16]",7,13,"[1, 2, 6, 7, 13, 14, 20, 21, 22, 23, 26, 27, 29]",135.2647853,10768,1299,7,21,10,2.2822729587843544
basic,7,6,0,0,0,29,"[0, 3, 10, 24, 17, 18, 16, 29]",8,7,"[6, 14, 20, 21, 22, 23, 27]",98.57691268,12512,1744,6,4,10,1.8911507070056388
basic,7,6,0,1,0,29,"[0, 3, 10, 24, 17, 18, 16, 29]",8,7,"[6, 14, 20, 21, 22, 23, 27]",98.57691268,14195,1683,6,4,10,1.8911507070056388
basic,8,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,172,-1,5,41,8,0.0
basic,8,30,0,0,0,26,"[0, 26]",2,15,"[3, 5, 9, 11, 16, 17, 18, 19, 20, 21, 22, 25, 27, 28, 29]",208.2939479,8778,8606,5,27,6,1.0
basic,8,30,0,0,0,16,"[0, 26, 16]",3,9,"[3, 9, 11, 17, 20, 22, 25, 27, 28]",165.8439773,10106,1328,2,8,6,1.6640006669138325
basic,8,30,0,0,0,11,"[0, 26, 16, 11]",4,1,[9],63.66276572,11441,1335,1,0,5,1.3262938848531356
basic,8,30,0,1,0,11,"[0, 26, 16, 11]",4,1,[9],63.66276572,12549,1108,1,0,5,1.3262938848531356
basic,9,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,165,-1,8,191,9,0.0
basic,9,40,0,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,2545,2380,4,80,9,1.0
basic,9,40,0,0,0,6,"[0, 1, 6]",3,17,"[2, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",227.7466295,3705,1160,4,74,9,1.0459427008232034
basic,9,40,0,0,0,21,"[0, 1, 6, 21]",4,8,"[2, 5, 9, 17, 18, 19, 22, 23]",175.7754837,5307,1602,4,25,9,1.0308822257404064
basic,9,40,0,0,0,9,"[0, 1, 6, 21, 9]",5,6,"[2, 5, 18, 19, 22, 23]",130.0699041,6110,803,4,12,9,1.377861912961129
basic,9,40,0,0,0,18,"[0, 1, 6, 21, 9, 18]",6,5,"[2, 5, 19, 22, 23]",113.5169588,7320,1210,4,4,9,1.5742712168661408
basic,9,40,0,0,0,23,"[0, 1, 6, 21, 9, 18, 23]",7,3,"[2, 5, 19]",79.51695879,9338,2018,2,1,9,2.324611956726637
basic,9,40,0,1,0,23,"[0, 1, 6, 21, 9, 18, 23]",7,3,"[2, 5, 19]",79.51695879,11048,1710,2,1,9,2.324611956726637
basic,10,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,12,149,8,0.0
basic,10,19,0,0,0,29,"[0, 29]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",265.0715016,3203,3039,12,120,8,1.0
