condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,195,-1,5,41,8,0.0
undo,0,30,0,0,0,27,"[0, 27]",2,10,"[3, 5, 7, 9, 18, 19, 20, 24, 25, 29]",90.59608409,4563,4368,7,22,6,1.0
undo,0,30,0,0,0,3,"[0, 27, 3]",3,8,"[5, 7, 18, 19, 20, 24, 25, 29]",71.49111091,5702,1139,5,9,6,1.0022223300201003
undo,0,30,0,0,0,5,"[0, 27, 3, 5]",4,4,"[7, 18, 24, 29]",46.65162621,9138,3436,1,3,6,1.047699458031665
undo,0,30,0,0,0,18,"[0, 27, 3, 5, 18]",5,1,[29],33.6132214,10330,1192,1,0,6,1.0906504953306948
undo,0,30,0,0,1,29,"[0, 27, 3, 5, 18, 29]",6,0,[],14.30001349,11595,1265,1,0,6,1.1734964103241567
undo,0,30,0,1,1,29,"[0, 27, 3, 5, 18, 29]",6,0,[],14.30001349,13296,1701,1,0,6,1.1734964103241567
undo,1,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,131,-1,1,30,10,0.0
undo,1,39,0,0,0,14,"[0, 14]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",286.9615952,3798,3667,1,22,10,1.0
undo,1,39,0,0,0,29,"[0, 14, 29]",3,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28]",218.9321898,7948,4150,1,21,10,1.4237768813412561
undo,1,39,0,0,0,12,"[0, 14, 29, 12]",4,16,"[1, 2, 4, 5, 7, 9, 10, 13, 15, 16, 18, 19, 22, 23, 24, 26]",158.3929463,9670,1722,1,11,10,1.2085522586932163
undo,1,39,0,0,0,10,"[0, 14, 29, 12, 10]",5,11,"[1, 4, 5, 7, 15, 16, 18, 19, 22, 23, 26]",122.8823845,11061,1391,1,8,10,1.4905426536315662
undo,1,39,0,0,0,7,"[0, 14, 29, 12, 10, 7]",6,6,"[1, 16, 18, 19, 22, 26]",89.46083457,12674,1613,1,6,10,1.3836596018032035
undo,1,39,0,0,0,26,"[0, 14, 29, 12, 10, 7, 26]",7,3,"[16, 19, 22]",70.77929288,15092,2418,1,4,10,1.4191124441944845
undo,1,39,0,0,0,22,"[0, 14, 29, 12, 10, 7, 26, 22]",8,2,"[16, 19]",53.05924773,17431,2339,1,1,10,1.594793297833885
undo,1,39,0,0,0,16,"[0, 14, 29, 12, 10, 7, 26, 22, 16]",9,1,[19],18.05924773,19903,2472,1,0,10,1.48519520801471
undo,1,39,0,0,1,19,"[0, 14, 29, 12, 10, 7, 26, 22, 16, 19]",10,0,[],0.594998533,21629,1726,1,0,10,1.484277847976571
undo,1,39,0,1,1,19,"[0, 14, 29, 12, 10, 7, 26, 22, 16, 19]",10,0,[],0.594998533,23219,1590,1,0,10,1.484277847976571
undo,2,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,132,-1,2,96,9,0.0
undo,2,28,0,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,5855,5723,1,64,9,1.0
undo,2,28,0,0,0,26,"[0, 3, 26]",3,16,"[2, 4, 5, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 25, 28, 29]",138.1879454,9689,3834,5,37,8,1.0068906291240314
undo,2,28,0,0,0,19,"[0, 3, 26, 19]",4,8,"[2, 5, 7, 9, 12, 13, 14, 18]",97.1879454,12495,2806,4,16,8,1.1107862808184208
undo,2,28,0,0,0,7,"[0, 3, 26, 19, 7]",5,5,"[2, 12, 13, 14, 18]",69.45709615,14856,2361,2,5,8,1.176913490982096
undo,2,28,0,0,0,12,"[0, 3, 26, 19, 7, 12]",6,2,"[13, 18]",56.30414972,16495,1639,1,1,8,1.1828641377899662
undo,2,28,0,0,0,13,"[0, 3, 26, 19, 7, 12, 13]",7,1,[18],39.09949918,18114,1619,1,0,8,1.3692781947060153
undo,2,28,0,0,1,18,"[0, 3, 26, 19, 7, 12, 13, 18]",8,0,[],14.68638795,19940,1826,1,0,8,1.7149955009475475
undo,2,28,0,1,1,18,"[0, 3, 26, 19, 7, 12, 13, 18]",8,0,[],14.68638795,21592,1652,1,0,8,1.7149955009475475
undo,3,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,135,-1,16,302,9,0.0
undo,3,42,0,0,0,22,"[0, 22]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",211.3997743,5972,5837,5,83,9,1.0
undo,3,42,0,0,0,4,"[0, 22, 4]",3,26,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",200.2194344,7287,1315,4,51,9,1.1029012260448476
undo,3,42,0,0,0,5,"[0, 22, 4, 5]",4,24,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",180.3700011,9474,2187,3,22,9,1.1004909640339868
undo,3,42,0,0,0,8,"[0, 22, 4, 5, 8]",5,16,"[1, 2, 3, 6, 7, 11, 15, 18, 19, 23, 24, 25, 26, 27, 28, 29]",145.8881218,10876,1402,3,12,9,1.4333663223483832
undo,3,42,0,0,0,1,"[0, 22, 4, 5, 8, 1]",6,6,"[2, 7, 18, 19, 26, 27]",96.796371,12733,1857,3,7,9,1.3048950637395882
undo,3,42,0,0,0,7,"[0, 22, 4, 5, 8, 1, 7]",7,4,"[2, 19, 26, 27]",66.796371,14543,1810,3,2,9,1.3461774355793397
undo,3,42,0,0,0,26,"[0, 22, 4, 5, 8, 1, 7, 26]",8,2,"[19, 27]",40.22571049,16736,2193,2,0,9,1.3119913611616163
undo,3,42,0,0,1,27,"[0, 22, 4, 5, 8, 1, 7, 26, 27]",9,0,[],22.19795412,19311,2575,1,0,9,1.3027999653776734
undo,3,42,0,1,1,27,"[0, 22, 4, 5, 8, 1, 7, 26, 27]",9,0,[],22.19795412,20810,1499,1,0,9,1.3027999653776734
