condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,32,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,17,359,10,0.0
basic,0,32,0,0,0,15,"[0, 15]",2,24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 28]",214.6185032,7889,7726,11,153,9,1.0
basic,0,32,0,0,0,28,"[0, 15, 28]",3,21,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27]",203.2167489,9767,1878,11,119,9,1.000160051986942
basic,0,32,0,0,0,12,"[0, 15, 28, 12]",4,19,"[2, 3, 5, 7, 8, 9, 10, 11, 13, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27]",184.243083,10994,1227,8,71,9,1.0281484763748023
basic,0,32,0,0,0,16,"[0, 15, 28, 12, 16]",5,17,"[2, 3, 5, 7, 8, 9, 10, 11, 13, 17, 19, 20, 22, 23, 24, 26, 27]",168.5906071,11983,989,6,38,9,1.1190771370096
basic,0,32,0,0,0,22,"[0, 15, 28, 12, 16, 22]",6,10,"[2, 3, 5, 8, 9, 10, 11, 17, 20, 27]",134.7527585,13035,1052,4,16,9,1.1702311155319893
basic,0,32,0,0,0,9,"[0, 15, 28, 12, 16, 22, 9]",7,6,"[2, 8, 10, 17, 20, 27]",112.5491552,14812,1777,2,4,9,1.2381424719932013
basic,0,32,0,0,0,2,"[0, 15, 28, 12, 16, 22, 9, 2]",8,1,[17],61.46099608,17618,2806,1,0,9,1.6446273109221003
basic,0,32,0,0,1,17,"[0, 15, 28, 12, 16, 22, 9, 2, 17]",9,0,[],21.64893761,19235,1617,1,0,9,2.46318728800517
basic,0,32,0,1,1,17,"[0, 15, 28, 12, 16, 22, 9, 2, 17]",9,0,[],21.64893761,20682,1447,1,0,9,2.46318728800517
basic,1,17,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,2,73,8,0.0
basic,1,17,0,0,0,9,"[0, 9]",2,25,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",210.5293344,2520,2357,1,34,8,1.0
basic,1,17,0,0,0,16,"[0, 9, 16]",3,21,"[1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",197.1876704,3772,1252,1,26,8,1.173103464220352
basic,1,17,0,0,0,8,"[0, 9, 16, 8]",4,10,"[2, 3, 7, 10, 11, 12, 14, 17, 26, 27]",147.1776714,6545,2773,1,15,7,1.14180128632074
basic,1,17,0,0,0,7,"[0, 9, 16, 8, 7]",5,3,"[10, 12, 27]",76.46699323,8098,1553,3,0,6,1.2155356482498607
basic,1,17,0,0,1,27,"[0, 9, 16, 8, 7, 27]",6,0,[],22.8666201,9544,1446,1,0,6,1.2903889899411993
basic,1,17,0,1,1,27,"[0, 9, 16, 8, 7, 27]",6,0,[],22.8666201,10716,1172,1,0,6,1.2903889899411993
basic,2,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,162,-1,16,556,12,0.0
basic,2,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,4226,4064,16,520,12,1.0
basic,2,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,10286,6060,15,422,12,1.082311746871282
basic,2,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,11897,1611,15,389,12,1.215201926898219
basic,2,43,0,0,0,25,"[0, 29, 20, 16, 25]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 19, 22, 23]",175.7708124,13763,1866,53,282,11,1.566384303308987
basic,2,43,0,0,0,15,"[0, 29, 20, 16, 25, 15]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23]",153.0992443,14985,1222,27,108,11,1.776736412604812
basic,2,43,0,0,0,12,"[0, 29, 20, 16, 25, 15, 12]",7,10,"[1, 3, 6, 7, 9, 11, 14, 19, 22, 23]",133.7860364,16391,1406,21,41,11,1.6813323012225032
basic,2,43,0,0,0,3,"[0, 29, 20, 16, 25, 15, 12, 3]",8,9,"[1, 6, 7, 9, 11, 14, 19, 22, 23]",120.7860364,18438,2047,20,12,11,1.608740348096123
basic,2,43,0,0,0,22,"[0, 29, 20, 16, 25, 15, 12, 3, 22]",9,6,"[1, 6, 7, 11, 14, 19]",86.07292644,20207,1769,9,2,11,1.793657891802588
basic,2,43,0,0,0,19,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19]",10,3,"[1, 6, 7]",65.45739831,25933,5726,3,0,11,1.6882745891803936
basic,2,43,0,0,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,27769,1836,1,0,11,1.825064866046553
basic,2,43,0,1,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,32289,4520,1,0,11,1.825064866046553
basic,3,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,155,-1,5,41,8,0.0
basic,3,30,0,0,0,25,"[0, 25]",2,12,"[3, 5, 7, 9, 11, 16, 18, 19, 20, 24, 27, 29]",121.1005869,5955,5800,7,37,7,1.0
basic,3,30,0,0,0,20,"[0, 25, 20]",3,9,"[3, 5, 7, 9, 11, 18, 19, 27, 29]",99.16887472,7043,1088,5,16,7,1.0037291321296267
basic,3,30,0,0,0,27,"[0, 25, 20, 27]",4,4,"[3, 5, 18, 29]",65.11010199,8229,1186,4,6,7,1.1217072851053165
basic,3,30,0,0,0,3,"[0, 25, 20, 27, 3]",5,3,"[5, 18, 29]",46.00512882,9400,1171,4,0,7,1.1140018780928678
basic,3,30,0,0,0,29,"[0, 25, 20, 27, 3, 29]",6,1,[18],27.40405358,10306,906,1,0,7,1.119672312555708
basic,3,30,0,0,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,13656,3350,1,0,7,1.1951451398733344
basic,3,30,0,1,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,15103,1447,1,0,7,1.1951451398733344
basic,4,2,0,0,0,0,[0],1,23,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,166,-1,70,620,10,0.0
basic,4,2,0,0,0,19,"[0, 19]",2,22,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 29]",210.306076,3670,3504,67,431,10,1.0
basic,4,2,0,0,0,12,"[0, 19, 12]",3,17,"[1, 4, 5, 6, 7, 13, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29]",174.2921898,5288,1618,66,298,10,1.1107635036313153
basic,4,2,0,0,0,5,"[0, 19, 12, 5]",4,11,"[1, 6, 7, 13, 15, 16, 18, 22, 25, 26, 29]",144.7625437,7272,1984,38,136,10,1.0968174771581647
basic,4,2,0,0,0,22,"[0, 19, 12, 5, 22]",5,8,"[1, 6, 7, 13, 15, 18, 26, 29]",131.9562952,8677,1405,20,63,10,1.0889910507461968
basic,4,2,0,0,0,13,"[0, 19, 12, 5, 22, 13]",6,7,"[1, 6, 7, 15, 18, 26, 29]",117.0902265,9771,1094,19,20,10,1.236526217328057
basic,4,2,0,0,0,18,"[0, 19, 12, 5, 22, 13, 18]",7,4,"[7, 15, 26, 29]",81.91921567,11371,1600,10,3,10,1.2128708213409936
basic,4,2,0,0,0,7,"[0, 19, 12, 5, 22, 13, 18, 7]",8,3,"[15, 26, 29]",71.62358553,14813,3442,5,0,10,1.2019811287894737
basic,4,2,0,0,0,15,"[0, 19, 12, 5, 22, 13, 18, 7, 15]",9,2,"[26, 29]",56.85876247,17624,2811,2,0,10,1.2907869828541363
basic,4,2,0,0,1,29,"[0, 19, 12, 5, 22, 13, 18, 7, 15, 29]",10,0,[],28.39826353,18731,1107,1,0,10,1.4795089334237532
basic,4,2,0,1,1,29,"[0, 19, 12, 5, 22, 13, 18, 7, 15, 29]",10,0,[],28.39826353,21186,2455,1,0,10,1.4795089334237532
basic,5,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,34,427,10,0.0
basic,5,3,0,0,0,17,"[0, 17]",2,16,"[3, 4, 7, 8, 10, 12, 14, 15, 16, 19, 20, 21, 22, 24, 26, 27]",197.6965299,4973,4809,2,27,9,1.0
basic,5,3,0,0,0,20,"[0, 17, 20]",3,13,"[3, 4, 7, 8, 10, 14, 15, 16, 19, 21, 22, 24, 27]",185.0474192,6348,1375,2,24,9,1.0153332121237257
basic,5,3,0,0,0,3,"[0, 17, 20, 3]",4,10,"[4, 7, 8, 10, 14, 15, 16, 19, 21, 24]",164.6513412,7965,1617,2,22,9,1.0819240770773468
basic,5,3,0,0,0,19,"[0, 17, 20, 3, 19]",5,6,"[4, 8, 10, 14, 21, 24]",127.3150318,9374,1409,2,11,9,1.1701070532957258
basic,5,3,0,0,0,21,"[0, 17, 20, 3, 19, 21]",6,5,"[4, 8, 10, 14, 24]",115.1084762,10698,1324,2,6,9,1.202395500952127
basic,5,3,0,0,0,14,"[0, 17, 20, 3, 19, 21, 14]",7,4,"[4, 8, 10, 24]",88.20122806,15566,4868,2,2,9,1.6456130302761207
basic,5,3,0,0,0,24,"[0, 17, 20, 3, 19, 21, 14, 24]",8,1,[8],17.08864127,17291,1725,1,0,9,4.806859660680286
basic,5,3,0,0,1,8,"[0, 17, 20, 3, 19, 21, 14, 24, 8]",9,0,[],4.923116212,18539,1248,1,0,9,4.915218144486606
basic,5,3,0,1,1,8,"[0, 17, 20, 3, 19, 21, 14, 24, 8]",9,0,[],4.923116212,21136,2597,1,0,9,4.915218144486606
basic,6,11,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28]",300,163,-1,6,374,12,0.0
basic,6,11,0,0,0,18,"[0, 18]",2,21,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 25, 27, 28]",236.8493864,3667,3504,157,1477,11,1.0
basic,6,11,0,0,0,27,"[0, 18, 27]",3,19,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 28]",212.9956655,5090,1423,157,1315,11,1.060949579704323
basic,6,11,0,0,0,17,"[0, 18, 27, 17]",4,14,"[1, 2, 4, 5, 6, 8, 11, 12, 15, 19, 22, 23, 25, 28]",135.9177828,6847,1757,46,349,11,1.1156120043677304
basic,6,11,0,0,0,8,"[0, 18, 27, 17, 8]",5,11,"[1, 2, 5, 6, 11, 12, 15, 19, 22, 25, 28]",121.5999617,7836,989,26,143,11,1.2285932943120847
basic,6,11,0,0,0,15,"[0, 18, 27, 17, 8, 15]",6,9,"[2, 5, 6, 11, 12, 19, 22, 25, 28]",108.1463377,9161,1325,24,54,11,1.223015425852291
basic,6,11,0,0,0,11,"[0, 18, 27, 17, 8, 15, 11]",7,6,"[2, 5, 12, 19, 22, 28]",90.03556742,10072,911,22,2,11,1.2111003833550413
basic,6,11,0,0,0,5,"[0, 18, 27, 17, 8, 15, 11, 5]",8,3,"[2, 22, 28]",54.80773752,13574,3502,5,1,11,1.5070858562662883
basic,6,11,0,0,0,28,"[0, 18, 27, 17, 8, 15, 11, 5, 28]",9,2,"[2, 22]",36.9191937,14953,1379,2,0,11,1.5224287982960607
basic,6,11,0,0,0,2,"[0, 18, 27, 17, 8, 15, 11, 5, 28, 2]",10,1,[22],26.28904788,16715,1762,1,0,11,1.5334969671993883
basic,6,11,0,0,1,22,"[0, 18, 27, 17, 8, 15, 11, 5, 28, 2, 22]",11,0,[],16.23917226,18233,1518,1,0,11,1.5050924702228456
