condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,116,-1,31,704,9,0.0
basic,0,22,0,0,0,16,"[0, 16]",2,21,"[1, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",218.605897,2993,2877,17,147,9,1.0
basic,0,22,0,0,0,28,"[0, 16, 28]",3,13,"[6, 7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",184.1675463,3977,984,12,61,9,1.047282311284478
basic,0,22,0,0,0,6,"[0, 16, 28, 6]",4,12,"[7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",154.1675463,5735,1758,12,43,9,1.645645870580622
basic,0,22,0,0,0,9,"[0, 16, 28, 6, 9]",5,8,"[7, 14, 17, 19, 20, 21, 24, 29]",127.5404924,6686,951,8,17,9,1.925750226630103
basic,0,22,0,0,0,19,"[0, 16, 28, 6, 9, 19]",6,6,"[7, 14, 17, 21, 24, 29]",107.1444143,7682,996,3,7,9,2.4220750331476455
basic,0,22,0,0,0,14,"[0, 16, 28, 6, 9, 19, 14]",7,2,"[7, 17]",56.81549621,10381,2699,1,1,9,1.8772710320660593
basic,0,22,0,0,0,7,"[0, 16, 28, 6, 9, 19, 14, 7]",8,1,[17],43.7770914,11045,664,1,0,9,2.0373042896202382
basic,0,22,0,0,1,17,"[0, 16, 28, 6, 9, 19, 14, 7, 17]",9,0,[],2.159787306,12430,1385,1,0,9,1.884724928206684
basic,0,22,0,1,1,17,"[0, 16, 28, 6, 9, 19, 14, 7, 17]",9,0,[],2.159787306,13574,1144,1,0,9,1.884724928206684
basic,1,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,157,-1,1,30,10,0.0
basic,1,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,4564,4407,8,104,9,1.0
basic,1,39,0,0,0,12,"[0, 29, 12]",3,18,"[1, 2, 4, 5, 7, 9, 10, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26, 28]",182.5221931,5932,1368,5,54,9,1.0026200331524904
basic,1,39,0,0,0,10,"[0, 29, 12, 10]",4,16,"[1, 2, 4, 5, 7, 9, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26]",147.0116313,7158,1226,5,34,9,1.2874817019928908
basic,1,39,0,0,0,7,"[0, 29, 12, 10, 7]",5,10,"[1, 2, 5, 13, 16, 18, 19, 22, 24, 26]",113.5900814,8805,1647,4,12,9,1.2250826263866774
basic,1,39,0,0,0,26,"[0, 29, 12, 10, 7, 26]",6,5,"[1, 16, 18, 19, 22]",94.90853971,9577,772,3,4,9,1.2697275353190085
basic,1,39,0,0,0,22,"[0, 29, 12, 10, 7, 26, 22]",7,2,"[16, 19]",77.18849457,10285,708,2,0,9,1.438961743955176
basic,1,39,0,0,0,16,"[0, 29, 12, 10, 7, 26, 22, 16]",8,1,[19],42.18849457,11369,1084,1,0,9,1.3580882130477205
basic,1,39,0,0,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,12102,733,1,0,9,1.3646589157842668
basic,1,39,0,1,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,14315,2213,1,0,9,1.3646589157842668
basic,2,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,123,-1,5,236,11,0.0
basic,2,35,0,0,0,27,"[0, 27]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",278.7867966,4089,3966,5,144,11,1.0
basic,2,35,0,0,0,24,"[0, 27, 24]",3,25,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29]",234.6053525,5209,1120,3,80,11,2.1084080567904624
basic,2,35,0,0,0,17,"[0, 27, 24, 17]",4,20,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 15, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29]",222.9006526,5876,667,3,50,11,1.9439555968916868
basic,2,35,0,0,0,1,"[0, 27, 24, 17, 1]",5,18,"[2, 4, 5, 6, 8, 9, 10, 15, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29]",207.0892643,6926,1050,3,39,11,1.9436711872547336
basic,2,35,0,0,0,15,"[0, 27, 24, 17, 1, 15]",6,16,"[2, 4, 5, 6, 8, 9, 10, 16, 18, 19, 20, 23, 25, 26, 28, 29]",184.241945,7717,791,3,24,11,2.082774572108194
basic,2,35,0,0,0,5,"[0, 27, 24, 17, 1, 15, 5]",7,9,"[4, 6, 9, 18, 20, 23, 25, 26, 29]",127.9214336,9188,1471,5,10,10,1.5417716194695787
basic,2,35,0,0,0,23,"[0, 27, 24, 17, 1, 15, 5, 23]",8,4,"[6, 9, 18, 25]",73.46962004,10376,1188,5,1,10,2.1306414861907443
basic,2,35,0,0,0,9,"[0, 27, 24, 17, 1, 15, 5, 23, 9]",9,1,[18],35.8265596,11451,1075,1,0,10,2.349996196791077
basic,2,35,0,0,1,18,"[0, 27, 24, 17, 1, 15, 5, 23, 9, 18]",10,0,[],15.8015752,12560,1109,1,0,10,2.2094041044965294
basic,2,35,0,1,1,18,"[0, 27, 24, 17, 1, 15, 5, 23, 9, 18]",10,0,[],15.8015752,14890,2330,1,0,10,2.2094041044965294
basic,3,11,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28]",300,163,-1,6,374,12,0.0
basic,3,11,0,0,0,18,"[0, 18]",2,21,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 25, 27, 28]",236.8493864,4867,4704,157,1477,11,1.0
basic,3,11,0,0,0,27,"[0, 18, 27]",3,19,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 28]",212.9956655,6417,1550,157,1315,11,1.060949579704323
basic,3,11,0,0,0,8,"[0, 18, 27, 8]",4,14,"[1, 2, 4, 5, 6, 11, 12, 15, 17, 19, 22, 23, 25, 28]",142.7817068,8042,1625,68,433,11,1.0827202875589923
basic,3,11,0,0,0,17,"[0, 18, 27, 8, 17]",5,13,"[1, 2, 4, 5, 6, 11, 12, 15, 19, 22, 23, 25, 28]",128.4638857,8883,841,42,137,11,1.1662918234607762
basic,3,11,0,0,0,15,"[0, 18, 27, 8, 17, 15]",6,9,"[2, 5, 6, 11, 12, 19, 22, 25, 28]",115.8147751,9729,846,38,57,11,1.1741312027420885
basic,3,11,0,0,0,11,"[0, 18, 27, 8, 17, 15, 11]",7,7,"[2, 5, 6, 12, 19, 22, 28]",97.70400479,10986,1257,24,0,11,1.1668679039564056
basic,3,11,0,0,0,28,"[0, 18, 27, 8, 17, 15, 11, 28]",8,4,"[2, 5, 19, 22]",78.28751696,15661,4675,6,0,11,1.2830334294205898
basic,3,11,0,0,0,2,"[0, 18, 27, 8, 17, 15, 11, 28, 2]",9,2,"[5, 22]",67.65737114,17341,1680,2,0,11,1.3017261967352185
basic,3,11,0,0,0,22,"[0, 18, 27, 8, 17, 15, 11, 28, 2, 22]",10,1,[5],57.60749552,30417,13076,1,0,11,1.2856712331893108
basic,3,11,0,0,1,5,"[0, 18, 27, 8, 17, 15, 11, 28, 2, 22, 5]",11,0,[],31.03683501,31859,1442,1,0,11,1.653194834588669
basic,3,11,0,1,1,5,"[0, 18, 27, 8, 17, 15, 11, 28, 2, 22, 5]",11,0,[],31.03683501,34122,2263,1,0,11,1.653194834588669
basic,4,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,121,-1,6,248,10,0.0
basic,4,45,0,0,0,17,"[0, 17]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 29]",235.867325,4033,3912,1,34,10,1.0
basic,4,45,0,0,0,24,"[0, 17, 24]",3,20,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 29]",193.8078433,6399,2366,1,33,10,1.0309432256229287
basic,4,45,0,0,0,7,"[0, 17, 24, 7]",4,18,"[1, 2, 3, 4, 5, 6, 9, 10, 12, 14, 15, 16, 19, 20, 21, 22, 23, 29]",159.3985423,8168,1769,1,32,10,1.059763151913087
basic,4,45,0,0,0,2,"[0, 17, 24, 7, 2]",5,12,"[3, 4, 6, 10, 12, 14, 16, 19, 20, 22, 23, 29]",121.3853866,9066,898,1,23,10,1.0656581932115423
basic,4,45,0,0,0,3,"[0, 17, 24, 7, 2, 3]",6,8,"[6, 10, 12, 14, 16, 20, 22, 29]",96.06740884,10208,1142,1,13,10,1.1368250049574795
basic,4,45,0,0,0,29,"[0, 17, 24, 7, 2, 3, 29]",7,5,"[6, 10, 12, 20, 22]",76.06740884,10987,779,1,5,10,1.390376182346372
basic,4,45,0,0,0,10,"[0, 17, 24, 7, 2, 3, 29, 10]",8,2,"[6, 12]",54.52674961,11757,770,1,1,10,1.6682270697663164
basic,4,45,0,0,0,6,"[0, 17, 24, 7, 2, 3, 29, 10, 6]",9,1,[12],28.27794012,12652,895,1,0,10,1.5776211572942243
basic,4,45,0,0,1,12,"[0, 17, 24, 7, 2, 3, 29, 10, 6, 12]",10,0,[],8.15332832,13879,1227,1,0,10,1.536035114105263
basic,4,45,0,1,1,12,"[0, 17, 24, 7, 2, 3, 29, 10, 6, 12]",10,0,[],8.15332832,15763,1884,1,0,10,1.536035114105263
basic,5,41,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,124,-1,1,143,10,0.0
basic,5,41,0,0,0,13,"[0, 13]",2,23,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",258.2747079,3419,3295,1,55,10,1.0
basic,5,41,0,0,0,28,"[0, 13, 28]",3,22,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]",223.7928286,5926,2507,1,39,10,1.895724242592676
basic,5,41,0,0,0,5,"[0, 13, 28, 5]",4,19,"[1, 2, 3, 6, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27]",210.1913581,10818,4892,1,34,10,2.861541269398273
