condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,44,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,381,-1,13,126,7,0.0
basic,0,44,0,0,0,8,"[0, 8]",2,17,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 20, 21, 23, 24, 25, 27]",145.7923478,6838,6457,1,10,7,1.0
basic,0,44,0,0,0,20,"[0, 8, 20]",3,16,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23, 24, 25, 27]",133.7093018,8527,1689,1,9,7,1.0890794433668698
basic,0,44,0,0,0,9,"[0, 8, 20, 9]",4,7,"[4, 7, 11, 12, 14, 23, 24]",76.43801756,11052,2525,1,6,7,1.40892325509949
basic,0,44,0,0,0,4,"[0, 8, 20, 9, 4]",5,4,"[7, 12, 23, 24]",56.74030196,13160,2108,1,3,7,1.3849770570803555
basic,0,44,0,1,0,4,"[0, 8, 20, 9, 4]",5,4,"[7, 12, 23, 24]",56.74030196,17135,3975,1,3,7,1.3849770570803555
basic,1,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,198,-1,5,108,9,0.0
basic,1,33,0,0,0,8,"[0, 8]",2,22,"[1, 2, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",265.8679037,2958,2760,5,87,9,1.0
basic,1,33,0,0,0,27,"[0, 8, 27]",3,6,"[5, 16, 19, 21, 23, 25]",172.3906337,6304,3346,2,5,5,1.1120034973992803
basic,1,33,0,0,0,25,"[0, 8, 27, 25]",4,2,"[5, 23]",120.7669957,8194,1890,2,0,5,1.0777241092063088
basic,1,33,0,0,1,23,"[0, 8, 27, 25, 23]",5,0,[],53.40231653,10081,1887,1,0,5,1.0653783070933391
basic,1,33,0,1,1,23,"[0, 8, 27, 25, 23]",5,0,[],53.40231653,12353,2272,1,0,5,1.0653783070933391
basic,2,17,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",300,278,-1,2,73,8,0.0
basic,2,17,0,0,0,9,"[0, 9]",2,25,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",210.5293344,2602,2324,1,34,8,1.0
