condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,27,0,0,0,0,[0],1,26,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,180,-1,13,578,11,0.0
undo,0,27,0,0,0,15,"[0, 15]",2,24,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29]",263.7508621,10238,10058,6,219,11,1.0
undo,0,27,0,0,0,24,"[0, 15, 24]",3,20,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26, 27, 29]",246.5462115,11071,833,6,130,11,1.130933077698322
undo,0,27,0,0,0,17,"[0, 15, 24, 17]",4,15,"[1, 6, 8, 10, 12, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",229.9932662,11880,809,4,60,11,1.1285538435963374
undo,0,27,0,0,0,12,"[0, 15, 24, 17, 12]",5,14,"[1, 6, 8, 10, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",218.8129263,12599,719,2,32,11,1.2561880288755216
undo,0,27,0,0,0,10,"[0, 15, 24, 17, 12, 10]",6,11,"[1, 8, 13, 14, 18, 19, 23, 25, 26, 27, 29]",207.7675653,13226,627,2,28,11,1.2228289337766665
undo,0,27,0,0,0,13,"[0, 15, 24, 17, 12, 10, 13]",7,9,"[1, 8, 14, 18, 19, 23, 26, 27, 29]",167.9178476,14325,1099,2,18,11,1.3421291994761178
undo,0,27,0,0,0,19,"[0, 15, 24, 17, 12, 10, 13, 19]",8,5,"[1, 8, 14, 23, 29]",131.6825057,15277,952,2,6,11,1.294749956153846
undo,0,27,0,0,0,8,"[0, 15, 24, 17, 12, 10, 13, 19, 8]",9,3,"[14, 23, 29]",116.816437,15926,649,2,1,11,1.3554286578836865
undo,0,27,0,0,0,29,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29]",10,1,[14],57.61339652,18361,2435,1,0,11,1.248354519573802
undo,0,27,0,0,1,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29, 14]",11,0,[],13.31892734,19623,1262,1,0,11,1.562811097555156
undo,0,27,0,1,1,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29, 14]",11,0,[],13.31892734,21214,1591,1,0,11,1.562811097555156
undo,1,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,180,-1,4,489,10,0.0
undo,1,4,0,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,10756,10576,2,216,10,1.0
undo,1,4,0,0,0,25,"[0, 28, 25]",3,15,"[3, 4, 5, 6, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24]",171.9021898,12273,1517,69,420,9,1.0101483986051152
undo,1,4,1,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,14380,2107,2,216,10,1.0
undo,1,4,0,0,0,11,"[0, 28, 11]",3,16,"[3, 4, 5, 6, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26]",177.0618165,15229,849,1,99,10,1.0005230107421244
undo,1,4,0,0,0,16,"[0, 28, 11, 16]",4,13,"[3, 4, 5, 6, 12, 13, 14, 17, 20, 21, 22, 24, 25]",162.0618165,16188,959,38,165,9,1.0006824277240565
undo,1,4,0,0,0,17,"[0, 28, 11, 16, 17]",5,12,"[3, 4, 5, 6, 12, 13, 14, 20, 21, 22, 24, 25]",135.9850069,17124,936,9,39,9,1.000593778858539
undo,1,4,0,0,0,3,"[0, 28, 11, 16, 17, 3]",6,6,"[5, 14, 20, 21, 22, 25]",111.4697056,17957,833,2,7,9,1.0809398822985845
undo,1,4,0,0,0,14,"[0, 28, 11, 16, 17, 3, 14]",7,1,[25],70.03300684,18974,1017,1,0,8,1.6839831140088701
undo,1,4,0,0,1,25,"[0, 28, 11, 16, 17, 3, 14, 25]",8,0,[],53.90849134,20469,1495,1,0,8,1.9406182119358029
undo,1,4,1,0,0,14,"[0, 28, 11, 16, 17, 3, 14]",7,1,[25],70.03300684,22378,1909,1,0,8,1.6839831140088701
undo,1,4,1,0,0,3,"[0, 28, 11, 16, 17, 3]",6,6,"[5, 14, 20, 21, 22, 25]",111.4697056,22880,502,2,7,9,1.0809398822985845
undo,1,4,1,0,0,17,"[0, 28, 11, 16, 17]",5,12,"[3, 4, 5, 6, 12, 13, 14, 20, 21, 22, 24, 25]",135.9850069,23345,465,9,39,9,1.000593778858539
undo,1,4,1,0,0,16,"[0, 28, 11, 16]",4,13,"[3, 4, 5, 6, 12, 13, 14, 17, 20, 21, 22, 24, 25]",162.0618165,23830,485,38,165,9,1.0006824277240565
undo,1,4,1,0,0,11,"[0, 28, 11]",3,16,"[3, 4, 5, 6, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26]",177.0618165,24261,431,1,99,10,1.0005230107421244
undo,1,4,1,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,24696,435,2,216,10,1.0
undo,1,4,1,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,25331,635,4,489,10,0.0
undo,1,4,0,0,0,6,"[0, 6]",2,17,"[3, 4, 5, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 28]",207.2368608,26891,1560,37,365,8,1.0
undo,1,4,0,0,0,14,"[0, 6, 14]",3,12,"[3, 4, 5, 11, 13, 16, 17, 20, 21, 22, 25, 28]",131.6987909,28125,1234,20,118,8,1.2324220545619278
undo,1,4,0,0,0,3,"[0, 6, 14, 3]",4,7,"[11, 16, 17, 20, 21, 22, 25]",90.26209219,29006,881,1,11,8,1.2025338956967797
undo,1,4,0,0,0,17,"[0, 6, 14, 3, 17]",5,6,"[11, 16, 20, 21, 22, 25]",65.74679084,30025,1019,1,7,8,1.4290907150191754
undo,1,4,0,0,0,16,"[0, 6, 14, 3, 17, 16]",6,2,"[11, 25]",39.66998122,31020,995,1,1,8,1.8885827592634608
undo,1,4,0,0,0,11,"[0, 6, 14, 3, 17, 16, 11]",7,1,[25],24.66998122,31888,868,1,0,8,2.240752315471224
undo,1,4,0,0,1,25,"[0, 6, 14, 3, 17, 16, 11, 25]",8,0,[],5.881686994,32674,786,1,0,8,2.319345993655783
undo,1,4,1,0,0,11,"[0, 6, 14, 3, 17, 16, 11]",7,1,[25],24.66998122,34045,1371,1,0,8,2.240752315471224
undo,1,4,1,0,0,16,"[0, 6, 14, 3, 17, 16]",6,2,"[11, 25]",39.66998122,34486,441,1,1,8,1.8885827592634608
undo,1,4,1,0,0,17,"[0, 6, 14, 3, 17]",5,6,"[11, 16, 20, 21, 22, 25]",65.74679084,34845,359,1,7,8,1.4290907150191754
undo,1,4,1,0,0,3,"[0, 6, 14, 3]",4,7,"[11, 16, 17, 20, 21, 22, 25]",90.26209219,35200,355,1,11,8,1.2025338956967797
undo,1,4,1,0,0,14,"[0, 6, 14]",3,12,"[3, 4, 5, 11, 13, 16, 17, 20, 21, 22, 25, 28]",131.6987909,35623,423,20,118,8,1.2324220545619278
undo,1,4,1,0,0,6,"[0, 6]",2,17,"[3, 4, 5, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 28]",207.2368608,35948,325,37,365,8,1.0
undo,1,4,1,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,36312,364,4,489,10,0.0
undo,1,4,0,0,0,13,"[0, 13]",2,23,"[3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",232.1030192,42037,5725,2,270,10,1.0
undo,1,4,0,0,0,28,"[0, 13, 28]",3,19,"[3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",200.5277124,42804,767,2,221,10,1.3431168257921573
undo,1,4,0,0,0,11,"[0, 13, 28, 11]",4,13,"[3, 4, 5, 6, 12, 14, 16, 17, 20, 21, 22, 24, 25]",151.6503148,44345,1541,1,107,10,1.2073325752283492
undo,1,4,0,0,0,16,"[0, 13, 28, 11, 16]",5,11,"[3, 4, 5, 6, 14, 17, 20, 21, 22, 24, 25]",136.6503148,45171,826,47,79,9,1.1850319861135215
undo,1,4,0,0,0,17,"[0, 13, 28, 11, 16, 17]",6,8,"[3, 5, 14, 20, 21, 22, 24, 25]",110.5735051,46088,917,14,13,9,1.1556197928341636
undo,1,4,0,0,0,3,"[0, 13, 28, 11, 16, 17, 3]",7,5,"[14, 20, 21, 22, 25]",86.0582038,46961,873,4,1,9,1.2266369218759134
undo,1,4,0,0,0,14,"[0, 13, 28, 11, 16, 17, 3, 14]",8,1,[25],44.62150509,47955,994,1,0,9,1.870064339234239
undo,1,4,0,0,1,25,"[0, 13, 28, 11, 16, 17, 3, 14, 25]",9,0,[],28.49698959,48688,733,1,0,9,2.141007178451591
undo,1,4,0,1,1,25,"[0, 13, 28, 11, 16, 17, 3, 14, 25]",9,0,[],28.49698959,50479,1791,1,0,9,2.141007178451591
undo,2,10,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,215,-1,1,100,9,0.0
undo,2,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,6988,6773,1,79,9,1.0
