condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,177,-1,6,168,10,0.0
undo,0,37,0,0,0,19,"[0, 19]",2,19,"[1, 2, 4, 5, 6, 7, 9, 10, 11, 15, 17, 18, 20, 21, 22, 25, 26, 28, 29]",185.6627795,15271,15094,25,244,9,1.0
undo,0,37,0,0,0,1,"[0, 19, 1]",3,9,"[2, 4, 7, 15, 18, 20, 21, 22, 26]",128.7242161,19704,4433,18,68,8,1.081837694273419
undo,0,37,0,0,0,4,"[0, 19, 1, 4]",4,8,"[2, 7, 15, 18, 20, 21, 22, 26]",111.0041709,20689,985,8,20,8,1.1628145888308006
undo,0,37,0,0,0,22,"[0, 19, 1, 4, 22]",5,5,"[2, 7, 15, 18, 20]",86.00417093,22126,1437,4,3,7,1.314020598850692
undo,0,37,0,0,0,2,"[0, 19, 1, 4, 22, 2]",6,3,"[7, 15, 20]",58.34553756,23918,1792,3,0,7,1.5985389012159275
undo,0,37,0,0,1,7,"[0, 19, 1, 4, 22, 2, 7]",7,0,[],2.802761255,25169,1251,1,0,7,2.4806089091106385
undo,0,37,0,1,1,7,"[0, 19, 1, 4, 22, 2, 7]",7,0,[],2.802761255,27360,2191,1,0,7,2.4806089091106385
undo,1,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,146,-1,8,191,9,0.0
undo,1,40,0,0,0,9,"[0, 9]",2,14,"[1, 2, 5, 6, 7, 8, 11, 17, 18, 19, 21, 22, 23, 27]",176.6711713,6461,6315,2,57,7,1.0
undo,1,40,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,8896,2435,8,191,9,0.0
undo,1,40,0,0,0,2,"[0, 2]",2,28,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.7646581,10271,1375,4,79,9,1.0
undo,1,40,0,0,0,19,"[0, 2, 19]",3,22,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29]",194.4249148,11895,1624,19,105,8,1.02908296307533
undo,1,40,0,0,0,23,"[0, 2, 19, 23]",4,15,"[1, 5, 6, 7, 8, 9, 10, 11, 13, 17, 18, 21, 22, 27, 29]",162.4718242,12787,892,11,38,8,1.4499965171787688
undo,1,40,0,0,0,9,"[0, 2, 19, 23, 9]",5,6,"[1, 5, 6, 18, 21, 22]",114.2017507,14142,1355,2,9,8,1.5065273155379109
undo,1,40,0,0,0,18,"[0, 2, 19, 23, 9, 18]",6,5,"[1, 5, 6, 21, 22]",97.64880532,15510,1368,2,3,8,1.7082285843974157
undo,1,40,0,0,0,5,"[0, 2, 19, 23, 9, 18, 5]",7,1,[22],66.07349852,22244,6734,1,0,8,1.9020929419926735
undo,1,40,0,0,1,22,"[0, 2, 19, 23, 9, 18, 5, 22]",8,0,[],3.463595146,25285,3041,1,0,8,1.6743851823878557
undo,1,40,0,1,1,22,"[0, 2, 19, 23, 9, 18, 5, 22]",8,0,[],3.463595146,26395,1110,1,0,8,1.6743851823878557
undo,2,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,150,-1,5,108,9,0.0
undo,2,33,0,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,7787,7637,21,129,8,1.0
undo,2,33,0,0,0,13,"[0, 21, 13]",3,15,"[2, 5, 7, 8, 11, 14, 16, 17, 18, 19, 20, 24, 26, 28, 29]",148.0604038,15902,8115,17,72,8,1.0001005298764474
undo,2,33,0,0,0,26,"[0, 21, 13, 26]",4,8,"[7, 11, 14, 17, 19, 20, 24, 29]",73.73678712,16920,1018,4,10,7,1.0000980854775965
undo,2,33,0,0,0,14,"[0, 21, 13, 26, 14]",5,4,"[7, 19, 24, 29]",61.08767648,17608,688,3,3,7,1.1012591262849363
undo,2,33,0,0,0,7,"[0, 21, 13, 26, 14, 7]",6,3,"[19, 24, 29]",46.22160773,18394,786,3,0,7,1.1908836346239835
undo,2,33,0,0,1,24,"[0, 21, 13, 26, 14, 7, 24]",7,0,[],17.015444,20451,2057,1,0,7,1.3899038284245597
undo,2,33,0,1,1,24,"[0, 21, 13, 26, 14, 7, 24]",7,0,[],17.015444,23779,3328,1,0,7,1.3899038284245597
undo,3,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,3,79,9,0.0
undo,3,7,0,0,0,23,"[0, 23]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",253.7290588,4641,4479,6,103,8,1.0
undo,3,7,0,0,0,25,"[0, 23, 25]",3,12,"[2, 4, 6, 7, 13, 14, 15, 16, 18, 19, 20, 21]",143.833654,7054,2413,3,39,8,1.3189047790460706
undo,3,7,0,0,0,4,"[0, 23, 25, 4]",4,9,"[2, 6, 7, 13, 15, 16, 18, 19, 20]",119.0950202,11155,4101,2,16,8,1.2882408504092724
undo,3,7,0,0,0,20,"[0, 23, 25, 4, 20]",5,6,"[2, 6, 7, 13, 18, 19]",99.44813752,11803,648,1,7,8,1.33778558273816
undo,3,7,0,0,0,18,"[0, 23, 25, 4, 20, 18]",6,3,"[7, 13, 19]",86.64188904,12370,567,1,2,8,1.4902303813643722
undo,3,7,0,0,0,7,"[0, 23, 25, 4, 20, 18, 7]",7,1,[19],45.41083279,13623,1253,1,0,8,1.3916756134202917
undo,3,7,0,0,1,19,"[0, 23, 25, 4, 20, 18, 7, 19]",8,0,[],15.99995045,14695,1072,1,0,8,1.501301453425073
undo,3,7,0,1,1,19,"[0, 23, 25, 4, 20, 18, 7, 19]",8,0,[],15.99995045,15928,1233,1,0,8,1.501301453425073
undo,4,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,148,-1,31,704,9,0.0
undo,4,22,0,0,0,13,"[0, 13]",2,22,"[1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 28, 29]",189.3202819,14757,14609,2,52,8,1.0
undo,4,22,0,0,0,15,"[0, 13, 15]",3,17,"[1, 3, 5, 6, 7, 8, 9, 10, 14, 17, 19, 20, 21, 23, 24, 26, 29]",173.7639327,17696,2939,2,40,8,1.001747361505262
undo,4,22,0,0,0,20,"[0, 13, 15, 20]",4,12,"[1, 3, 7, 8, 9, 14, 17, 19, 21, 23, 24, 29]",124.9172337,18707,1011,1,19,8,1.2067501174044284
undo,4,22,0,0,0,24,"[0, 13, 15, 20, 24]",5,8,"[1, 3, 7, 14, 17, 19, 21, 29]",87.26089297,20590,1883,1,6,8,1.5860161698462862
undo,4,22,1,0,0,20,"[0, 13, 15, 20]",4,12,"[1, 3, 7, 8, 9, 14, 17, 19, 21, 23, 24, 29]",124.9172337,25798,5208,1,19,8,1.2067501174044284
undo,4,22,1,0,0,15,"[0, 13, 15]",3,17,"[1, 3, 5, 6, 7, 8, 9, 10, 14, 17, 19, 20, 21, 23, 24, 26, 29]",173.7639327,25964,166,2,40,8,1.001747361505262
undo,4,22,1,0,0,13,"[0, 13]",2,22,"[1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 28, 29]",189.3202819,26131,167,2,52,8,1.0
undo,4,22,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,26315,184,31,704,9,0.0
undo,4,22,0,0,0,16,"[0, 16]",2,21,"[1, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",218.605897,27803,1488,17,147,9,1.0
undo,4,22,0,0,0,28,"[0, 16, 28]",3,13,"[6, 7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",184.1675463,28658,855,12,61,9,1.047282311284478
undo,4,22,0,0,0,6,"[0, 16, 28, 6]",4,12,"[7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",154.1675463,29330,672,12,43,9,1.645645870580622
undo,4,22,0,0,0,9,"[0, 16, 28, 6, 9]",5,8,"[7, 14, 17, 19, 20, 21, 24, 29]",127.5404924,31533,2203,8,17,9,1.925750226630103
undo,4,22,0,0,0,14,"[0, 16, 28, 6, 9, 14]",6,5,"[7, 17, 19, 24, 29]",84.49400589,35842,4309,2,4,9,1.6636058370259441
undo,4,22,0,0,0,7,"[0, 16, 28, 6, 9, 14, 7]",7,4,"[17, 19, 24, 29]",71.45560108,36974,1132,2,2,9,1.8172242553661921
undo,4,22,0,0,0,19,"[0, 16, 28, 6, 9, 14, 7, 19]",8,1,[29],25.18465988,38311,1337,1,0,9,3.451408325118739
undo,4,22,0,0,1,29,"[0, 16, 28, 6, 9, 14, 7, 19, 29]",9,0,[],10.1513635,39049,738,1,0,9,3.763950601205494
undo,4,22,0,1,1,29,"[0, 16, 28, 6, 9, 14, 7, 19, 29]",9,0,[],10.1513635,40398,1349,1,0,9,3.763950601205494
undo,5,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,147,-1,84,830,9,0.0
