condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,20,0,0,0,0,[0],1,21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,157,-1,1,9,9,0.0
undo,0,20,0,0,0,12,"[0, 12]",2,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",271.5570747,7815,7658,1,8,9,1.0
undo,0,20,0,0,0,1,"[0, 12, 1]",3,12,"[3, 4, 5, 6, 8, 9, 20, 21, 23, 27, 28, 29]",189.5692707,8552,737,1,6,9,1.0757997779162911
undo,0,20,0,0,0,5,"[0, 12, 1, 5]",4,10,"[4, 6, 8, 9, 20, 21, 23, 27, 28, 29]",152.8950291,9381,829,1,5,9,1.1708231454516806
undo,0,20,0,0,0,21,"[0, 12, 1, 5, 21]",5,8,"[4, 6, 8, 9, 20, 23, 27, 28]",107.8950291,10495,1114,1,4,9,1.126197336199212
undo,0,20,0,0,0,8,"[0, 12, 1, 5, 21, 8]",6,5,"[6, 9, 23, 27, 28]",90.43077988,12194,1699,1,3,9,1.140007470699913
undo,0,20,0,0,0,23,"[0, 12, 1, 5, 21, 8, 23]",7,2,"[6, 9]",45.74297394,13054,860,1,1,9,1.1162257896627588
undo,0,20,0,0,0,9,"[0, 12, 1, 5, 21, 8, 23, 9]",8,1,[6],26.53360123,13770,716,1,0,9,1.1086880559449597
undo,0,20,0,0,1,6,"[0, 12, 1, 5, 21, 8, 23, 9, 6]",9,0,[],3.511872362,14777,1007,1,0,9,1.1186240265999328
undo,0,20,0,1,1,6,"[0, 12, 1, 5, 21, 8, 23, 9, 6]",9,0,[],3.511872362,17419,2642,1,0,9,1.1186240265999328
undo,1,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,165,-1,2,200,10,0.0
undo,1,36,0,0,0,12,"[0, 12]",2,23,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",277.7963967,3560,3395,90,804,9,1.0
undo,1,36,0,0,0,9,"[0, 12, 9]",3,14,"[2, 4, 8, 10, 13, 16, 17, 18, 19, 23, 25, 27, 28, 29]",215.4345494,5087,1527,32,191,9,1.224429481246385
undo,1,36,0,0,0,16,"[0, 12, 9, 16]",4,8,"[2, 10, 13, 17, 18, 19, 23, 25]",168.137615,6330,1243,7,26,9,1.235383731443557
undo,1,36,0,0,0,17,"[0, 12, 9, 16, 17]",5,6,"[2, 10, 13, 18, 19, 25]",139.8180105,6903,573,7,14,9,1.6947865799475665
undo,1,36,0,0,0,19,"[0, 12, 9, 16, 17, 19]",6,5,"[2, 10, 13, 18, 25]",111.9253591,7675,772,6,1,9,2.440059772477113
undo,1,36,0,0,0,13,"[0, 12, 9, 16, 17, 19, 13]",7,2,"[2, 25]",68.50877245,8573,898,2,0,9,2.3601901953162883
undo,1,36,0,0,0,2,"[0, 12, 9, 16, 17, 19, 13, 2]",8,1,[25],30.18123665,10548,1975,1,0,9,2.3892740576750175
undo,1,36,0,0,1,25,"[0, 12, 9, 16, 17, 19, 13, 2, 25]",9,0,[],5.181236652,11536,988,1,0,9,2.5750573381252297
undo,1,36,0,1,1,25,"[0, 12, 9, 16, 17, 19, 13, 2, 25]",9,0,[],5.181236652,13278,1742,1,0,9,2.5750573381252297
undo,2,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,149,-1,4,489,10,0.0
undo,2,4,0,0,0,13,"[0, 13]",2,23,"[3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",232.1030192,5512,5363,2,270,10,1.0
undo,2,4,0,0,0,28,"[0, 13, 28]",3,19,"[3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",200.5277124,6723,1211,2,221,10,1.3431168257921573
undo,2,4,0,0,0,14,"[0, 13, 28, 14]",4,11,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 25]",134.2857318,8522,1799,28,123,9,1.2134786195381546
undo,2,4,0,0,0,25,"[0, 13, 28, 14, 25]",5,10,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22]",118.1612163,9254,732,22,51,9,1.4339367384350254
undo,2,4,0,0,0,11,"[0, 13, 28, 14, 25, 11]",6,9,"[3, 4, 5, 6, 16, 17, 20, 21, 22]",99.37292203,9896,642,11,18,9,1.632788140935394
undo,2,4,0,0,0,16,"[0, 13, 28, 14, 25, 11, 16]",7,6,"[3, 5, 17, 20, 21, 22]",84.37292203,11088,1192,9,2,9,1.5642820747024264
undo,2,4,0,0,0,3,"[0, 13, 28, 14, 25, 11, 16, 3]",8,1,[17],42.74360544,12289,1201,1,0,9,1.474981502263249
undo,2,4,0,0,1,17,"[0, 13, 28, 14, 25, 11, 16, 3, 17]",9,0,[],18.2283041,13736,1447,1,0,9,1.718983128597651
undo,2,4,1,0,0,3,"[0, 13, 28, 14, 25, 11, 16, 3]",8,1,[17],42.74360544,16845,3109,1,0,9,1.474981502263249
undo,2,4,1,0,0,16,"[0, 13, 28, 14, 25, 11, 16]",7,6,"[3, 5, 17, 20, 21, 22]",84.37292203,17095,250,9,2,9,1.5642820747024264
undo,2,4,1,0,0,11,"[0, 13, 28, 14, 25, 11]",6,9,"[3, 4, 5, 6, 16, 17, 20, 21, 22]",99.37292203,17329,234,11,18,9,1.632788140935394
undo,2,4,1,0,0,25,"[0, 13, 28, 14, 25]",5,10,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22]",118.1612163,17511,182,22,51,9,1.4339367384350254
undo,2,4,1,0,0,14,"[0, 13, 28, 14]",4,11,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 25]",134.2857318,17828,317,28,123,9,1.2134786195381546
undo,2,4,1,0,0,28,"[0, 13, 28]",3,19,"[3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",200.5277124,19327,1499,2,221,10,1.3431168257921573
undo,2,4,1,0,0,13,"[0, 13]",2,23,"[3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",232.1030192,19494,167,2,270,10,1.0
undo,2,4,0,0,0,14,"[0, 13, 14]",3,12,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 25, 28]",139.3830106,25001,5507,3,42,9,1.176152691548901
undo,2,4,0,0,0,25,"[0, 13, 14, 25]",4,11,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 28]",123.2584951,25999,998,3,28,9,1.393740828692114
undo,2,4,0,0,0,11,"[0, 13, 14, 25, 11]",5,10,"[3, 4, 5, 6, 16, 17, 20, 21, 22, 28]",104.4702009,26500,501,3,12,9,1.5913043264164928
undo,2,4,0,0,0,16,"[0, 13, 14, 25, 11, 16]",6,7,"[3, 5, 17, 20, 21, 22, 28]",89.47020086,27017,517,3,8,9,1.5273035004964608
