condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,272,-1,8,157,10,0.0
undo,0,14,0,0,0,15,"[0, 15]",2,20,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",216.7053423,8806,8534,8,102,10,1.0
undo,0,14,0,0,0,28,"[0, 15, 28]",3,17,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 22, 23, 25, 26, 27]",197.4959696,10200,1394,8,48,10,1.0446007867311968
undo,0,14,0,0,0,17,"[0, 15, 28, 17]",4,14,"[1, 2, 3, 4, 7, 8, 13, 18, 19, 20, 22, 23, 25, 26]",184.0423455,11086,886,8,39,10,1.0729463354689972
undo,0,14,0,0,0,18,"[0, 15, 28, 17, 18]",5,9,"[1, 2, 4, 7, 8, 19, 23, 25, 26]",119.412631,12395,1309,8,27,10,1.5035901079219378
undo,0,14,0,0,0,8,"[0, 15, 28, 17, 18, 8]",6,8,"[1, 2, 4, 7, 19, 23, 25, 26]",105.8111605,13249,854,8,18,10,1.4819689987843856
undo,0,14,0,0,0,19,"[0, 15, 28, 17, 18, 8, 19]",7,5,"[1, 7, 23, 25, 26]",85.19563238,14965,1716,4,9,10,1.4526746797093781
undo,0,14,0,0,0,25,"[0, 15, 28, 17, 18, 8, 19, 25]",8,4,"[1, 7, 23, 26]",49.34873573,22485,7520,1,3,10,1.5313248571613565
undo,0,14,0,0,0,23,"[0, 15, 28, 17, 18, 8, 19, 25, 23]",9,1,[26],19.93785339,26614,4129,1,0,10,1.4899241394052571
undo,0,14,0,0,1,26,"[0, 15, 28, 17, 18, 8, 19, 25, 23, 26]",10,0,[],9.12119956,28667,2053,1,0,10,1.4661334152583665
undo,0,14,0,1,1,26,"[0, 15, 28, 17, 18, 8, 19, 25, 23, 26]",10,0,[],9.12119956,37823,9156,1,0,10,1.4661334152583665
undo,1,27,0,0,0,0,[0],1,26,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,13,578,11,0.0
undo,1,27,0,0,0,15,"[0, 15]",2,24,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29]",263.7508621,16719,16556,6,219,11,1.0
undo,1,27,0,0,0,24,"[0, 15, 24]",3,20,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26, 27, 29]",246.5462115,17985,1266,6,130,11,1.130933077698322
undo,1,27,0,0,0,17,"[0, 15, 24, 17]",4,15,"[1, 6, 8, 10, 12, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",229.9932662,19185,1200,4,60,11,1.1285538435963374
undo,1,27,0,0,0,12,"[0, 15, 24, 17, 12]",5,14,"[1, 6, 8, 10, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",218.8129263,19732,547,2,32,11,1.2561880288755216
undo,1,27,0,0,0,10,"[0, 15, 24, 17, 12, 10]",6,11,"[1, 8, 13, 14, 18, 19, 23, 25, 26, 27, 29]",207.7675653,20721,989,2,28,11,1.2228289337766665
