condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,29,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,1661,-1,1,78,9,0
basic,0,29,0,0,0,14,"[0, 14]",2,22,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 21, 22, 23, 25, 26, 27, 28, 29]",209.490332,11566,9905,21,110,8,1
basic,0,29,0,0,0,13,"[0, 14, 13]",3,18,"[1, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 21, 22, 25, 26, 27, 28, 29]",191.4625756,12478,912,20,75,8,1.00270065
basic,0,29,0,0,0,5,"[0, 14, 13, 5]",4,15,"[1, 4, 6, 7, 9, 12, 15, 17, 21, 22, 25, 26, 27, 28, 29]",165.7526554,13703,1225,19,49,8,1.080393733
basic,0,29,0,0,0,22,"[0, 14, 13, 5, 22]",5,9,"[4, 6, 7, 9, 12, 26, 27, 28, 29]",111.4111427,15249,1546,7,11,8,1.612341779
basic,0,29,0,0,0,27,"[0, 14, 13, 5, 22, 27]",6,5,"[6, 7, 12, 26, 28]",78.16960241,18015,2766,3,3,8,2.047500446
basic,0,29,0,0,0,28,"[0, 14, 13, 5, 22, 27, 28]",7,2,"[6, 26]",57.65131788,18931,916,2,0,8,2.496318429
basic,0,29,0,0,1,6,"[0, 14, 13, 5, 22, 27, 28, 6]",8,0,[],16.42026163,20169,1238,1,0,8,3.961213611
basic,0,29,0,1,1,6,"[0, 14, 13, 5, 22, 27, 28, 6]",8,0,[],16.42026163,23528,3359,1,0,8,3.961213611
basic,1,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,1677,-1,4,489,10,0
basic,1,4,0,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,4651,2974,2,216,10,1
basic,1,4,0,0,0,11,"[0, 28, 11]",3,16,"[3, 4, 5, 6, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26]",177.0618165,6173,1522,1,99,10,1.000523011
