condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,2,0,0,0,0,[0],1,23,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,509,-1,70,620,10,0.0
undo,0,2,0,0,0,19,"[0, 19]",2,22,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 29]",210.306076,2772,2263,67,431,10,1.0
undo,0,2,0,0,0,12,"[0, 19, 12]",3,17,"[1, 4, 5, 6, 7, 13, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29]",174.2921898,4197,1425,66,298,10,1.1107635036313153
undo,0,2,0,0,0,13,"[0, 19, 12, 13]",4,11,"[1, 5, 6, 7, 15, 18, 22, 25, 26, 28, 29]",139.4640403,5468,1271,16,89,10,1.085272367870328
undo,0,2,0,0,0,5,"[0, 19, 12, 13, 5]",5,8,"[1, 6, 7, 15, 18, 22, 26, 29]",125.8625698,6728,1260,11,33,10,1.230353687976334
undo,0,2,0,0,0,22,"[0, 19, 12, 13, 5, 22]",6,7,"[1, 6, 7, 15, 18, 26, 29]",113.0563213,7519,791,11,17,10,1.21147051203237
undo,0,2,0,0,0,18,"[0, 19, 12, 13, 5, 22, 18]",7,4,"[7, 15, 26, 29]",73.73711478,8469,950,7,3,10,1.2583761209355346
undo,0,2,0,0,0,7,"[0, 19, 12, 13, 5, 22, 18, 7]",8,3,"[15, 26, 29]",63.44148464,9264,795,3,1,10,1.2450448176842106
undo,0,2,0,0,0,15,"[0, 19, 12, 13, 5, 22, 18, 7, 15]",9,2,"[26, 29]",48.67666158,10224,960,2,0,10,1.3342240790394682
undo,0,2,0,0,1,26,"[0, 19, 12, 13, 5, 22, 18, 7, 15, 26]",10,0,[],24.46922471,13406,3182,1,0,10,1.3035658455855468
undo,0,2,0,1,1,26,"[0, 19, 12, 13, 5, 22, 18, 7, 15, 26]",10,0,[],24.46922471,17818,4412,1,0,10,1.3035658455855468
undo,1,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,10,-1,5,108,9,0.0
undo,1,33,0,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,8700,8690,21,129,8,1.0
undo,1,33,0,0,0,17,"[0, 21, 17]",3,12,"[2, 7, 11, 13, 14, 16, 18, 19, 20, 24, 26, 29]",135.8218032,9494,794,3,35,8,1.0302064673538902
undo,1,33,0,0,0,13,"[0, 21, 17, 13]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",113.0182947,10289,795,3,18,8,1.2307555582916028
undo,1,33,0,0,0,19,"[0, 21, 17, 13, 19]",5,6,"[7, 14, 16, 24, 26, 29]",87.52319715,10921,632,3,6,8,1.267959080158969
undo,1,33,0,0,0,24,"[0, 21, 17, 13, 19, 24]",6,2,"[7, 14]",45.47560506,11584,663,1,1,8,1.2501192148258107
undo,1,33,0,0,0,7,"[0, 21, 17, 13, 19, 24, 7]",7,1,[14],16.26944133,12244,660,1,0,8,1.3314375425758662
undo,1,33,0,0,1,14,"[0, 21, 17, 13, 19, 24, 7, 14]",8,0,[],1.403372582,13036,792,1,0,8,1.37637211918224
undo,1,33,1,0,0,7,"[0, 21, 17, 13, 19, 24, 7]",7,1,[14],16.26944133,14910,1874,1,0,8,1.3314375425758662
undo,1,33,1,0,0,24,"[0, 21, 17, 13, 19, 24]",6,2,"[7, 14]",45.47560506,17281,2371,1,1,8,1.2501192148258107
undo,1,33,1,0,0,19,"[0, 21, 17, 13, 19]",5,6,"[7, 14, 16, 24, 26, 29]",87.52319715,17597,316,3,6,8,1.267959080158969
undo,1,33,1,0,0,13,"[0, 21, 17, 13]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",113.0182947,17911,314,3,18,8,1.2307555582916028
undo,1,33,1,0,0,17,"[0, 21, 17]",3,12,"[2, 7, 11, 13, 14, 16, 18, 19, 20, 24, 26, 29]",135.8218032,18386,475,3,35,8,1.0302064673538902
undo,1,33,1,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,18861,475,21,129,8,1.0
