condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,6,168,10,0.0
basic,0,37,0,0,0,18,"[0, 18]",2,19,"[1, 2, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 26, 28, 29]",202.4090168,8844,8682,6,89,10,1.0
basic,0,37,0,0,0,2,"[0, 18, 2]",3,10,"[1, 4, 7, 15, 19, 20, 21, 22, 26, 29]",143.7148944,12362,3518,14,82,9,1.0338225020126353
basic,0,37,0,0,0,4,"[0, 18, 2, 4]",4,8,"[1, 7, 15, 19, 20, 21, 22, 26]",132.3131402,14254,1892,10,40,9,1.0317091538961647
basic,0,37,0,0,0,1,"[0, 18, 2, 4, 1]",5,7,"[7, 15, 19, 20, 21, 22, 26]",114.593095,16716,2462,9,20,9,1.1710947925054036
basic,0,37,0,0,0,20,"[0, 18, 2, 4, 1, 20]",6,5,"[15, 19, 21, 22, 26]",80.35860951,24208,7492,4,6,9,1.465285703568742
basic,0,37,0,0,0,21,"[0, 18, 2, 4, 1, 20, 21]",7,3,"[15, 19, 26]",65.93640441,25945,1737,2,1,9,1.5082055926276574
basic,0,37,0,0,0,15,"[0, 18, 2, 4, 1, 20, 21, 15]",8,1,[26],50.93640441,27840,1895,1,0,9,1.4968023637412946
basic,0,37,0,0,1,26,"[0, 18, 2, 4, 1, 20, 21, 15, 26]",9,0,[],16.39657233,30169,2329,1,0,9,1.619639343562303
basic,0,37,0,1,1,26,"[0, 18, 2, 4, 1, 20, 21, 15, 26]",9,0,[],16.39657233,32673,2504,1,0,9,1.619639343562303
basic,1,2,0,0,0,0,[0],1,23,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,186,-1,70,620,10,0.0
basic,1,2,0,0,0,19,"[0, 19]",2,22,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 29]",210.306076,4087,3901,67,431,10,1.0
basic,1,2,0,0,0,12,"[0, 19, 12]",3,17,"[1, 4, 5, 6, 7, 13, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29]",174.2921898,8760,4673,66,298,10,1.1107635036313153
basic,1,2,0,0,0,5,"[0, 19, 12, 5]",4,11,"[1, 6, 7, 13, 15, 16, 18, 22, 25, 26, 29]",144.7625437,12365,3605,38,136,10,1.0968174771581647
basic,1,2,0,0,0,22,"[0, 19, 12, 5, 22]",5,8,"[1, 6, 7, 13, 15, 18, 26, 29]",131.9562952,14062,1697,20,63,10,1.0889910507461968
basic,1,2,0,0,0,13,"[0, 19, 12, 5, 22, 13]",6,7,"[1, 6, 7, 15, 18, 26, 29]",117.0902265,17579,3517,19,20,10,1.236526217328057
basic,1,2,0,0,0,18,"[0, 19, 12, 5, 22, 13, 18]",7,4,"[7, 15, 26, 29]",81.91921567,19436,1857,10,3,10,1.2128708213409936
basic,1,2,0,0,0,7,"[0, 19, 12, 5, 22, 13, 18, 7]",8,3,"[15, 26, 29]",71.62358553,24795,5359,5,0,10,1.2019811287894737
