condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,309,-1,16,556,12,0.0
basic,0,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,7033,6724,16,520,12,1.0
basic,0,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,8382,1349,15,422,12,1.082311746871282
basic,0,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,9832,1450,15,389,12,1.215201926898219
basic,0,43,0,0,0,15,"[0, 29, 20, 16, 15]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23, 25]",188.5267539,11682,1850,3,109,12,1.3482474915350444
basic,0,43,0,0,0,12,"[0, 29, 20, 16, 15, 12]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 14, 19, 22, 23, 25]",169.213546,13337,1655,1,49,12,1.3229664037236823
basic,0,43,0,0,0,3,"[0, 29, 20, 16, 15, 12, 3]",7,11,"[1, 4, 6, 7, 9, 11, 14, 19, 22, 23, 25]",156.213546,15497,2160,1,35,12,1.2907201281243643
basic,0,43,0,0,0,22,"[0, 29, 20, 16, 15, 12, 3, 22]",8,9,"[1, 4, 6, 7, 11, 14, 19, 23, 25]",121.5004361,19097,3600,1,18,12,1.4966181986440266
basic,0,43,0,0,0,19,"[0, 29, 20, 16, 15, 12, 3, 22, 19]",9,7,"[1, 4, 6, 7, 11, 14, 25]",100.8849079,24397,5300,1,9,12,1.4332617950535695
basic,0,43,0,1,0,19,"[0, 29, 20, 16, 15, 12, 3, 22, 19]",9,7,"[1, 4, 6, 7, 11, 14, 25]",100.8849079,28424,4027,1,9,12,1.4332617950535695
basic,1,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,161,-1,2,32,9,0.0
basic,1,12,0,0,0,16,"[0, 16]",2,16,"[2, 4, 5, 6, 7, 12, 13, 14, 18, 19, 22, 23, 24, 25, 27, 29]",209.2916762,5054,4893,3,38,8,1.0
basic,1,12,0,0,0,4,"[0, 16, 4]",3,11,"[2, 5, 6, 7, 12, 14, 19, 22, 24, 25, 27]",175.0864135,6585,1531,1,16,8,1.00004499617691
basic,1,12,0,0,0,12,"[0, 16, 4, 12]",4,6,"[14, 19, 22, 24, 25, 27]",132.8963673,8421,1836,1,8,8,1.0113942412768022
basic,1,12,0,0,0,27,"[0, 16, 4, 12, 27]",5,4,"[14, 19, 22, 24]",108.5447759,10413,1992,1,3,8,1.1193150037844588
basic,1,12,0,0,0,14,"[0, 16, 4, 12, 27, 14]",6,2,"[19, 24]",79.89167838,12011,1598,1,1,8,1.1821826897854277
basic,1,12,0,1,0,14,"[0, 16, 4, 12, 27, 14]",6,2,"[19, 24]",79.89167838,14786,2775,1,1,8,1.1821826897854277
basic,2,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,197,-1,31,704,9,0.0
basic,2,22,0,0,0,29,"[0, 29]",2,22,"[1, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28]",222.9935068,3105,2908,11,235,9,1.0
basic,2,22,0,0,0,19,"[0, 29, 19]",3,18,"[1, 3, 6, 7, 8, 9, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 28]",207.9602104,6207,3102,11,172,9,1.1559285443414686
basic,2,22,0,0,0,9,"[0, 29, 19, 9]",4,16,"[1, 3, 6, 7, 8, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 28]",187.5641323,7356,1149,7,84,9,1.2555028175473422
