condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,38,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,133,-1,33,506,9,0.0
undo,0,38,0,0,0,11,"[0, 11]",2,23,"[1, 2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",220.093805,5658,5525,2,40,9,1.0
undo,0,38,0,0,0,15,"[0, 11, 15]",3,19,"[1, 3, 4, 5, 7, 10, 12, 13, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 28]",183.6932555,6215,557,11,93,8,1.5850843355177096
undo,0,38,0,0,0,4,"[0, 11, 15, 4]",4,15,"[3, 5, 12, 13, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 28]",157.6932555,7360,1145,8,37,8,2.02964249148567
undo,0,38,0,0,0,20,"[0, 11, 15, 4, 20]",5,10,"[3, 5, 13, 16, 17, 19, 24, 26, 27, 28]",123.7521301,8794,1434,5,11,8,3.2728407804065545
undo,0,38,0,0,0,17,"[0, 11, 15, 4, 20, 17]",6,5,"[3, 13, 19, 26, 27]",99.9824014,9375,581,4,3,8,3.0859711958770903
undo,0,38,0,0,0,19,"[0, 11, 15, 4, 20, 17, 19]",7,3,"[3, 13, 27]",78.60484308,9823,448,3,0,8,2.750303448679739
undo,0,38,0,0,1,27,"[0, 11, 15, 4, 20, 17, 19, 27]",8,0,[],12.74893977,10813,990,1,0,8,1.9802884394141596
undo,0,38,0,1,1,27,"[0, 11, 15, 4, 20, 17, 19, 27]",8,0,[],12.74893977,11395,582,1,0,8,1.9802884394141596
undo,1,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,114,-1,13,161,9,0.0
undo,1,16,0,0,0,17,"[0, 17]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",241.3058776,1692,1578,2,58,9,1.0
undo,1,16,0,0,0,16,"[0, 17, 16]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",212.9862731,2780,1088,2,52,9,1.0529535521792848
undo,1,16,0,0,0,21,"[0, 17, 16, 21]",4,19,"[3, 5, 7, 8, 9, 10, 12, 14, 15, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",168.332046,3665,885,9,18,8,1.5524765786046826
undo,1,16,0,0,0,8,"[0, 17, 16, 21, 8]",5,7,"[3, 5, 9, 12, 15, 20, 25]",119.0776046,4362,697,9,6,8,1.458624751458944
undo,1,16,0,0,0,20,"[0, 17, 16, 21, 8, 20]",6,3,"[9, 15, 25]",61.30217727,4955,593,4,1,8,1.3191752290945782
undo,1,16,0,0,0,25,"[0, 17, 16, 21, 8, 20, 25]",7,2,"[9, 15]",48.65306663,5276,321,2,0,8,1.3641436248537882
undo,1,16,0,0,1,9,"[0, 17, 16, 21, 8, 20, 25, 9]",8,0,[],35.84681815,5643,367,1,0,8,1.3406027753205443
undo,1,16,0,1,1,9,"[0, 17, 16, 21, 8, 20, 25, 9]",8,0,[],35.84681815,7155,1512,1,0,8,1.3406027753205443
undo,2,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,132,-1,4,489,10,0.0
undo,2,4,0,0,0,13,"[0, 13]",2,23,"[3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",232.1030192,1155,1023,2,270,10,1.0
undo,2,4,0,0,0,28,"[0, 13, 28]",3,19,"[3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",200.5277124,1629,474,2,221,10,1.3431168257921573
undo,2,4,0,0,0,14,"[0, 13, 28, 14]",4,11,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 25]",134.2857318,3292,1663,28,123,9,1.2134786195381546
undo,2,4,0,0,0,25,"[0, 13, 28, 14, 25]",5,10,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22]",118.1612163,3722,430,22,51,9,1.4339367384350254
undo,2,4,0,0,0,11,"[0, 13, 28, 14, 25, 11]",6,9,"[3, 4, 5, 6, 16, 17, 20, 21, 22]",99.37292203,4211,489,11,18,9,1.632788140935394
undo,2,4,0,0,0,16,"[0, 13, 28, 14, 25, 11, 16]",7,6,"[3, 5, 17, 20, 21, 22]",84.37292203,4611,400,9,2,9,1.5642820747024264
undo,2,4,0,0,0,17,"[0, 13, 28, 14, 25, 11, 16, 17]",8,4,"[3, 20, 21, 22]",58.29611241,5334,723,4,0,9,1.4745445015567764
undo,2,4,0,0,1,3,"[0, 13, 28, 14, 25, 11, 16, 17, 3]",9,0,[],33.78081107,5765,431,1,0,9,1.5263697522111268
undo,2,4,0,1,1,3,"[0, 13, 28, 14, 25, 11, 16, 17, 3]",9,0,[],33.78081107,6622,857,1,0,9,1.5263697522111268
undo,3,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,84,830,9,0.0
undo,3,21,0,0,0,25,"[0, 25]",2,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29]",240.1836143,2850,2735,30,238,9,1.0
undo,3,21,0,0,0,23,"[0, 25, 23]",3,21,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 24, 27, 29]",196.8592562,3384,534,14,80,9,1.0416131642057598
undo,3,21,0,0,0,21,"[0, 25, 23, 21]",4,14,"[1, 4, 6, 8, 9, 14, 15, 16, 17, 18, 20, 22, 24, 29]",167.2450705,3871,487,10,25,9,1.4768792067751173
undo,3,21,0,0,0,14,"[0, 25, 23, 21, 14]",5,10,"[4, 8, 9, 15, 16, 17, 18, 22, 24, 29]",141.6325735,4378,507,8,13,9,1.3826076066332742
undo,3,21,0,0,0,4,"[0, 25, 23, 21, 14, 4]",6,7,"[8, 15, 16, 17, 18, 24, 29]",127.4904379,4748,370,8,3,9,1.3487191473328533
undo,3,21,0,0,0,16,"[0, 25, 23, 21, 14, 4, 16]",7,3,"[8, 15, 24]",82.89223163,5333,585,4,1,9,1.3301484172843694
undo,3,21,0,0,0,8,"[0, 25, 23, 21, 14, 4, 16, 8]",8,2,"[15, 24]",64.2911564,5724,391,2,0,9,1.3009886562393016
undo,3,21,0,0,1,15,"[0, 25, 23, 21, 14, 4, 16, 8, 15]",9,0,[],39.2911564,6649,925,1,0,9,1.5486591410600183
undo,3,21,0,1,1,15,"[0, 25, 23, 21, 14, 4, 16, 8, 15]",9,0,[],39.2911564,7473,824,1,0,9,1.5486591410600183
undo,4,44,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,132,-1,13,126,7,0.0
undo,4,44,0,0,0,11,"[0, 11]",2,18,"[4, 5, 6, 7, 8, 9, 12, 14, 16, 17, 19, 20, 22, 23, 24, 25, 26, 28]",152.7790776,3599,3467,5,34,7,1.0
undo,4,44,0,0,0,24,"[0, 11, 24]",3,13,"[4, 5, 7, 8, 9, 12, 14, 17, 20, 22, 23, 25, 28]",125.8532535,4026,427,5,23,7,1.1588941745226709
