condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,174,-1,9,226,9,0.0
undo,0,26,0,0,0,16,"[0, 16]",2,17,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 17, 18, 19, 21, 22, 23, 26, 29]",188.0535842,4568,4394,34,176,8,1.0
undo,0,26,0,0,0,29,"[0, 16, 29]",3,12,"[4, 5, 6, 10, 12, 13, 14, 17, 19, 21, 23, 26]",163.8461474,5397,829,32,68,8,1.1142946124989752
undo,0,26,0,0,0,4,"[0, 16, 29, 4]",4,9,"[5, 6, 10, 12, 13, 14, 17, 21, 23]",139.8461474,6118,721,17,7,8,1.3213762371676339
undo,0,26,0,0,0,17,"[0, 16, 29, 4, 17]",5,5,"[6, 10, 14, 21, 23]",118.7511243,6777,659,6,0,8,1.2756100061290643
undo,0,26,0,0,0,10,"[0, 16, 29, 4, 17, 10]",6,2,"[6, 14]",78.2542108,7684,907,2,0,8,1.3703423905176408
undo,0,26,0,0,0,6,"[0, 16, 29, 4, 17, 10, 6]",7,1,[14],48.97964846,8455,771,1,0,8,1.5629056072988359
undo,0,26,0,0,1,14,"[0, 16, 29, 4, 17, 10, 6, 14]",8,0,[],27.95585242,9135,680,1,0,8,1.6881203787841719
undo,0,26,1,0,0,6,"[0, 16, 29, 4, 17, 10, 6]",7,1,[14],48.97964846,12057,2922,1,0,8,1.5629056072988359
undo,0,26,1,0,0,10,"[0, 16, 29, 4, 17, 10]",6,2,"[6, 14]",78.2542108,12258,201,2,0,8,1.3703423905176408
undo,0,26,1,0,0,17,"[0, 16, 29, 4, 17]",5,5,"[6, 10, 14, 21, 23]",118.7511243,12424,166,6,0,8,1.2756100061290643
