condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,41,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,190,-1,1,143,10,0.0
basic,0,41,0,0,0,13,"[0, 13]",2,23,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",258.2747079,6340,6150,1,55,10,1.0
basic,0,41,0,0,0,28,"[0, 13, 28]",3,22,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]",223.7928286,8033,1693,1,39,10,1.895724242592676
basic,0,41,0,0,0,5,"[0, 13, 28, 5]",4,19,"[1, 2, 3, 6, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27]",210.1913581,8762,729,1,34,10,2.861541269398273
basic,0,41,0,0,0,3,"[0, 13, 28, 5, 3]",5,16,"[1, 2, 6, 9, 10, 12, 14, 17, 18, 19, 20, 21, 22, 24, 25, 27]",175.3632086,10190,1428,1,22,10,3.1455488489005883
basic,0,41,0,0,0,22,"[0, 13, 28, 5, 3, 22]",6,10,"[2, 6, 9, 10, 12, 17, 18, 20, 21, 25]",145.3965604,11746,1556,1,7,10,2.241807041008432
basic,0,41,0,0,0,21,"[0, 13, 28, 5, 3, 22, 21]",7,4,"[2, 9, 12, 17]",94.39656044,13396,1650,1,5,10,4.206513633906409
basic,0,41,0,0,0,9,"[0, 13, 28, 5, 3, 22, 21, 9]",8,2,"[2, 17]",45.03058025,16217,2821,1,1,10,3.098343902653451
basic,0,41,0,0,0,2,"[0, 13, 28, 5, 3, 22, 21, 9, 2]",9,1,[17],32.94753428,17330,1113,1,0,10,2.9516218867624824
basic,0,41,0,0,1,17,"[0, 13, 28, 5, 3, 22, 21, 9, 2, 17]",10,0,[],0.389893085,21099,3769,1,0,10,4.726628762010198
basic,0,41,0,1,1,17,"[0, 13, 28, 5, 3, 22, 21, 9, 2, 17]",10,0,[],0.389893085,22656,1557,1,0,10,4.726628762010198
basic,1,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,174,-1,6,74,7,0.0
basic,1,1,0,0,0,14,"[0, 14]",2,19,"[1, 4, 5, 8, 9, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",200.1901808,7145,6971,5,42,7,1.0
basic,1,1,0,0,0,17,"[0, 14, 17]",3,15,"[1, 4, 5, 8, 9, 13, 15, 18, 19, 20, 22, 23, 25, 28, 29]",147.8356204,8223,1078,5,27,7,1.0028844724416826
basic,1,1,0,0,0,1,"[0, 14, 17, 1]",4,12,"[4, 5, 8, 9, 15, 18, 20, 22, 23, 25, 28, 29]",123.4840291,9261,1038,5,15,7,1.0264985578353567
basic,1,1,0,0,0,28,"[0, 14, 17, 1, 28]",5,5,"[9, 15, 22, 23, 29]",88.59850198,11582,2321,5,3,7,1.0339861575999345
basic,1,1,0,0,0,15,"[0, 14, 17, 1, 28, 15]",6,3,"[22, 23, 29]",53.37067208,16061,4479,3,0,7,1.055553419196412
basic,1,1,0,0,1,23,"[0, 14, 17, 1, 28, 15, 23]",7,0,[],22.48378165,16917,856,1,0,7,1.1542953231038533
basic,1,1,0,1,1,23,"[0, 14, 17, 1, 28, 15, 23]",7,0,[],22.48378165,19424,2507,1,0,7,1.1542953231038533
basic,2,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,168,-1,3,79,9,0.0
basic,2,7,0,0,0,15,"[0, 15]",2,19,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 18, 19, 20, 21, 23, 25, 27, 28]",230.9348134,4581,4413,2,38,9,1.0
basic,2,7,0,0,0,6,"[0, 15, 6]",3,18,"[2, 4, 5, 7, 8, 9, 10, 13, 14, 16, 18, 19, 20, 21, 23, 25, 27, 28]",205.854941,6074,1493,2,36,9,1.366719602896943
basic,2,7,0,0,0,25,"[0, 15, 6, 25]",4,11,"[2, 4, 7, 13, 14, 16, 18, 19, 20, 21, 23]",138.6760753,7085,1011,2,28,9,1.3624631728355765
basic,2,7,0,0,0,4,"[0, 15, 6, 25, 4]",5,7,"[2, 7, 13, 16, 18, 19, 20]",113.9374415,10090,3005,2,12,9,1.3249684384385587
basic,2,7,0,0,0,20,"[0, 15, 6, 25, 4, 20]",6,5,"[2, 7, 13, 18, 19]",94.29055881,11630,1540,1,6,9,1.3721893242679268
basic,2,7,0,0,0,18,"[0, 15, 6, 25, 4, 20, 18]",7,3,"[7, 13, 19]",81.48431034,12684,1054,1,2,9,1.5262542308371432
basic,2,7,0,0,0,7,"[0, 15, 6, 25, 4, 20, 18, 7]",8,1,[19],40.25325408,14163,1479,1,0,9,1.41986878673423
basic,2,7,0,0,1,19,"[0, 15, 6, 25, 4, 20, 18, 7, 19]",9,0,[],10.84237174,15738,1575,1,0,9,1.5285658163212987
basic,2,7,0,1,1,19,"[0, 15, 6, 25, 4, 20, 18, 7, 19]",9,0,[],10.84237174,17345,1607,1,0,9,1.5285658163212987
basic,3,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,159,-1,4,489,10,0.0
basic,3,4,0,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,2785,2626,2,216,10,1.0
basic,3,4,0,0,0,11,"[0, 28, 11]",3,16,"[3, 4, 5, 6, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26]",177.0618165,4930,2145,1,99,10,1.0005230107421244
basic,3,4,0,0,0,16,"[0, 28, 11, 16]",4,13,"[3, 4, 5, 6, 12, 13, 14, 17, 20, 21, 22, 24, 25]",162.0618165,6046,1116,38,165,9,1.0006824277240565
basic,3,4,0,0,0,17,"[0, 28, 11, 16, 17]",5,12,"[3, 4, 5, 6, 12, 13, 14, 20, 21, 22, 24, 25]",135.9850069,7195,1149,9,39,9,1.000593778858539
basic,3,4,0,0,0,3,"[0, 28, 11, 16, 17, 3]",6,6,"[5, 14, 20, 21, 22, 25]",111.4697056,9219,2024,2,7,9,1.0809398822985845
basic,3,4,0,0,0,25,"[0, 28, 11, 16, 17, 3, 25]",7,2,"[14, 21]",63.8356841,10699,1480,2,0,8,1.8623347670158499
basic,3,4,0,0,1,14,"[0, 28, 11, 16, 17, 3, 25, 14]",8,0,[],47.7111686,12099,1400,1,0,8,1.8474396090183274
basic,3,4,0,1,1,14,"[0, 28, 11, 16, 17, 3, 25, 14]",8,0,[],47.7111686,14078,1979,1,0,8,1.8474396090183274
basic,4,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,189,-1,8,157,10,0.0
basic,4,14,0,0,0,15,"[0, 15]",2,20,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",216.7053423,5891,5702,8,102,10,1.0
basic,4,14,0,0,0,28,"[0, 15, 28]",3,17,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 22, 23, 25, 26, 27]",197.4959696,6874,983,8,48,10,1.0446007867311968
basic,4,14,0,0,0,17,"[0, 15, 28, 17]",4,14,"[1, 2, 3, 4, 7, 8, 13, 18, 19, 20, 22, 23, 25, 26]",184.0423455,7738,864,8,39,10,1.0729463354689972
basic,4,14,0,0,0,18,"[0, 15, 28, 17, 18]",5,9,"[1, 2, 4, 7, 8, 19, 23, 25, 26]",119.412631,9549,1811,8,27,10,1.5035901079219378
basic,4,14,0,0,0,8,"[0, 15, 28, 17, 18, 8]",6,8,"[1, 2, 4, 7, 19, 23, 25, 26]",105.8111605,11105,1556,8,18,10,1.4819689987843856
basic,4,14,0,0,0,1,"[0, 15, 28, 17, 18, 8, 1]",7,5,"[7, 19, 23, 25, 26]",82.21031307,12769,1664,4,6,10,1.4084991998385268
basic,4,14,0,0,0,19,"[0, 15, 28, 17, 18, 8, 1, 19]",8,4,"[7, 23, 25, 26]",66.97876686,14009,1240,4,1,10,1.5758713333797987
basic,4,14,0,0,0,25,"[0, 15, 28, 17, 18, 8, 1, 19, 25]",9,2,"[7, 23]",31.1318702,16403,2394,2,0,10,1.6426186864061416
basic,4,14,0,0,1,7,"[0, 15, 28, 17, 18, 8, 1, 19, 25, 7]",10,0,[],11.4341546,17751,1348,1,0,10,1.652323224159132
basic,4,14,0,1,1,7,"[0, 15, 28, 17, 18, 8, 1, 19, 25, 7]",10,0,[],11.4341546,19247,1496,1,0,10,1.652323224159132
basic,5,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,190,-1,84,830,9,0.0
basic,5,21,0,0,0,21,"[0, 21]",2,22,"[1, 3, 4, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 29]",210.1111798,3616,3426,1,69,9,1.0
basic,5,21,0,0,0,14,"[0, 21, 14]",3,15,"[1, 4, 6, 8, 9, 15, 16, 17, 18, 20, 22, 23, 24, 25, 29]",184.4986828,5005,1389,35,96,8,1.0083702391721483
basic,5,21,0,0,0,4,"[0, 21, 14, 4]",4,13,"[1, 8, 9, 15, 16, 17, 18, 20, 22, 23, 24, 25, 29]",170.3565472,6145,1140,20,39,8,1.0135821167776475
