condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,10,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,152,-1,1,100,9,0.0
undo,0,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,7400,7248,1,79,9,1.0
undo,0,10,0,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,8459,1059,1,54,9,1.0313137484914219
undo,0,10,0,0,0,19,"[0, 13, 11, 19]",4,11,"[2, 6, 8, 9, 10, 14, 18, 20, 24, 26, 27]",170.0919407,9359,900,1,22,9,1.0879446220132545
undo,0,10,0,0,0,2,"[0, 13, 11, 19, 2]",5,4,"[14, 20, 26, 27]",126.1829439,10977,1618,1,4,9,1.06474052351343
undo,0,10,0,0,0,14,"[0, 13, 11, 19, 2, 14]",6,3,"[20, 26, 27]",114.0174188,11914,937,1,3,9,1.1628909195912238
undo,0,10,0,0,0,26,"[0, 13, 11, 19, 2, 14, 26]",7,2,"[20, 27]",79.34754716,12844,930,1,1,9,1.6660727647633602
undo,0,10,0,0,0,20,"[0, 13, 11, 19, 2, 14, 26, 20]",8,1,[27],47.56704999,13696,852,1,0,9,2.085581809637999
undo,0,10,0,0,1,27,"[0, 13, 11, 19, 2, 14, 26, 20, 27]",9,0,[],2.312215998,15117,1421,1,0,9,1.9116357409137932
undo,0,10,1,0,0,20,"[0, 13, 11, 19, 2, 14, 26, 20]",8,1,[27],47.56704999,18686,3569,1,0,9,2.085581809637999
undo,0,10,1,0,0,26,"[0, 13, 11, 19, 2, 14, 26]",7,2,"[20, 27]",79.34754716,18951,265,1,1,9,1.6660727647633602
undo,0,10,1,0,0,14,"[0, 13, 11, 19, 2, 14]",6,3,"[20, 26, 27]",114.0174188,19353,402,1,3,9,1.1628909195912238
undo,0,10,1,0,0,2,"[0, 13, 11, 19, 2]",5,4,"[14, 20, 26, 27]",126.1829439,19618,265,1,4,9,1.06474052351343
undo,0,10,1,0,0,19,"[0, 13, 11, 19]",4,11,"[2, 6, 8, 9, 10, 14, 18, 20, 24, 26, 27]",170.0919407,19969,351,1,22,9,1.0879446220132545
undo,0,10,1,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,20186,217,1,54,9,1.0313137484914219
undo,0,10,0,0,0,10,"[0, 13, 11, 10]",4,14,"[3, 6, 7, 8, 12, 14, 18, 19, 20, 21, 26, 27, 28, 29]",134.084139,25115,4929,5,16,7,1.869422572758179
undo,0,10,0,0,0,18,"[0, 13, 11, 10, 18]",5,10,"[3, 6, 7, 12, 19, 20, 21, 26, 27, 28]",120.6305149,25909,794,4,7,7,1.7571737303743664
undo,0,10,0,0,0,20,"[0, 13, 11, 10, 18, 20]",6,2,"[26, 27]",49.28627901,26750,841,2,0,7,2.0713776703979687
undo,0,10,0,0,1,26,"[0, 13, 11, 10, 18, 20, 26]",7,0,[],17.50578185,28326,1576,1,0,7,2.1330192209742505
undo,0,10,1,0,0,20,"[0, 13, 11, 10, 18, 20]",6,2,"[26, 27]",49.28627901,29385,1059,2,0,7,2.0713776703979687
