condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,11,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28]",300,329,-1,6,374,12,0.0
undo,0,11,0,0,0,17,"[0, 17]",2,18,"[1, 2, 4, 5, 6, 8, 10, 11, 12, 15, 18, 19, 22, 23, 25, 26, 27, 28]",152.9217895,6870,6541,218,762,9,1.0
undo,0,11,0,0,0,8,"[0, 17, 8]",3,15,"[1, 2, 4, 5, 6, 11, 12, 15, 18, 19, 22, 23, 25, 27, 28]",138.6039684,8239,1369,95,263,9,1.1114912532636003
undo,0,11,0,0,0,15,"[0, 17, 8, 15]",4,11,"[2, 5, 6, 11, 12, 18, 19, 22, 25, 27, 28]",125.1503444,9220,981,62,51,9,1.1146194627724886
undo,0,11,0,0,0,11,"[0, 17, 8, 15, 11]",5,9,"[2, 5, 6, 12, 19, 22, 25, 27, 28]",107.0395741,10485,1265,24,2,9,1.1130192047684102
undo,0,11,0,0,0,28,"[0, 17, 8, 15, 11, 28]",6,4,"[2, 5, 19, 22]",87.62308629,12152,1667,6,2,9,1.2290091933070886
undo,0,11,0,0,0,5,"[0, 17, 8, 15, 11, 28, 5]",7,2,"[2, 22]",69.73454247,13436,1284,2,0,9,1.4153375425476789
undo,0,11,0,0,0,2,"[0, 17, 8, 15, 11, 28, 5, 2]",8,1,[22],52.73454247,15232,1796,1,0,9,1.3853330540064914
undo,0,11,0,0,1,22,"[0, 17, 8, 15, 11, 28, 5, 2, 22]",9,0,[],42.68466685,17652,2420,1,0,9,1.3648232332892756
undo,0,11,0,1,1,22,"[0, 17, 8, 15, 11, 28, 5, 2, 22]",9,0,[],42.68466685,20322,2670,1,0,9,1.3648232332892756
undo,1,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,333,-1,16,302,9,0.0
