condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,23,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,174,-1,76,2626,10,0.0
undo,0,23,0,0,0,21,"[0, 21]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",267.1062316,4954,4780,52,986,10,1.0
undo,0,23,0,0,0,19,"[0, 21, 19]",3,19,"[2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18, 20, 22, 23, 26, 27, 29]",217.6087569,6784,1830,11,48,7,1.173193157854804
undo,0,23,0,0,0,5,"[0, 21, 19, 5]",4,8,"[4, 8, 11, 13, 20, 22, 23, 26]",172.4313289,8323,1539,10,4,6,1.442121522320478
undo,0,23,0,0,0,20,"[0, 21, 19, 5, 20]",5,3,"[4, 8, 26]",118.6726087,10338,2015,3,0,6,1.4377937016237776
undo,0,23,0,0,1,26,"[0, 21, 19, 5, 20, 26]",6,0,[],43.87956089,12484,2146,1,0,6,1.539295408054038
undo,0,23,1,0,0,20,"[0, 21, 19, 5, 20]",5,3,"[4, 8, 26]",118.6726087,15308,2824,3,0,6,1.4377937016237776
undo,0,23,1,0,0,5,"[0, 21, 19, 5]",4,8,"[4, 8, 11, 13, 20, 22, 23, 26]",172.4313289,15508,200,10,4,6,1.442121522320478
undo,0,23,1,0,0,19,"[0, 21, 19]",3,19,"[2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18, 20, 22, 23, 26, 27, 29]",217.6087569,15708,200,11,48,7,1.173193157854804
undo,0,23,1,0,0,21,"[0, 21]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",267.1062316,15925,217,52,986,10,1.0
undo,0,23,1,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,16191,266,76,2626,10,0.0
undo,0,23,0,0,0,22,"[0, 22]",2,24,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 25, 26, 27, 29]",210.5013967,21143,4952,15,1362,10,1.0
undo,0,23,0,0,0,13,"[0, 22, 13]",3,14,"[1, 2, 5, 6, 7, 8, 9, 10, 12, 14, 18, 21, 27, 29]",168.3113504,23484,2341,14,522,10,1.1898173563652046
undo,0,23,0,0,0,12,"[0, 22, 13, 12]",4,11,"[1, 2, 6, 7, 9, 10, 14, 18, 21, 27, 29]",156.2283045,25955,2471,12,166,10,1.1727968780218219
undo,0,23,0,0,0,6,"[0, 22, 13, 12, 6]",5,8,"[2, 7, 9, 10, 14, 18, 27, 29]",126.5466603,29135,3180,2,24,10,1.1544842845523764
undo,0,23,0,0,0,2,"[0, 22, 13, 12, 6, 2]",6,6,"[7, 9, 14, 18, 27, 29]",108.1075714,31033,1898,2,8,10,1.4062299368922424
undo,0,23,0,0,0,9,"[0, 22, 13, 12, 6, 2, 9]",7,4,"[7, 14, 27, 29]",95.06916658,32444,1411,1,3,10,1.5685676974894474
undo,0,23,0,0,0,14,"[0, 22, 13, 12, 6, 2, 9, 14]",8,3,"[7, 27, 29]",84.62886007,34396,1952,1,2,10,1.528647150775544
undo,0,23,0,0,0,29,"[0, 22, 13, 12, 6, 2, 9, 14, 29]",9,1,[7],37.19469517,36195,1799,1,0,10,1.7042299851162805
undo,0,23,0,0,1,7,"[0, 22, 13, 12, 6, 2, 9, 14, 29, 7]",10,0,[],13.11150601,39243,3048,1,0,10,1.7057367602759512
undo,0,23,0,1,1,7,"[0, 22, 13, 12, 6, 2, 9, 14, 29, 7]",10,0,[],13.11150601,44165,4922,1,0,10,1.7057367602759512
undo,1,10,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,223,-1,1,100,9,0.0
undo,1,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,3810,3587,1,79,9,1.0
undo,1,10,0,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,5482,1672,1,54,9,1.0313137484914219
undo,1,10,0,0,0,20,"[0, 13, 11, 20]",4,15,"[1, 2, 3, 6, 8, 9, 10, 12, 14, 18, 19, 21, 24, 26, 27]",168.3723931,7509,2027,15,34,8,1.0874972644654597
undo,1,10,0,0,0,26,"[0, 13, 11, 20, 26]",5,8,"[2, 6, 9, 10, 14, 18, 19, 27]",136.5918959,9883,2374,6,9,8,1.2338398611867702
undo,1,10,0,0,0,19,"[0, 13, 11, 20, 26, 19]",6,4,"[2, 10, 14, 27]",108.2722914,11220,1337,2,2,8,1.605667351096318
undo,1,10,0,0,0,2,"[0, 13, 11, 20, 26, 19, 2]",7,1,[14],64.36329458,12577,1357,1,0,8,1.443425373304724
undo,1,10,0,0,1,14,"[0, 13, 11, 20, 26, 19, 2, 14]",8,0,[],52.19776952,14267,1690,1,0,8,1.5494298542386484
undo,1,10,1,0,0,2,"[0, 13, 11, 20, 26, 19, 2]",7,1,[14],64.36329458,17755,3488,1,0,8,1.443425373304724
undo,1,10,1,0,0,19,"[0, 13, 11, 20, 26, 19]",6,4,"[2, 10, 14, 27]",108.2722914,17998,243,2,2,8,1.605667351096318
undo,1,10,1,0,0,26,"[0, 13, 11, 20, 26]",5,8,"[2, 6, 9, 10, 14, 18, 19, 27]",136.5918959,18191,193,6,9,8,1.2338398611867702
undo,1,10,1,0,0,20,"[0, 13, 11, 20]",4,15,"[1, 2, 3, 6, 8, 9, 10, 12, 14, 18, 19, 21, 24, 26, 27]",168.3723931,18388,197,15,34,8,1.0874972644654597
undo,1,10,1,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,18588,200,1,54,9,1.0313137484914219
undo,1,10,1,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,18807,219,1,79,9,1.0
undo,1,10,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,21630,2823,1,100,9,0.0
undo,1,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,31273,9643,1,79,9,1.0
undo,1,10,0,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,32882,1609,1,54,9,1.0313137484914219
undo,1,10,0,0,0,20,"[0, 13, 11, 20]",4,15,"[1, 2, 3, 6, 8, 9, 10, 12, 14, 18, 19, 21, 24, 26, 27]",168.3723931,43260,10378,15,34,8,1.0874972644654597
undo,1,10,0,0,0,27,"[0, 13, 11, 20, 27]",5,11,"[1, 2, 6, 9, 10, 12, 14, 18, 19, 21, 26]",123.1175591,44746,1486,1,10,8,1.1358705803065132
undo,1,10,0,0,0,9,"[0, 13, 11, 20, 27, 9]",6,1,[6],62.57831559,46584,1838,1,0,7,1.102380700365805
undo,1,10,0,0,1,6,"[0, 13, 11, 20, 27, 9, 6]",7,0,[],50.91641181,50132,3548,1,0,7,1.1735004372670057
undo,1,10,1,0,0,9,"[0, 13, 11, 20, 27, 9]",6,1,[6],62.57831559,52321,2189,1,0,7,1.102380700365805
undo,1,10,1,0,0,27,"[0, 13, 11, 20, 27]",5,11,"[1, 2, 6, 9, 10, 12, 14, 18, 19, 21, 26]",123.1175591,52628,307,1,10,8,1.1358705803065132
undo,1,10,1,0,0,20,"[0, 13, 11, 20]",4,15,"[1, 2, 3, 6, 8, 9, 10, 12, 14, 18, 19, 21, 24, 26, 27]",168.3723931,52870,242,15,34,8,1.0874972644654597
undo,1,10,1,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,53086,216,1,54,9,1.0313137484914219
undo,1,10,1,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,53370,284,1,79,9,1.0
undo,1,10,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,53652,282,1,100,9,0.0
undo,1,10,0,0,0,8,"[0, 8]",2,23,"[2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]",256.9883737,98633,44981,13,64,8,1.0
undo,1,10,0,0,0,13,"[0, 8, 13]",3,18,"[2, 4, 6, 7, 9, 10, 11, 12, 14, 18, 19, 20, 22, 24, 26, 27, 28, 29]",185.96725,100565,1932,13,50,8,2.256415900137669
undo,1,10,0,0,0,11,"[0, 8, 13, 11]",4,11,"[2, 6, 9, 10, 14, 18, 19, 20, 24, 26, 27]",142.9556237,103029,2464,13,28,8,1.731311634743708
undo,1,10,0,0,0,19,"[0, 8, 13, 11, 19]",5,5,"[2, 14, 20, 26, 27]",106.5963058,104378,1349,5,5,8,1.6197032741169284
undo,1,10,0,0,0,2,"[0, 8, 13, 11, 19, 2]",6,2,"[14, 26]",62.68730899,109905,5527,1,1,8,1.4536918558613663
undo,1,10,0,0,0,14,"[0, 8, 13, 11, 19, 2, 14]",7,1,[26],50.52178393,111507,1602,1,0,8,1.5599092680170863
undo,1,10,0,0,1,26,"[0, 8, 13, 11, 19, 2, 14, 26]",8,0,[],15.85191228,115033,3526,1,0,8,2.1455070361405104
undo,1,10,0,1,1,26,"[0, 8, 13, 11, 19, 2, 14, 26]",8,0,[],15.85191228,124601,9568,1,0,8,2.1455070361405104
undo,2,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,192,-1,13,161,9,0.0
undo,2,16,0,0,0,28,"[0, 28]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",284.3475242,6467,6275,11,92,9,1.0
undo,2,16,0,0,0,17,"[0, 28, 17]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",219.1555001,13044,6577,10,46,9,1.3773866384707543
undo,2,16,0,0,0,16,"[0, 28, 17, 16]",4,25,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",190.8358956,16894,3850,10,34,9,1.3209953830681203
undo,2,16,0,0,0,8,"[0, 28, 17, 16, 8]",5,12,"[3, 4, 5, 9, 12, 13, 15, 19, 20, 21, 25, 29]",142.4623491,20836,3942,6,19,9,1.2700932705506198
undo,2,16,0,0,0,25,"[0, 28, 17, 16, 8, 25]",6,5,"[5, 9, 12, 15, 20]",82.24607223,24200,3364,2,7,9,1.1818231810970345
undo,2,16,0,0,0,20,"[0, 28, 17, 16, 8, 25, 20]",7,4,"[5, 9, 12, 15]",69.59696159,25732,1532,1,3,9,1.273333696564123
undo,2,16,0,0,0,9,"[0, 28, 17, 16, 8, 25, 20, 9]",8,1,[15],48.71634857,27253,1521,1,0,9,1.2752886720517775
undo,2,16,0,0,1,15,"[0, 28, 17, 16, 8, 25, 20, 9, 15]",9,0,[],9.819047893,31357,4104,1,0,9,1.3678045494834277
undo,2,16,0,1,1,15,"[0, 28, 17, 16, 8, 25, 20, 9, 15]",9,0,[],9.819047893,33417,2060,1,0,9,1.3678045494834277
undo,3,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,204,-1,5,236,11,0.0
undo,3,35,0,0,0,27,"[0, 27]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",278.7867966,3753,3549,5,144,11,1.0
undo,3,35,0,0,0,24,"[0, 27, 24]",3,25,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29]",234.6053525,5056,1303,3,80,11,2.1084080567904624
undo,3,35,0,0,0,17,"[0, 27, 24, 17]",4,20,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 15, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29]",222.9006526,6472,1416,3,50,11,1.9439555968916868
undo,3,35,0,0,0,1,"[0, 27, 24, 17, 1]",5,18,"[2, 4, 5, 6, 8, 9, 10, 15, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29]",207.0892643,7588,1116,3,39,11,1.9436711872547336
undo,3,35,0,0,0,15,"[0, 27, 24, 17, 1, 15]",6,16,"[2, 4, 5, 6, 8, 9, 10, 16, 18, 19, 20, 23, 25, 26, 28, 29]",184.241945,9121,1533,3,24,11,2.082774572108194
undo,3,35,0,0,0,23,"[0, 27, 24, 17, 1, 15, 23]",7,7,"[5, 6, 9, 18, 19, 25, 26]",123.801892,13732,4611,3,14,11,1.657239080954205
undo,3,35,0,0,0,9,"[0, 27, 24, 17, 1, 15, 23, 9]",8,4,"[6, 18, 19, 25]",86.15883157,17111,3379,2,2,11,1.9022575917054987
undo,3,35,0,0,0,18,"[0, 27, 24, 17, 1, 15, 23, 9, 18]",9,2,"[6, 25]",66.13384718,18400,1289,2,0,11,1.8181129550839106
undo,3,35,0,0,0,25,"[0, 27, 24, 17, 1, 15, 23, 9, 18, 25]",10,1,[6],32.29599855,20944,2544,1,0,11,1.6530923432245144
undo,3,35,0,0,1,6,"[0, 27, 24, 17, 1, 15, 23, 9, 18, 25, 6]",11,0,[],8.275174247,23138,2194,1,0,11,1.9291202388527962
undo,3,35,0,1,1,6,"[0, 27, 24, 17, 1, 15, 23, 9, 18, 25, 6]",11,0,[],8.275174247,25062,1924,1,0,11,1.9291202388527962
undo,4,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,204,-1,1,30,10,0.0
undo,4,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,9573,9369,8,104,9,1.0
undo,4,39,0,0,0,10,"[0, 29, 10]",3,19,"[1, 2, 4, 5, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 28]",178.4239862,12272,2699,3,48,9,1.0231293692376968
undo,4,39,0,0,0,7,"[0, 29, 10, 7]",4,14,"[1, 2, 4, 5, 9, 12, 13, 15, 16, 18, 19, 22, 24, 26]",145.0024362,13787,1515,2,20,9,1.0186411966151707
undo,4,39,0,0,0,26,"[0, 29, 10, 7, 26]",5,9,"[1, 2, 5, 12, 13, 16, 18, 19, 22]",126.3208945,15085,1298,1,9,9,1.0752526811750318
undo,4,39,0,0,0,22,"[0, 29, 10, 7, 26, 22]",6,6,"[1, 5, 12, 16, 18, 19]",108.6008494,16554,1469,1,3,9,1.2360944063790367
undo,4,39,0,0,0,16,"[0, 29, 10, 7, 26, 22, 16]",7,2,"[18, 19]",73.6008494,19069,2515,1,1,9,1.1926155792040818
undo,4,39,0,0,0,19,"[0, 29, 10, 7, 26, 22, 16, 19]",8,1,[18],56.1366002,20497,1428,1,0,9,1.2089345217410772
undo,4,39,0,0,1,18,"[0, 29, 10, 7, 26, 22, 16, 19, 18]",9,0,[],12.96253391,23977,3480,1,0,9,1.2243548998729528
undo,4,39,0,1,1,18,"[0, 29, 10, 7, 26, 22, 16, 19, 18]",9,0,[],12.96253391,26734,2757,1,0,9,1.2243548998729528
undo,5,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,201,-1,2,182,10,0.0
undo,5,9,0,0,0,25,"[0, 25]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28]",275.9168108,6627,6426,2,104,10,1.0
undo,5,9,0,0,0,10,"[0, 25, 10]",3,20,"[3, 4, 5, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",236.0670932,8458,1831,2,76,10,1.1767014107208227
undo,5,9,0,0,0,8,"[0, 25, 10, 8]",4,19,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",187.6935467,10916,2458,1,29,10,1.7608170712242983
undo,5,9,0,0,0,28,"[0, 25, 10, 8, 28]",5,18,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27]",176.8768928,11998,1082,1,15,10,1.6576318206889098
undo,5,9,0,0,0,23,"[0, 25, 10, 8, 28, 23]",6,12,"[3, 4, 7, 9, 11, 18, 19, 20, 21, 22, 26, 27]",151.8569008,13495,1497,1,7,10,2.488131366775142
undo,5,9,0,0,0,9,"[0, 25, 10, 8, 28, 23, 9]",7,10,"[3, 4, 7, 11, 18, 19, 20, 21, 26, 27]",129.4962211,15558,2063,1,5,10,2.289724512754012
undo,5,9,0,0,0,26,"[0, 25, 10, 8, 28, 23, 9, 26]",8,3,"[18, 20, 21]",72.8481849,19371,3813,1,2,10,1.944382504121744
undo,5,9,0,0,0,21,"[0, 25, 10, 8, 28, 23, 9, 26, 21]",9,1,[20],18.94085701,21445,2074,1,0,10,2.3711528775176802
undo,5,9,0,0,1,20,"[0, 25, 10, 8, 28, 23, 9, 26, 21, 20]",10,0,[],6.85781104,22952,1507,1,0,10,2.3146010432238726
undo,5,9,0,1,1,20,"[0, 25, 10, 8, 28, 23, 9, 26, 21, 20]",10,0,[],6.85781104,24485,1533,1,0,10,2.3146010432238726
undo,6,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,174,-1,16,302,9,0.0
undo,6,42,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",191.2939744,12567,12393,1,22,9,1.0
undo,6,42,0,0,0,4,"[0, 5, 4]",3,23,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",171.4445412,14834,2267,1,14,9,1.420957801478707
undo,6,42,0,0,0,22,"[0, 5, 4, 22]",4,20,"[1, 2, 3, 6, 7, 8, 9, 11, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29]",160.2642013,16422,1588,1,11,9,1.5771494659680896
undo,6,42,0,0,0,8,"[0, 5, 4, 22, 8]",5,14,"[1, 2, 3, 6, 7, 11, 15, 18, 19, 24, 25, 26, 27, 29]",138.1282577,18114,1692,1,10,9,1.5055393955524201
undo,6,42,0,0,0,1,"[0, 5, 4, 22, 8, 1]",6,5,"[2, 7, 19, 26, 27]",89.03650682,20701,2587,1,7,9,1.3547259083637835
undo,6,42,0,0,0,7,"[0, 5, 4, 22, 8, 1, 7]",7,4,"[2, 19, 26, 27]",59.03650682,22625,1924,1,3,9,1.3909715672447451
undo,6,42,0,0,0,26,"[0, 5, 4, 22, 8, 1, 7, 26]",8,1,[27],32.46584631,24258,1633,1,0,9,1.3511825943939393
undo,6,42,0,0,1,27,"[0, 5, 4, 22, 8, 1, 7, 26, 27]",9,0,[],14.43808994,26374,2116,1,0,9,1.3391911688802078
undo,6,42,1,0,0,26,"[0, 5, 4, 22, 8, 1, 7, 26]",8,1,[27],32.46584631,30511,4137,1,0,9,1.3511825943939393
undo,6,42,1,0,0,7,"[0, 5, 4, 22, 8, 1, 7]",7,4,"[2, 19, 26, 27]",59.03650682,30711,200,1,3,9,1.3909715672447451
undo,6,42,1,0,0,1,"[0, 5, 4, 22, 8, 1]",6,5,"[2, 7, 19, 26, 27]",89.03650682,30896,185,1,7,9,1.3547259083637835
undo,6,42,1,0,0,8,"[0, 5, 4, 22, 8]",5,14,"[1, 2, 3, 6, 7, 11, 15, 18, 19, 24, 25, 26, 27, 29]",138.1282577,31061,165,1,10,9,1.5055393955524201
undo,6,42,1,0,0,22,"[0, 5, 4, 22]",4,20,"[1, 2, 3, 6, 7, 8, 9, 11, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29]",160.2642013,31228,167,1,11,9,1.5771494659680896
undo,6,42,1,0,0,4,"[0, 5, 4]",3,23,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",171.4445412,31378,150,1,14,9,1.420957801478707
undo,6,42,1,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",191.2939744,31746,368,1,22,9,1.0
undo,6,42,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,31943,197,16,302,9,0.0
undo,6,42,0,0,0,23,"[0, 23]",2,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 17, 22, 24, 25, 26, 29]",219,40073,8130,44,102,7,1.0
undo,6,42,0,0,0,17,"[0, 23, 17]",3,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 22, 24, 25, 29]",207.8196601,42153,2080,27,42,7,1.0114451629284253
undo,6,42,0,0,0,11,"[0, 23, 17, 11]",4,13,"[1, 2, 3, 4, 5, 6, 7, 8, 15, 22, 24, 25, 29]",156.6239572,44323,2170,13,14,7,1.5620381439275295
undo,6,42,0,0,0,24,"[0, 23, 17, 11, 24]",5,4,"[2, 3, 6, 15]",98.61533712,46787,2464,2,3,7,1.536884550045445
undo,6,42,0,0,0,15,"[0, 23, 17, 11, 24, 15]",6,2,"[2, 6]",85.01386661,48351,1564,2,0,7,1.4864857512288958
undo,6,42,0,0,1,6,"[0, 23, 17, 11, 24, 15, 6]",7,0,[],35.61751047,52846,4495,1,0,7,1.3735499030929144
undo,6,42,1,0,0,15,"[0, 23, 17, 11, 24, 15]",6,2,"[2, 6]",85.01386661,55607,2761,2,0,7,1.4864857512288958
undo,6,42,1,0,0,24,"[0, 23, 17, 11, 24]",5,4,"[2, 3, 6, 15]",98.61533712,55935,328,2,3,7,1.536884550045445
undo,6,42,1,0,0,11,"[0, 23, 17, 11]",4,13,"[1, 2, 3, 4, 5, 6, 7, 8, 15, 22, 24, 25, 29]",156.6239572,56136,201,13,14,7,1.5620381439275295
undo,6,42,1,0,0,17,"[0, 23, 17]",3,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 22, 24, 25, 29]",207.8196601,56389,253,27,42,7,1.0114451629284253
undo,6,42,1,0,0,23,"[0, 23]",2,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 17, 22, 24, 25, 26, 29]",219,56851,462,44,102,7,1.0
undo,6,42,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,57250,399,16,302,9,0.0
undo,6,42,0,0,0,4,"[0, 4]",2,28,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",209.5290102,60639,3389,4,80,9,1.0
undo,6,42,0,0,0,22,"[0, 4, 22]",3,24,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",198.3486703,61689,1050,3,53,9,1.1473032812120834
