condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,141,-1,13,161,9,0.0
basic,0,16,0,0,0,17,"[0, 17]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",241.3058776,5319,5178,2,58,9,1.0
basic,0,16,0,0,0,16,"[0, 17, 16]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",212.9862731,6222,903,2,52,9,1.0529535521792848
basic,0,16,0,0,0,8,"[0, 17, 16, 8]",4,19,"[2, 3, 4, 5, 9, 12, 13, 14, 15, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",164.6127266,7286,1064,2,38,9,1.0915134501573105
basic,0,16,0,0,0,20,"[0, 17, 16, 8, 20]",5,10,"[3, 4, 5, 9, 12, 13, 15, 19, 21, 25]",106.8372993,8484,1198,1,15,9,1.067523143001942
basic,0,16,0,0,0,25,"[0, 17, 16, 8, 20, 25]",6,7,"[3, 4, 5, 9, 12, 13, 15]",94.18818869,9233,749,1,9,9,1.1170093326933646
basic,0,16,0,0,0,9,"[0, 17, 16, 8, 20, 25, 9]",7,5,"[3, 4, 5, 13, 15]",81.38194021,10117,884,1,4,9,1.1095076562662525
basic,0,16,0,0,0,15,"[0, 17, 16, 8, 20, 25, 9, 15]",8,1,[5],42.48463953,12249,2132,1,0,9,1.213831159678775
basic,0,16,0,0,1,5,"[0, 17, 16, 8, 20, 25, 9, 15, 5]",9,0,[],13.0567616,13422,1173,1,0,9,1.5171779607523481
basic,0,16,0,1,1,5,"[0, 17, 16, 8, 20, 25, 9, 15, 5]",9,0,[],13.0567616,14809,1387,1,0,9,1.5171779607523481
basic,1,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,176,-1,3,79,9,0.0
basic,1,7,0,0,0,6,"[0, 6]",2,22,"[2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28]",231.1160396,2686,2510,1,24,9,1.0
basic,1,7,0,0,0,13,"[0, 6, 13]",3,8,"[4, 7, 15, 18, 19, 20, 21, 25]",133.0344409,5405,2719,6,22,7,1.0045597027558524
basic,1,7,0,0,0,4,"[0, 6, 13, 4]",4,4,"[7, 18, 20, 25]",79.69589951,7358,1953,5,4,7,1.5688055800213379
basic,1,7,0,0,0,25,"[0, 6, 13, 4, 25]",5,2,"[18, 20]",54.95726575,8102,744,2,0,7,2.069511399548538
basic,1,7,0,0,0,18,"[0, 6, 13, 4, 25, 18]",6,1,[20],26.63766124,9417,1315,1,0,7,1.9093385318608538
basic,1,7,0,0,1,20,"[0, 6, 13, 4, 25, 18, 20]",7,0,[],13.83141276,10251,834,1,0,7,1.908893816832029
basic,1,7,0,1,1,20,"[0, 6, 13, 4, 25, 18, 20]",7,0,[],13.83141276,11143,892,1,0,7,1.908893816832029
basic,2,10,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,161,-1,1,100,9,0.0
basic,2,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,3154,2993,1,79,9,1.0
basic,2,10,0,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,4310,1156,1,54,9,1.0313137484914219
basic,2,10,0,0,0,19,"[0, 13, 11, 19]",4,11,"[2, 6, 8, 9, 10, 14, 18, 20, 24, 26, 27]",170.0919407,5019,709,1,22,9,1.0879446220132545
basic,2,10,0,0,0,2,"[0, 13, 11, 19, 2]",5,4,"[14, 20, 26, 27]",126.1829439,5720,701,1,4,9,1.06474052351343
basic,2,10,0,0,0,14,"[0, 13, 11, 19, 2, 14]",6,3,"[20, 26, 27]",114.0174188,6420,700,1,3,9,1.1628909195912238
basic,2,10,0,0,0,26,"[0, 13, 11, 19, 2, 14, 26]",7,2,"[20, 27]",79.34754716,7202,782,1,1,9,1.6660727647633602
basic,2,10,0,0,0,20,"[0, 13, 11, 19, 2, 14, 26, 20]",8,1,[27],47.56704999,9422,2220,1,0,9,2.085581809637999
basic,2,10,0,0,1,27,"[0, 13, 11, 19, 2, 14, 26, 20, 27]",9,0,[],2.312215998,10987,1565,1,0,9,1.9116357409137932
basic,2,10,0,1,1,27,"[0, 13, 11, 19, 2, 14, 26, 20, 27]",9,0,[],2.312215998,11744,757,1,0,9,1.9116357409137932
basic,3,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,159,-1,1,30,10,0.0
basic,3,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,2302,2143,8,104,9,1.0
basic,3,39,0,0,0,12,"[0, 29, 12]",3,18,"[1, 2, 4, 5, 7, 9, 10, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26, 28]",182.5221931,4218,1916,5,54,9,1.0026200331524904
