condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,24,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,118,-1,4,76,10,0.0
undo,0,24,0,0,0,16,"[0, 16]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",210.3562607,7132,7014,13,110,9,1.0
undo,0,24,0,0,0,22,"[0, 16, 22]",3,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",192.3285043,7706,574,7,54,9,1.0217425143037777
undo,0,24,0,0,0,8,"[0, 16, 22, 8]",4,21,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14, 15, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29]",178.9120964,8506,800,4,28,9,1.0996636936037951
undo,0,24,0,0,0,15,"[0, 16, 22, 8, 15]",5,16,"[3, 4, 6, 9, 10, 11, 13, 14, 17, 23, 24, 25, 26, 27, 28, 29]",148.025206,9569,1063,3,17,9,1.2704773343758617
undo,0,24,0,0,0,28,"[0, 16, 22, 8, 15, 28]",6,8,"[3, 4, 9, 11, 13, 23, 26, 27]",102.7482803,10150,581,3,5,9,1.1981967578189556
undo,0,24,0,0,0,23,"[0, 16, 22, 8, 15, 28, 23]",7,3,"[9, 11, 27]",83.72198273,10580,430,3,1,9,1.2275650852813986
undo,0,24,0,0,0,11,"[0, 16, 22, 8, 15, 28, 23, 11]",8,2,"[9, 27]",56.79615869,11039,459,2,0,9,1.2107937989822568
undo,0,24,0,0,1,27,"[0, 16, 22, 8, 15, 28, 23, 11, 27]",9,0,[],28.99328114,12045,1006,1,0,9,1.1865620449755248
undo,0,24,1,0,0,11,"[0, 16, 22, 8, 15, 28, 23, 11]",8,2,"[9, 27]",56.79615869,13743,1698,2,0,9,1.2107937989822568
undo,0,24,0,0,1,9,"[0, 16, 22, 8, 15, 28, 23, 11, 9]",9,0,[],24.5471277,14694,951,1,0,9,1.2976612913524237
undo,0,24,1,0,0,11,"[0, 16, 22, 8, 15, 28, 23, 11]",8,2,"[9, 27]",56.79615869,15987,1293,2,0,9,1.2107937989822568
undo,0,24,1,0,0,23,"[0, 16, 22, 8, 15, 28, 23]",7,3,"[9, 11, 27]",83.72198273,19168,3181,3,1,9,1.2275650852813986
undo,0,24,1,0,0,28,"[0, 16, 22, 8, 15, 28]",6,8,"[3, 4, 9, 11, 13, 23, 26, 27]",102.7482803,19508,340,3,5,9,1.1981967578189556
undo,0,24,1,0,0,15,"[0, 16, 22, 8, 15]",5,16,"[3, 4, 6, 9, 10, 11, 13, 14, 17, 23, 24, 25, 26, 27, 28, 29]",148.025206,19806,298,3,17,9,1.2704773343758617
undo,0,24,1,0,0,8,"[0, 16, 22, 8]",4,21,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14, 15, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29]",178.9120964,20105,299,4,28,9,1.0996636936037951
undo,0,24,0,0,0,28,"[0, 16, 22, 8, 28]",5,11,"[3, 4, 6, 9, 11, 13, 15, 23, 25, 26, 27]",116.8153976,20783,678,1,7,9,1.1127466823197207
undo,0,24,0,0,0,23,"[0, 16, 22, 8, 28, 23]",6,6,"[4, 9, 11, 13, 15, 27]",97.78910006,21192,409,1,5,9,1.1477220096751186
undo,0,24,0,0,0,11,"[0, 16, 22, 8, 28, 23, 11]",7,2,"[9, 27]",70.86327602,22005,813,1,1,9,1.1407604543567107
undo,0,24,0,0,1,9,"[0, 16, 22, 8, 28, 23, 11, 9]",8,0,[],38.61424503,22546,541,1,0,8,1.231390958109455
undo,0,24,1,0,0,11,"[0, 16, 22, 8, 28, 23, 11]",7,2,"[9, 27]",70.86327602,24910,2364,1,1,9,1.1407604543567107
undo,0,24,1,0,0,23,"[0, 16, 22, 8, 28, 23]",6,6,"[4, 9, 11, 13, 15, 27]",97.78910006,26056,1146,1,5,9,1.1477220096751186
undo,0,24,1,0,0,28,"[0, 16, 22, 8, 28]",5,11,"[3, 4, 6, 9, 11, 13, 15, 23, 25, 26, 27]",116.8153976,26355,299,1,7,9,1.1127466823197207
undo,0,24,1,0,0,8,"[0, 16, 22, 8]",4,21,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14, 15, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29]",178.9120964,26681,326,4,28,9,1.0996636936037951
undo,0,24,0,0,0,15,"[0, 16, 22, 8, 15]",5,16,"[3, 4, 6, 9, 10, 11, 13, 14, 17, 23, 24, 25, 26, 27, 28, 29]",148.025206,27387,706,3,17,9,1.2704773343758617
undo,0,24,0,0,0,28,"[0, 16, 22, 8, 15, 28]",6,8,"[3, 4, 9, 11, 13, 23, 26, 27]",102.7482803,28345,958,3,5,9,1.1981967578189556
undo,0,24,0,0,0,23,"[0, 16, 22, 8, 15, 28, 23]",7,3,"[9, 11, 27]",83.72198273,28706,361,3,1,9,1.2275650852813986
undo,0,24,0,0,0,11,"[0, 16, 22, 8, 15, 28, 23, 11]",8,2,"[9, 27]",56.79615869,29360,654,2,0,9,1.2107937989822568
undo,0,24,0,0,1,27,"[0, 16, 22, 8, 15, 28, 23, 11, 27]",9,0,[],28.99328114,30762,1402,1,0,9,1.1865620449755248
undo,0,24,1,0,0,11,"[0, 16, 22, 8, 15, 28, 23, 11]",8,2,"[9, 27]",56.79615869,31355,593,2,0,9,1.2107937989822568
undo,0,24,0,0,1,9,"[0, 16, 22, 8, 15, 28, 23, 11, 9]",9,0,[],24.5471277,32040,685,1,0,9,1.2976612913524237
undo,0,24,0,1,1,9,"[0, 16, 22, 8, 15, 28, 23, 11, 9]",9,0,[],24.5471277,34196,2156,1,0,9,1.2976612913524237
