condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,158,-1,9,226,9,0.0
undo,0,26,0,0,0,12,"[0, 12]",2,26,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",279.8753882,15585,15427,2,80,9,1.0
undo,0,26,0,0,0,4,"[0, 12, 4]",3,11,"[5, 6, 10, 13, 14, 16, 17, 19, 21, 23, 29]",149.4108336,17616,2031,16,95,8,1.242461188572386
undo,0,26,0,0,0,17,"[0, 12, 4, 17]",4,8,"[6, 10, 13, 14, 16, 21, 23, 29]",128.3158105,18965,1349,4,24,8,1.2082947779651163
undo,0,26,0,0,0,6,"[0, 12, 4, 17, 6]",5,4,"[10, 14, 16, 29]",108.1911987,20308,1343,2,6,8,1.1942420175970017
undo,0,26,0,0,0,14,"[0, 12, 4, 17, 6, 14]",6,3,"[10, 16, 29]",87.16740268,20955,647,2,1,8,1.3206938947282516
undo,0,26,0,0,0,29,"[0, 12, 4, 17, 6, 14, 29]",7,1,[16],45.93634642,21993,1038,1,0,8,2.0792783678895326
undo,0,26,0,0,1,16,"[0, 12, 4, 17, 6, 14, 29, 16]",8,0,[],21.72890955,22866,873,1,0,8,2.485752568115748
undo,0,26,1,0,0,29,"[0, 12, 4, 17, 6, 14, 29]",7,1,[16],45.93634642,25875,3009,1,0,8,2.0792783678895326
undo,0,26,1,0,0,14,"[0, 12, 4, 17, 6, 14]",6,3,"[10, 16, 29]",87.16740268,26058,183,2,1,8,1.3206938947282516
undo,0,26,1,0,0,6,"[0, 12, 4, 17, 6]",5,4,"[10, 14, 16, 29]",108.1911987,26242,184,2,6,8,1.1942420175970017
undo,0,26,1,0,0,17,"[0, 12, 4, 17]",4,8,"[6, 10, 13, 14, 16, 21, 23, 29]",128.3158105,26408,166,4,24,8,1.2082947779651163
undo,0,26,1,0,0,4,"[0, 12, 4]",3,11,"[5, 6, 10, 13, 14, 16, 17, 19, 21, 23, 29]",149.4108336,26592,184,16,95,8,1.242461188572386
