condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,126,-1,2,200,10,0.0
basic,0,36,0,0,0,12,"[0, 12]",2,23,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",277.7963967,8349,8223,90,804,9,1.0
basic,0,36,0,0,0,9,"[0, 12, 9]",3,14,"[2, 4, 8, 10, 13, 16, 17, 18, 19, 23, 25, 27, 28, 29]",215.4345494,11681,3332,32,191,9,1.224429481246385
basic,0,36,0,0,0,17,"[0, 12, 9, 17]",4,11,"[2, 4, 8, 10, 13, 16, 18, 19, 23, 25, 27]",189.1857399,12649,968,8,54,9,1.1724571624470872
basic,0,36,0,0,0,19,"[0, 12, 9, 17, 19]",5,8,"[2, 4, 10, 13, 16, 18, 23, 25]",161.2930885,14097,1448,3,14,9,1.7995682634090462
basic,0,36,0,0,0,2,"[0, 12, 9, 17, 19, 2]",6,4,"[10, 13, 16, 25]",124.1716661,15064,967,2,3,9,1.5569787348204112
basic,0,36,0,0,0,25,"[0, 12, 9, 17, 19, 2, 25]",7,3,"[10, 13, 16]",99.17166613,16883,1819,1,2,9,1.7541097756555504
basic,0,36,0,0,0,13,"[0, 12, 9, 17, 19, 2, 25, 13]",8,1,[10],78.58040585,18066,1183,1,0,9,2.257503926583423
basic,0,36,0,0,1,10,"[0, 12, 9, 17, 19, 2, 25, 13, 10]",9,0,[],2.619889792,22379,4313,1,0,9,1.709815416525762
basic,0,36,0,1,1,10,"[0, 12, 9, 17, 19, 2, 25, 13, 10]",9,0,[],2.619889792,24143,1764,1,0,9,1.709815416525762
basic,1,8,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,130,-1,10,149,9,0.0
basic,1,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,6153,6023,10,100,9,1.0
basic,1,8,0,0,0,14,"[0, 5, 14]",3,20,"[1, 2, 3, 4, 6, 7, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",214.5512559,7867,1714,4,36,9,1.0001019035932595
basic,1,8,0,0,0,17,"[0, 5, 14, 17]",4,15,"[1, 4, 6, 7, 11, 15, 16, 18, 19, 20, 22, 23, 24, 25, 28]",177.5377449,8909,1042,4,16,9,1.121197267659591
basic,1,8,0,0,0,11,"[0, 5, 14, 17, 11]",5,11,"[1, 4, 15, 16, 18, 19, 22, 23, 24, 25, 28]",152.3583883,9768,859,4,8,9,1.1277254166016362
basic,1,8,0,0,0,24,"[0, 5, 14, 17, 11, 24]",6,3,"[15, 16, 28]",115.1428001,10786,1018,2,2,9,1.1227411011978805
basic,1,8,0,0,0,15,"[0, 5, 14, 17, 11, 24, 15]",7,2,"[16, 28]",98.37974552,11716,930,2,0,9,1.1956385406066814
