condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,125,-1,2,200,10,0.0
undo,0,36,0,0,0,12,"[0, 12]",2,23,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",277.7963967,8442,8317,90,804,9,1.0
undo,0,36,0,0,0,16,"[0, 12, 16]",3,10,"[2, 9, 10, 13, 17, 18, 19, 23, 25, 27]",171.6267212,9455,1013,4,38,9,1.202695220335868
undo,0,36,0,0,0,17,"[0, 12, 16, 17]",4,7,"[2, 9, 10, 13, 18, 19, 25]",143.3071167,11614,2159,4,23,9,1.6578705047868705
undo,0,36,0,0,0,9,"[0, 12, 16, 17, 9]",5,5,"[2, 13, 18, 19, 25]",117.0583072,12186,572,3,6,9,2.6488264465469484
undo,0,36,0,0,0,19,"[0, 12, 16, 17, 9, 19]",6,4,"[2, 13, 18, 25]",101.9255612,12794,608,3,3,9,2.5697960541572393
undo,0,36,0,0,0,2,"[0, 12, 16, 17, 9, 19, 2]",7,2,"[13, 25]",64.80413882,13695,901,2,0,9,2.082684549483941
undo,0,36,0,0,0,25,"[0, 12, 16, 17, 9, 19, 2, 25]",8,1,[13],39.80413882,14594,899,1,0,9,2.272647961997219
undo,0,36,0,0,1,13,"[0, 12, 16, 17, 9, 19, 2, 25, 13]",9,0,[],19.21287854,15367,773,1,0,9,2.86279103556024
undo,0,36,0,1,1,13,"[0, 12, 16, 17, 9, 19, 2, 25, 13]",9,0,[],19.21287854,22542,7175,1,0,9,2.86279103556024
undo,1,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,130,-1,2,96,9,0.0
undo,1,28,0,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,6446,6316,1,64,9,1.0
undo,1,28,0,0,0,14,"[0, 3, 14]",3,13,"[1, 2, 5, 7, 10, 11, 12, 13, 17, 18, 19, 20, 26]",142.7396498,7649,1203,19,59,8,1.0338694802207566
undo,1,28,0,0,0,18,"[0, 3, 14, 18]",4,10,"[1, 2, 5, 7, 11, 12, 13, 17, 19, 26]",117.2445523,8578,929,18,18,8,1.098527225277385
undo,1,28,0,0,0,13,"[0, 3, 14, 18, 13]",5,7,"[2, 7, 11, 12, 17, 19, 26]",92.83144103,10786,2208,8,6,8,1.0872780601597938
undo,1,28,0,0,0,12,"[0, 3, 14, 18, 13, 12]",6,3,"[2, 7, 19]",75.6267905,11599,813,3,1,8,1.0890748557820906
undo,1,28,0,0,0,7,"[0, 3, 14, 18, 13, 12, 7]",7,2,"[2, 19]",62.47384406,12512,913,2,0,8,1.2125627495730145
undo,1,28,0,0,1,19,"[0, 3, 14, 18, 13, 12, 7, 19]",8,0,[],34.74299481,13542,1030,1,0,8,1.4527925513951803
undo,1,28,1,0,0,7,"[0, 3, 14, 18, 13, 12, 7]",7,2,"[2, 19]",62.47384406,18196,4654,2,0,8,1.2125627495730145
undo,1,28,1,0,0,12,"[0, 3, 14, 18, 13, 12]",6,3,"[2, 7, 19]",75.6267905,19563,1367,3,1,8,1.0890748557820906
undo,1,28,1,0,0,13,"[0, 3, 14, 18, 13]",5,7,"[2, 7, 11, 12, 17, 19, 26]",92.83144103,19712,149,8,6,8,1.0872780601597938
undo,1,28,1,0,0,18,"[0, 3, 14, 18]",4,10,"[1, 2, 5, 7, 11, 12, 13, 17, 19, 26]",117.2445523,19863,151,18,18,8,1.098527225277385
undo,1,28,1,0,0,14,"[0, 3, 14]",3,13,"[1, 2, 5, 7, 10, 11, 12, 13, 17, 18, 19, 20, 26]",142.7396498,20013,150,19,59,8,1.0338694802207566
undo,1,28,1,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,20163,150,1,64,9,1.0
undo,1,28,1,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,20313,150,2,96,9,0.0
undo,1,28,0,0,0,20,"[0, 20]",2,22,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 26, 28, 29]",245.9629757,25384,5071,1,24,9,1.0
undo,1,28,0,0,0,28,"[0, 20, 28]",3,8,"[2, 4, 5, 8, 9, 19, 26, 29]",111.798897,27333,1949,11,15,6,1.0188673683341003
undo,1,28,0,0,0,8,"[0, 20, 28, 8]",4,6,"[2, 4, 5, 9, 26, 29]",93.99440319,28205,872,6,4,6,1.021470705651404
undo,1,28,0,0,0,9,"[0, 20, 28, 8, 9]",5,3,"[2, 4, 26]",78.86165724,28745,540,3,0,6,1.0747034022913178
undo,1,28,0,0,1,2,"[0, 20, 28, 8, 9, 2]",6,0,[],24.04377695,29966,1221,1,0,6,1.375233175447041
undo,1,28,1,0,0,9,"[0, 20, 28, 8, 9]",5,3,"[2, 4, 26]",78.86165724,32613,2647,3,0,6,1.0747034022913178
undo,1,28,1,0,0,8,"[0, 20, 28, 8]",4,6,"[2, 4, 5, 9, 26, 29]",93.99440319,32795,182,6,4,6,1.021470705651404
undo,1,28,1,0,0,28,"[0, 20, 28]",3,8,"[2, 4, 5, 8, 9, 19, 26, 29]",111.798897,32946,151,11,15,6,1.0188673683341003
undo,1,28,1,0,0,20,"[0, 20]",2,22,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 26, 28, 29]",245.9629757,33096,150,1,24,9,1.0
undo,1,28,1,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,33229,133,2,96,9,0.0
undo,1,28,0,0,0,14,"[0, 14]",2,14,"[1, 2, 3, 5, 7, 10, 11, 12, 13, 17, 18, 19, 20, 26]",147.8914861,35633,2404,1,26,8,1.0
undo,1,28,0,0,0,18,"[0, 14, 18]",3,11,"[1, 2, 3, 5, 7, 11, 12, 13, 17, 19, 26]",122.3963885,36399,766,1,23,8,1.0675599824559303
undo,1,28,0,0,0,13,"[0, 14, 18, 13]",4,7,"[2, 7, 11, 12, 17, 19, 26]",97.9832773,38435,2036,1,9,8,1.0602397944415018
undo,1,28,0,0,0,12,"[0, 14, 18, 13, 12]",5,4,"[2, 7, 17, 19]",80.77862677,39016,581,1,3,8,1.0640685934245377
undo,1,28,0,0,0,7,"[0, 14, 18, 13, 12, 7]",6,2,"[2, 19]",67.62568033,39550,534,1,1,8,1.186262804928269
undo,1,28,0,0,0,19,"[0, 14, 18, 13, 12, 7, 19]",7,1,[2],39.89483108,40692,1142,1,0,8,1.424576333867947
undo,1,28,0,0,1,2,"[0, 14, 18, 13, 12, 7, 19, 2]",8,0,[],2.531747699,41993,1301,1,0,8,1.4824387893309579
undo,1,28,0,1,1,2,"[0, 14, 18, 13, 12, 7, 19, 2]",8,0,[],2.531747699,43762,1769,1,0,8,1.4824387893309579
undo,2,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,128,-1,5,41,8,0.0
undo,2,30,0,0,0,25,"[0, 25]",2,12,"[3, 5, 7, 9, 11, 16, 18, 19, 20, 24, 27, 29]",121.1005869,4064,3936,7,37,7,1.0
undo,2,30,0,0,0,20,"[0, 25, 20]",3,9,"[3, 5, 7, 9, 11, 18, 19, 27, 29]",99.16887472,4766,702,5,16,7,1.0037291321296267
undo,2,30,0,0,0,27,"[0, 25, 20, 27]",4,4,"[3, 5, 18, 29]",65.11010199,5365,599,4,6,7,1.1217072851053165
undo,2,30,0,0,0,3,"[0, 25, 20, 27, 3]",5,3,"[5, 18, 29]",46.00512882,6066,701,4,0,7,1.1140018780928678
undo,2,30,0,0,0,29,"[0, 25, 20, 27, 3, 29]",6,1,[18],27.40405358,10165,4099,1,0,7,1.119672312555708
undo,2,30,0,0,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,11064,899,1,0,7,1.1951451398733344
undo,2,30,0,1,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,15212,4148,1,0,7,1.1951451398733344
undo,3,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,34,427,10,0.0
undo,3,3,0,0,0,17,"[0, 17]",2,16,"[3, 4, 7, 8, 10, 12, 14, 15, 16, 19, 20, 21, 22, 24, 26, 27]",197.6965299,7120,6957,2,27,9,1.0
undo,3,3,0,0,0,20,"[0, 17, 20]",3,13,"[3, 4, 7, 8, 10, 14, 15, 16, 19, 21, 22, 24, 27]",185.0474192,8011,891,2,24,9,1.0153332121237257
undo,3,3,0,0,0,3,"[0, 17, 20, 3]",4,10,"[4, 7, 8, 10, 14, 15, 16, 19, 21, 24]",164.6513412,9477,1466,2,22,9,1.0819240770773468
undo,3,3,0,0,0,19,"[0, 17, 20, 3, 19]",5,6,"[4, 8, 10, 14, 21, 24]",127.3150318,10326,849,2,11,9,1.1701070532957258
undo,3,3,0,0,0,21,"[0, 17, 20, 3, 19, 21]",6,5,"[4, 8, 10, 14, 24]",115.1084762,10967,641,2,6,9,1.202395500952127
undo,3,3,0,0,0,14,"[0, 17, 20, 3, 19, 21, 14]",7,4,"[4, 8, 10, 24]",88.20122806,11783,816,2,2,9,1.6456130302761207
undo,3,3,0,0,0,24,"[0, 17, 20, 3, 19, 21, 14, 24]",8,1,[8],17.08864127,14545,2762,1,0,9,4.806859660680286
undo,3,3,0,0,1,8,"[0, 17, 20, 3, 19, 21, 14, 24, 8]",9,0,[],4.923116212,15684,1139,1,0,9,4.915218144486606
undo,3,3,0,1,1,8,"[0, 17, 20, 3, 19, 21, 14, 24, 8]",9,0,[],4.923116212,17514,1830,1,0,9,4.915218144486606
undo,4,15,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,129,-1,4,65,9,0.0
undo,4,15,0,0,0,12,"[0, 12]",2,22,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 23, 24, 26, 27, 28, 29]",213.547701,3542,3413,4,35,9,1.0
undo,4,15,0,0,0,7,"[0, 12, 7]",3,16,"[1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 24, 27]",180.3061607,4476,934,4,29,9,1.411291635294361
undo,4,15,0,0,0,11,"[0, 12, 7, 11]",4,9,"[3, 4, 13, 14, 15, 16, 21, 22, 27]",138.8212237,5629,1153,2,12,9,1.2980572092387541
