condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,114,-1,2,32,9,0.0
basic,0,12,0,0,0,16,"[0, 16]",2,16,"[2, 4, 5, 6, 7, 12, 13, 14, 18, 19, 22, 23, 24, 25, 27, 29]",209.2916762,2459,2345,3,38,8,1.0
basic,0,12,0,0,0,4,"[0, 16, 4]",3,11,"[2, 5, 6, 7, 12, 14, 19, 22, 24, 25, 27]",175.0864135,3249,790,1,16,8,1.00004499617691
basic,0,12,0,0,0,12,"[0, 16, 4, 12]",4,6,"[14, 19, 22, 24, 25, 27]",132.8963673,3961,712,1,8,8,1.0113942412768022
basic,0,12,0,0,0,27,"[0, 16, 4, 12, 27]",5,4,"[14, 19, 22, 24]",108.5447759,4793,832,1,3,8,1.1193150037844588
basic,0,12,0,1,0,27,"[0, 16, 4, 12, 27]",5,4,"[14, 19, 22, 24]",108.5447759,6414,1621,1,3,8,1.1193150037844588
basic,1,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,132,-1,6,168,10,0.0
basic,1,37,0,0,0,18,"[0, 18]",2,19,"[1, 2, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 26, 28, 29]",202.4090168,4874,4742,6,89,10,1.0
basic,1,37,0,0,0,2,"[0, 18, 2]",3,10,"[1, 4, 7, 15, 19, 20, 21, 22, 26, 29]",143.7148944,5827,953,14,82,9,1.0338225020126353
basic,1,37,0,0,0,4,"[0, 18, 2, 4]",4,8,"[1, 7, 15, 19, 20, 21, 22, 26]",132.3131402,6531,704,10,40,9,1.0317091538961647
basic,1,37,0,0,0,1,"[0, 18, 2, 4, 1]",5,7,"[7, 15, 19, 20, 21, 22, 26]",114.593095,7063,532,9,20,9,1.1710947925054036
basic,1,37,0,1,0,1,"[0, 18, 2, 4, 1]",5,7,"[7, 15, 19, 20, 21, 22, 26]",114.593095,11215,4152,9,20,9,1.1710947925054036
