condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,209,-1,4,489,10,0.0
basic,0,4,0,0,0,28,"[0, 28]",2,21,"[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.9392142,4680,4471,2,216,10,1.0
basic,0,4,0,0,0,14,"[0, 28, 14]",3,13,"[3, 4, 5, 6, 11, 13, 16, 17, 20, 21, 22, 24, 25]",159.6972335,6117,1437,1,26,10,1.0273973946789214
basic,0,4,0,0,0,25,"[0, 28, 14, 25]",4,12,"[3, 4, 5, 6, 11, 13, 16, 17, 20, 21, 22, 24]",143.572718,7169,1052,1,25,10,1.233547772313525
basic,0,4,0,0,0,11,"[0, 28, 14, 25, 11]",5,10,"[3, 4, 5, 6, 13, 16, 17, 20, 21, 22]",124.7844238,8106,937,1,15,10,1.425978575879479
basic,0,4,0,0,0,16,"[0, 28, 14, 25, 11, 16]",6,9,"[3, 4, 5, 6, 13, 17, 20, 21, 22]",109.7844238,9562,1456,1,12,10,1.3799325158051412
basic,0,4,0,0,0,17,"[0, 28, 14, 25, 11, 16, 17]",7,5,"[3, 5, 20, 21, 22]",83.70761416,11162,1600,1,5,10,1.3195184878861832
basic,0,4,0,0,0,21,"[0, 28, 14, 25, 11, 16, 17, 21]",8,1,[22],34.45317274,12521,1359,1,0,9,1.7966566629354186
basic,0,4,0,0,1,22,"[0, 28, 14, 25, 11, 16, 17, 21, 22]",9,0,[],23.40781172,13711,1190,1,0,9,1.7433011729935863
basic,0,4,0,1,1,22,"[0, 28, 14, 25, 11, 16, 17, 21, 22]",9,0,[],23.40781172,17246,3535,1,0,9,1.7433011729935863
basic,1,44,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,252,-1,13,126,7,0.0
basic,1,44,0,0,0,8,"[0, 8]",2,17,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 20, 21, 23, 24, 25, 27]",145.7923478,13536,13284,1,10,7,1.0
basic,1,44,0,0,0,20,"[0, 8, 20]",3,16,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23, 24, 25, 27]",133.7093018,14428,892,1,9,7,1.0890794433668698
basic,1,44,0,0,0,9,"[0, 8, 20, 9]",4,7,"[4, 7, 11, 12, 14, 23, 24]",76.43801756,17585,3157,1,6,7,1.40892325509949
basic,1,44,0,0,0,4,"[0, 8, 20, 9, 4]",5,4,"[7, 12, 23, 24]",56.74030196,18974,1389,1,3,7,1.3849770570803555
basic,1,44,0,0,0,7,"[0, 8, 20, 9, 4, 7]",6,1,[23],25.72417712,23401,4427,1,0,7,1.3274380931474288
basic,1,44,0,0,1,23,"[0, 8, 20, 9, 4, 7, 23]",7,0,[],6.619203947,24487,1086,1,0,7,1.3395824779823196
basic,1,44,0,1,1,23,"[0, 8, 20, 9, 4, 7, 23]",7,0,[],6.619203947,25874,1387,1,0,7,1.3395824779823196
basic,2,38,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,209,-1,33,506,9,0.0
basic,2,38,0,0,0,4,"[0, 4]",2,26,"[1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",229.8858074,13007,12798,34,378,8,1.0
basic,2,38,0,0,0,15,"[0, 4, 15]",3,20,"[1, 3, 5, 7, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 24, 25, 26, 27, 28]",203.8858074,16319,3312,18,123,8,1.3098905120776736
basic,2,38,0,0,0,16,"[0, 4, 15, 16]",4,12,"[5, 10, 11, 12, 13, 14, 17, 19, 20, 24, 26, 28]",162.2685033,17682,1363,5,28,8,1.2587802282961036
basic,2,38,0,0,0,28,"[0, 4, 15, 16, 28]",5,10,"[5, 10, 11, 12, 13, 14, 17, 20, 24, 26]",133.2685033,18623,941,3,12,8,1.561241201606665
basic,2,38,0,0,0,14,"[0, 4, 15, 16, 28, 14]",6,2,"[10, 12]",77.82483823,19757,1134,1,1,8,1.4345828796800386
basic,2,38,0,0,0,12,"[0, 4, 15, 16, 28, 14, 12]",7,1,[10],63.06001517,20918,1161,1,0,8,1.3969342747509215
basic,2,38,0,0,1,10,"[0, 4, 15, 16, 28, 14, 12, 10]",8,0,[],14.55228383,22466,1548,1,0,8,1.8161132764985657
basic,2,38,0,1,1,10,"[0, 4, 15, 16, 28, 14, 12, 10]",8,0,[],14.55228383,23708,1242,1,0,8,1.8161132764985657
basic,3,0,0,0,0,0,[0],1,27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,216,-1,104,1136,9,0.0
basic,3,0,0,0,0,28,"[0, 28]",2,26,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",194.9190788,3735,3519,39,388,9,1.0
basic,3,0,0,0,0,5,"[0, 28, 5]",3,21,"[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 29]",151.2613189,5050,1315,27,210,9,1.0978295127671733
basic,3,0,0,0,0,4,"[0, 28, 5, 4]",4,16,"[3, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 23, 24, 26]",126.1814465,6842,1792,17,114,9,1.1103727063761901
basic,3,0,0,0,0,24,"[0, 28, 5, 4, 24]",5,12,"[3, 7, 8, 9, 11, 12, 15, 17, 19, 20, 23, 26]",114.7796922,7840,998,10,46,9,1.1102188371994124
basic,3,0,0,0,0,15,"[0, 28, 5, 4, 24, 15]",6,9,"[3, 7, 8, 9, 11, 12, 17, 19, 26]",91.43445718,9419,1579,6,13,9,1.1033515194628531
basic,3,0,0,0,0,7,"[0, 28, 5, 4, 24, 15, 7]",7,5,"[3, 8, 17, 19, 26]",60.37000804,11389,1970,5,3,9,1.1688711639523348
basic,3,0,0,0,0,3,"[0, 28, 5, 4, 24, 15, 7, 3]",8,3,"[8, 17, 19]",36.28681888,13974,2585,3,0,9,1.216612353520435
basic,3,0,0,0,1,19,"[0, 28, 5, 4, 24, 15, 7, 3, 19]",9,0,[],4.037787892,15365,1391,1,0,9,1.1922238310060893
basic,3,0,0,1,1,19,"[0, 28, 5, 4, 24, 15, 7, 3, 19]",9,0,[],4.037787892,16635,1270,1,0,9,1.1922238310060893
basic,4,29,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,263,-1,1,78,9,0.0
basic,4,29,0,0,0,6,"[0, 6]",2,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",228.4108947,5279,5016,1,25,9,1.0
basic,4,29,0,0,0,28,"[0, 6, 28]",3,24,"[1, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29]",187.1798384,6299,1020,1,22,9,1.162106788166845
basic,4,29,0,0,0,27,"[0, 6, 28, 27]",4,19,"[1, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 25, 26, 29]",166.6615539,7490,1191,1,21,9,1.2307173895439045
basic,4,29,0,0,0,22,"[0, 6, 28, 27, 22]",5,13,"[1, 3, 4, 5, 7, 9, 12, 13, 14, 15, 21, 26, 29]",133.4200136,8736,1246,1,19,9,1.4241767805149903
basic,4,29,0,0,0,12,"[0, 6, 28, 27, 22, 12]",6,8,"[4, 5, 7, 9, 13, 14, 21, 26]",95.4726817,9986,1250,1,6,9,1.3248355326460857
basic,4,29,0,0,0,7,"[0, 6, 28, 27, 22, 12, 7]",7,4,"[4, 5, 9, 21]",81.87121119,10983,997,1,3,9,1.3264091962339806
basic,4,29,0,0,0,9,"[0, 6, 28, 27, 22, 12, 7, 9]",8,1,[4],52.80232748,14095,3112,1,0,9,1.309391257644539
basic,4,29,0,0,1,4,"[0, 6, 28, 27, 22, 12, 7, 9, 4]",9,0,[],11.76575843,15333,1238,1,0,9,1.6396807789841599
basic,4,29,0,1,1,4,"[0, 6, 28, 27, 22, 12, 7, 9, 4]",9,0,[],11.76575843,16625,1292,1,0,9,1.6396807789841599
basic,5,27,0,0,0,0,[0],1,26,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,271,-1,13,578,11,0.0
basic,5,27,0,0,0,15,"[0, 15]",2,24,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29]",263.7508621,2763,2492,6,219,11,1.0
basic,5,27,0,0,0,24,"[0, 15, 24]",3,20,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26, 27, 29]",246.5462115,4082,1319,6,130,11,1.130933077698322
basic,5,27,0,0,0,17,"[0, 15, 24, 17]",4,15,"[1, 6, 8, 10, 12, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",229.9932662,4918,836,4,60,11,1.1285538435963374
basic,5,27,0,0,0,12,"[0, 15, 24, 17, 12]",5,14,"[1, 6, 8, 10, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",218.8129263,5766,848,2,32,11,1.2561880288755216
basic,5,27,0,0,0,10,"[0, 15, 24, 17, 12, 10]",6,11,"[1, 8, 13, 14, 18, 19, 23, 25, 26, 27, 29]",207.7675653,6650,884,2,28,11,1.2228289337766665
basic,5,27,0,0,0,13,"[0, 15, 24, 17, 12, 10, 13]",7,9,"[1, 8, 14, 18, 19, 23, 26, 27, 29]",167.9178476,7793,1143,2,18,11,1.3421291994761178
basic,5,27,0,0,0,19,"[0, 15, 24, 17, 12, 10, 13, 19]",8,5,"[1, 8, 14, 23, 29]",131.6825057,8886,1093,2,6,11,1.294749956153846
basic,5,27,0,0,0,8,"[0, 15, 24, 17, 12, 10, 13, 19, 8]",9,3,"[14, 23, 29]",116.816437,10229,1343,2,1,11,1.3554286578836865
basic,5,27,0,0,0,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 14]",10,1,[29],59.25777126,14445,4216,1,0,11,1.312380420632942
basic,5,27,0,0,1,29,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 14, 29]",11,0,[],14.96330208,15628,1183,1,0,11,1.4680136813839417
basic,5,27,0,1,1,29,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 14, 29]",11,0,[],14.96330208,17097,1469,1,0,11,1.4680136813839417
basic,6,17,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29]",300,224,-1,2,73,8,0.0
basic,6,17,0,0,0,5,"[0, 5]",2,8,"[3, 4, 10, 11, 13, 19, 22, 28]",120.3726079,4705,4481,6,13,5,1.0
basic,6,17,0,0,0,28,"[0, 5, 28]",3,7,"[3, 4, 10, 11, 13, 19, 22]",81.88884507,6170,1465,4,5,5,1.0509824968615056
basic,6,17,0,0,0,3,"[0, 5, 28, 3]",4,2,"[10, 11]",47.88884507,9693,3523,2,0,5,1.3308698504110508
basic,6,17,0,0,1,11,"[0, 5, 28, 3, 11]",5,0,[],21.71634041,11068,1375,1,0,5,1.3720045835979493
basic,6,17,0,1,1,11,"[0, 5, 28, 3, 11]",5,0,[],21.71634041,12732,1664,1,0,5,1.3720045835979493
basic,7,24,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,258,-1,4,76,10,0.0
basic,7,24,0,0,0,16,"[0, 16]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",210.3562607,5095,4837,13,110,9,1.0
basic,7,24,0,0,0,22,"[0, 16, 22]",3,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",192.3285043,6300,1205,7,54,9,1.0217425143037777
basic,7,24,0,0,0,15,"[0, 16, 22, 15]",4,24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29]",171.1153009,7555,1255,3,24,9,1.077448994301009
basic,7,24,0,0,0,28,"[0, 16, 22, 15, 28]",5,12,"[3, 4, 6, 8, 9, 11, 13, 21, 23, 25, 26, 27]",125.8383752,8491,936,2,10,9,1.0579370080485104
basic,7,24,0,0,0,23,"[0, 16, 22, 15, 28, 23]",6,7,"[3, 4, 8, 9, 11, 13, 27]",106.8120776,9761,1270,2,4,9,1.0965087965469686
basic,7,24,0,0,0,11,"[0, 16, 22, 15, 28, 23, 11]",7,2,"[9, 27]",79.88625355,12246,2485,2,0,9,1.0958394317987046
basic,7,24,0,0,0,27,"[0, 16, 22, 15, 28, 23, 11, 27]",8,1,[9],52.083376,14597,2351,1,0,9,1.085465547106356
basic,7,24,0,0,1,9,"[0, 16, 22, 15, 28, 23, 11, 27, 9]",9,0,[],12.52329511,16519,1922,1,0,9,1.3543056893413161
basic,7,24,0,1,1,9,"[0, 16, 22, 15, 28, 23, 11, 27, 9]",9,0,[],12.52329511,17864,1345,1,0,9,1.3543056893413161
basic,8,32,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,198,-1,17,359,10,0.0
basic,8,32,0,0,0,19,"[0, 19]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",283.5075775,11386,11188,16,294,10,1.0
basic,8,32,0,0,0,15,"[0, 19, 15]",3,21,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 22, 23, 24, 25, 26, 27, 28]",197.7987681,12734,1348,2,52,10,1.19699508325577
basic,8,32,0,0,0,28,"[0, 19, 15, 28]",4,19,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 20, 22, 23, 24, 25, 26, 27]",186.3970139,14019,1285,2,41,10,1.1739755297768444
basic,8,32,0,0,0,12,"[0, 19, 15, 28, 12]",5,17,"[2, 3, 5, 7, 8, 9, 10, 11, 13, 16, 17, 20, 22, 23, 24, 26, 27]",167.4233479,16151,2132,2,25,10,1.177540715424265
basic,8,32,0,0,0,16,"[0, 19, 15, 28, 12, 16]",6,16,"[2, 3, 5, 7, 8, 9, 10, 11, 13, 17, 20, 22, 23, 24, 26, 27]",151.7708721,17976,1825,2,17,10,1.2623133279216439
