condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,23,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,144,-1,76,2626,10,0.0
undo,0,23,0,0,0,22,"[0, 22]",2,24,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 25, 26, 27, 29]",210.5013967,6560,6416,15,1362,10,1.0
undo,0,23,0,0,0,13,"[0, 22, 13]",3,14,"[1, 2, 5, 6, 7, 8, 9, 10, 12, 14, 18, 21, 27, 29]",168.3113504,7642,1082,14,522,10,1.1898173563652046
undo,0,23,0,0,0,12,"[0, 22, 13, 12]",4,11,"[1, 2, 6, 7, 9, 10, 14, 18, 21, 27, 29]",156.2283045,8541,899,12,166,10,1.1727968780218219
undo,0,23,0,0,0,2,"[0, 22, 13, 12, 2]",5,9,"[1, 6, 7, 9, 10, 14, 18, 27, 29]",142.3358605,9426,885,4,38,10,1.1553975034701014
undo,0,23,0,0,0,9,"[0, 22, 13, 12, 2, 9]",6,7,"[6, 7, 10, 14, 18, 27, 29]",129.2974557,10098,672,1,12,10,1.3065798464766785
undo,0,23,0,0,0,14,"[0, 22, 13, 12, 2, 9, 14]",7,6,"[6, 7, 10, 18, 27, 29]",118.8571492,10935,837,1,6,10,1.2857038452263323
undo,0,23,0,0,0,29,"[0, 22, 13, 12, 2, 9, 14, 29]",8,2,"[7, 10]",71.42298425,16667,5732,1,1,10,1.4822676597092734
undo,0,23,0,0,0,7,"[0, 22, 13, 12, 2, 9, 14, 29, 7]",9,1,[10],47.3397951,17735,1068,1,0,10,1.5022275496758202
undo,0,23,0,0,1,10,"[0, 22, 13, 12, 2, 9, 14, 29, 7, 10]",10,0,[],19.88073466,18988,1253,1,0,10,1.46560906518872
undo,0,23,0,1,1,10,"[0, 22, 13, 12, 2, 9, 14, 29, 7, 10]",10,0,[],19.88073466,20279,1291,1,0,10,1.46560906518872
undo,1,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,9,226,9,0.0
undo,1,26,0,0,0,21,"[0, 21]",2,25,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29]",211.1349337,4394,4231,7,90,9,1.0
undo,1,26,0,0,0,16,"[0, 21, 16]",3,12,"[4, 5, 6, 10, 11, 12, 13, 14, 17, 23, 26, 29]",151.2266705,5491,1097,1,34,9,1.3289691188319968
undo,1,26,0,0,0,29,"[0, 21, 16, 29]",4,8,"[4, 5, 6, 10, 13, 14, 17, 23]",127.0192337,6217,726,1,28,9,1.4156891800947415
undo,1,26,0,0,0,4,"[0, 21, 16, 29, 4]",5,5,"[6, 10, 14, 17, 23]",103.0192337,7149,932,1,12,9,1.6252228687746915
undo,1,26,0,0,0,17,"[0, 21, 16, 29, 4, 17]",6,3,"[6, 10, 14]",81.92421056,8511,1362,1,4,9,1.534793846471065
undo,1,26,0,0,0,14,"[0, 21, 16, 29, 4, 17, 14]",7,2,"[6, 10]",59.45200551,9903,1392,1,1,9,1.4926767408397108
undo,1,26,0,0,0,6,"[0, 21, 16, 29, 4, 17, 14, 6]",8,1,[10],38.42820947,10904,1001,1,0,9,1.6286010900012204
undo,1,26,0,0,1,10,"[0, 21, 16, 29, 4, 17, 14, 6, 10]",9,0,[],9.153647129,12050,1146,1,0,9,1.797369356615424
undo,1,26,0,1,1,10,"[0, 21, 16, 29, 4, 17, 14, 6, 10]",9,0,[],9.153647129,12896,846,1,0,9,1.797369356615424
undo,2,8,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,147,-1,10,149,9,0.0
undo,2,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,1977,1830,10,100,9,1.0
undo,2,8,0,0,0,14,"[0, 5, 14]",3,20,"[1, 2, 3, 4, 6, 7, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",214.5512559,2811,834,4,36,9,1.0001019035932595
undo,2,8,0,0,0,17,"[0, 5, 14, 17]",4,15,"[1, 4, 6, 7, 11, 15, 16, 18, 19, 20, 22, 23, 24, 25, 28]",177.5377449,3613,802,4,16,9,1.121197267659591
undo,2,8,0,0,0,11,"[0, 5, 14, 17, 11]",5,11,"[1, 4, 15, 16, 18, 19, 22, 23, 24, 25, 28]",152.3583883,4402,789,4,8,9,1.1277254166016362
undo,2,8,0,0,0,24,"[0, 5, 14, 17, 11, 24]",6,3,"[15, 16, 28]",115.1428001,5405,1003,2,2,9,1.1227411011978805
