condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,6,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,174,-1,180,4304,10,0.0
basic,0,6,0,0,0,1,"[0, 1]",2,23,"[2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29]",250.6644145,19234,19060,7,266,10,1.0
basic,0,6,0,0,0,13,"[0, 1, 13]",3,22,"[2, 3, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29]",233.6350281,20088,854,7,257,10,2.0046272874013185
basic,0,6,0,0,0,3,"[0, 1, 13, 3]",4,20,"[2, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29]",171.5061298,21155,1067,5,146,10,3.8326508251916236
basic,0,6,0,0,0,10,"[0, 1, 13, 3, 10]",5,11,"[2, 6, 7, 16, 17, 18, 22, 23, 24, 26, 29]",120.2616179,23616,2461,1,17,10,2.131002198093053
basic,0,6,0,0,0,24,"[0, 1, 13, 3, 10, 24]",6,10,"[2, 6, 7, 16, 17, 18, 22, 23, 26, 29]",106.8452101,24583,967,1,9,10,1.9852821248597579
basic,0,6,0,0,0,17,"[0, 1, 13, 3, 10, 24, 17]",7,5,"[7, 16, 18, 23, 29]",77.57064773,25700,1117,1,4,10,3.1516198437120573
basic,0,6,0,0,0,18,"[0, 1, 13, 3, 10, 24, 17, 18]",8,3,"[7, 16, 29]",63.64225945,26504,804,1,2,10,3.880980074770548
basic,0,6,0,0,0,16,"[0, 1, 13, 3, 10, 24, 17, 18, 16]",9,1,[29],40.29702439,27723,1219,1,0,10,3.5979743592159577
basic,0,6,0,0,1,29,"[0, 1, 13, 3, 10, 24, 17, 18, 16, 29]",10,0,[],3.609151736,28999,1276,1,0,10,2.7827979885640883
basic,0,6,0,1,1,29,"[0, 1, 13, 3, 10, 24, 17, 18, 16, 29]",10,0,[],3.609151736,31158,2159,1,0,10,2.7827979885640883
basic,1,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,162,-1,6,74,7,0.0
basic,1,1,0,0,0,14,"[0, 14]",2,19,"[1, 4, 5, 8, 9, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",200.1901808,5955,5793,5,42,7,1.0
basic,1,1,0,0,0,17,"[0, 14, 17]",3,15,"[1, 4, 5, 8, 9, 13, 15, 18, 19, 20, 22, 23, 25, 28, 29]",147.8356204,6791,836,5,27,7,1.0028844724416826
basic,1,1,0,0,0,1,"[0, 14, 17, 1]",4,12,"[4, 5, 8, 9, 15, 18, 20, 22, 23, 25, 28, 29]",123.4840291,7640,849,5,15,7,1.0264985578353567
basic,1,1,0,0,0,28,"[0, 14, 17, 1, 28]",5,5,"[9, 15, 22, 23, 29]",88.59850198,8388,748,5,3,7,1.0339861575999345
basic,1,1,0,0,0,23,"[0, 14, 17, 1, 28, 23]",6,2,"[15, 22]",51.70676849,9906,1518,2,0,7,1.0327458250705703
basic,1,1,0,0,1,15,"[0, 14, 17, 1, 28, 23, 15]",7,0,[],20.81987807,11027,1121,1,0,7,1.1948681641401226
basic,1,1,0,1,1,15,"[0, 14, 17, 1, 28, 23, 15]",7,0,[],20.81987807,12180,1153,1,0,7,1.1948681641401226
basic,2,31,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,195,-1,2,87,10,0.0
basic,2,31,0,0,0,14,"[0, 14]",2,25,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.861378,4383,4188,2,59,10,1.0
basic,2,31,0,0,0,27,"[0, 14, 27]",3,22,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",235.6833724,5265,882,1,39,10,1.5881859159302467
basic,2,31,0,0,0,8,"[0, 14, 27, 8]",4,20,"[1, 3, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",224.6380114,5839,574,1,36,10,2.1665048452331277
basic,2,31,0,0,0,18,"[0, 14, 27, 8, 18]",5,15,"[1, 5, 6, 7, 11, 12, 13, 16, 17, 19, 20, 22, 25, 28, 29]",188.7911147,7103,1264,1,26,10,1.7273375741920205
basic,2,31,0,0,0,17,"[0, 14, 27, 8, 18, 17]",6,13,"[1, 5, 6, 7, 11, 12, 13, 16, 19, 20, 22, 25, 28]",159.584951,7905,802,1,13,10,1.551192427769927
basic,2,31,0,0,0,11,"[0, 14, 27, 8, 18, 17, 11]",7,7,"[5, 12, 16, 19, 22, 25, 28]",118.4753414,8886,981,1,4,10,2.9650760544203494
basic,2,31,0,0,0,5,"[0, 14, 27, 8, 18, 17, 11, 5]",8,2,"[16, 28]",74.79468207,9828,942,1,1,10,2.56711965625205
basic,2,31,0,0,0,28,"[0, 14, 27, 8, 18, 17, 11, 5, 28]",9,1,[16],54.57093365,10809,981,1,0,10,2.2865510762058148
basic,2,31,0,0,1,16,"[0, 14, 27, 8, 18, 17, 11, 5, 28, 16]",10,0,[],20.95546102,11854,1045,1,0,10,2.089356850786318
basic,2,31,0,1,1,16,"[0, 14, 27, 8, 18, 17, 11, 5, 28, 16]",10,0,[],20.95546102,13351,1497,1,0,10,2.089356850786318
basic,3,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,193,-1,31,704,9,0.0
basic,3,22,0,0,0,16,"[0, 16]",2,21,"[1, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",218.605897,5474,5281,17,147,9,1.0
