condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,127,-1,6,168,10,0.0
undo,0,37,0,0,0,18,"[0, 18]",2,19,"[1, 2, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 26, 28, 29]",202.4090168,7550,7423,6,89,10,1.0
undo,0,37,0,0,0,7,"[0, 18, 7]",3,12,"[1, 2, 4, 9, 15, 17, 19, 20, 21, 22, 26, 29]",175.2428614,9202,1652,6,53,10,1.0413073512834488
undo,0,37,0,0,0,22,"[0, 18, 7, 22]",4,8,"[1, 2, 4, 15, 19, 20, 21, 26]",125.2428614,10326,1124,6,29,10,1.0730792320325544
undo,0,37,0,0,0,4,"[0, 18, 7, 22, 4]",5,7,"[1, 2, 15, 19, 20, 21, 26]",100.2428614,11471,1145,4,16,10,1.2290245562206235
undo,0,37,0,0,0,2,"[0, 18, 7, 22, 4, 2]",6,5,"[1, 15, 19, 20, 21]",88.84110714,12557,1086,4,7,10,1.3968113858365216
undo,0,37,0,0,0,1,"[0, 18, 7, 22, 4, 2, 1]",7,4,"[15, 19, 20, 21]",71.63645661,13785,1228,4,3,10,1.4424239294761476
undo,0,37,0,0,0,15,"[0, 18, 7, 22, 4, 2, 1, 15]",8,2,"[20, 21]",31.67397421,15727,1942,2,0,10,1.612564167414217
undo,0,37,0,0,0,20,"[0, 18, 7, 22, 4, 2, 1, 15, 20]",9,1,[21],14.67397421,19068,3341,1,0,10,1.9034852470814607
undo,0,37,0,0,1,21,"[0, 18, 7, 22, 4, 2, 1, 15, 20, 21]",10,0,[],0.251769103,19884,816,1,0,10,1.9314492588202221
undo,0,37,0,1,1,21,"[0, 18, 7, 22, 4, 2, 1, 15, 20, 21]",10,0,[],0.251769103,21777,1893,1,0,10,1.9314492588202221
undo,1,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,113,-1,2,32,9,0.0
undo,1,12,0,0,0,22,"[0, 22]",2,22,"[2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 27, 28, 29]",211.9943184,10321,10208,6,42,8,1.0
undo,1,12,0,0,0,16,"[0, 22, 16]",3,12,"[2, 4, 5, 6, 7, 12, 14, 19, 23, 24, 25, 27]",190.9943184,11091,770,6,24,8,1.2017164145167045
undo,1,12,0,0,0,4,"[0, 22, 16, 4]",4,9,"[2, 6, 7, 12, 14, 19, 24, 25, 27]",156.7890556,12537,1446,6,14,8,1.146531713305579
undo,1,12,0,0,0,12,"[0, 22, 16, 4, 12]",5,4,"[14, 19, 24, 27]",114.5990094,14189,1652,4,3,8,1.1221389456954312
undo,1,12,0,0,0,27,"[0, 22, 16, 4, 12, 27]",6,3,"[14, 19, 24]",90.24741807,15207,1018,2,1,8,1.2262878338287035
undo,1,12,0,0,0,14,"[0, 22, 16, 4, 12, 27, 14]",7,1,[24],61.59432051,16372,1165,1,0,8,1.2804562106751427
undo,1,12,0,0,1,24,"[0, 22, 16, 4, 12, 27, 14, 24]",8,0,[],44.38966997,17537,1165,1,0,8,1.4322660007679802
undo,1,12,1,0,0,14,"[0, 22, 16, 4, 12, 27, 14]",7,1,[24],61.59432051,20913,3376,1,0,8,1.2804562106751427
undo,1,12,1,0,0,27,"[0, 22, 16, 4, 12, 27]",6,3,"[14, 19, 24]",90.24741807,27464,6551,2,1,8,1.2262878338287035
undo,1,12,1,0,0,12,"[0, 22, 16, 4, 12]",5,4,"[14, 19, 24, 27]",114.5990094,36497,9033,4,3,8,1.1221389456954312
undo,1,12,1,0,0,4,"[0, 22, 16, 4]",4,9,"[2, 6, 7, 12, 14, 19, 24, 25, 27]",156.7890556,36697,200,6,14,8,1.146531713305579
undo,1,12,1,0,0,16,"[0, 22, 16]",3,12,"[2, 4, 5, 6, 7, 12, 14, 19, 23, 24, 25, 27]",190.9943184,36897,200,6,24,8,1.2017164145167045
undo,1,12,1,0,0,22,"[0, 22]",2,22,"[2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 27, 28, 29]",211.9943184,37164,267,6,42,8,1.0
undo,1,12,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,37530,366,2,32,9,0.0
undo,1,12,0,0,0,6,"[0, 6]",2,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",283.5987805,41455,3925,2,18,9,1.0
undo,1,12,0,0,0,18,"[0, 6, 18]",3,10,"[1, 2, 3, 5, 7, 9, 11, 15, 17, 21]",144.5088815,43036,1581,6,15,7,1.0360320431021144
undo,1,12,0,0,0,21,"[0, 6, 18, 21]",4,7,"[1, 3, 5, 9, 11, 15, 17]",128.230061,44363,1327,4,5,7,1.049996564847597
undo,1,12,0,0,0,15,"[0, 6, 18, 21, 15]",5,3,"[1, 11, 17]",73.1573817,45470,1107,4,0,7,1.2004943839605104
undo,1,12,0,0,0,17,"[0, 6, 18, 21, 15, 17]",6,2,"[1, 11]",56.6649592,46407,937,2,0,7,1.2468231791823723
undo,1,12,0,0,1,1,"[0, 6, 18, 21, 15, 17, 1]",7,0,[],7.501964983,48971,2564,1,0,7,1.2037669701163007
undo,1,12,0,1,1,1,"[0, 6, 18, 21, 15, 17, 1]",7,0,[],7.501964983,51230,2259,1,0,7,1.2037669701163007
undo,2,6,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,116,-1,180,4304,10,0.0
undo,2,6,0,0,0,3,"[0, 3]",2,28,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",266.4738908,12146,12030,90,1607,10,1.0
undo,2,6,0,0,0,18,"[0, 3, 18]",3,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",237.4738908,13315,1169,34,516,10,1.0266750028725786
undo,2,6,0,0,0,17,"[0, 3, 18, 17]",4,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",223.5455025,14197,882,17,243,10,1.0832900829093166
undo,2,6,0,0,0,10,"[0, 3, 18, 17, 10]",5,22,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]",203.8224196,15187,990,10,111,10,1.140294203414171
undo,2,6,0,0,0,24,"[0, 3, 18, 17, 10, 24]",6,19,"[1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 16, 20, 21, 22, 23, 26, 27, 28, 29]",190.4060117,16212,1025,10,80,10,1.1264281153820843
undo,2,6,0,0,0,16,"[0, 3, 18, 17, 10, 24, 16]",7,13,"[1, 2, 6, 7, 13, 14, 20, 21, 22, 23, 26, 27, 29]",134.3703088,18674,2462,6,21,10,2.2946652061367843
undo,2,6,0,0,0,29,"[0, 3, 18, 17, 10, 24, 16, 29]",8,7,"[6, 14, 20, 21, 22, 23, 27]",97.68243615,20447,1773,5,5,10,1.8995488998077483
undo,2,6,0,0,1,14,"[0, 3, 18, 17, 10, 24, 16, 29, 14]",9,0,[],34.08212168,22545,2098,1,0,9,1.5811367954275994
undo,2,6,1,0,0,29,"[0, 3, 18, 17, 10, 24, 16, 29]",8,7,"[6, 14, 20, 21, 22, 23, 27]",97.68243615,29600,7055,5,5,10,1.8995488998077483
undo,2,6,0,0,0,22,"[0, 3, 18, 17, 10, 24, 16, 29, 22]",9,3,"[14, 23, 27]",47.35351802,31958,2358,3,0,10,1.6225652141198474
undo,2,6,0,0,1,27,"[0, 3, 18, 17, 10, 24, 16, 29, 22, 27]",10,0,[],2.342408277,33641,1683,1,0,10,1.583531500252726
undo,2,6,0,1,1,27,"[0, 3, 18, 17, 10, 24, 16, 29, 22, 27]",10,0,[],2.342408277,35067,1426,1,0,10,1.583531500252726
undo,3,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,130,-1,3,136,10,0.0
undo,3,18,0,0,0,28,"[0, 28]",2,16,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",236.4311397,6621,6491,2,19,10,1.0
undo,3,18,0,0,0,7,"[0, 28, 7]",3,15,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",214.4084242,7820,1199,2,17,10,1.4345180696367563
undo,3,18,0,0,0,25,"[0, 28, 7, 25]",4,13,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 26, 27]",186.6055466,9038,1218,2,15,10,1.8896451241781882
undo,3,18,0,0,0,8,"[0, 28, 7, 25, 8]",5,10,"[3, 5, 9, 12, 13, 14, 16, 23, 26, 27]",149.551532,9939,901,2,10,10,1.590467437592877
undo,3,18,0,0,0,13,"[0, 28, 7, 25, 8, 13]",6,9,"[3, 5, 9, 12, 14, 16, 23, 26, 27]",128.4565089,10576,637,2,5,10,1.8248274983549797
undo,3,18,0,0,0,14,"[0, 28, 7, 25, 8, 13, 14]",7,7,"[3, 5, 9, 12, 23, 26, 27]",109.4828429,11543,967,2,3,10,1.6993534956692746
undo,3,18,0,0,0,3,"[0, 28, 7, 25, 8, 13, 14, 3]",8,3,"[5, 12, 27]",79.39962499,12761,1218,2,1,10,1.802637206541468
undo,3,18,0,0,0,5,"[0, 28, 7, 25, 8, 13, 14, 3, 5]",9,1,[12],21.21887216,14338,1577,1,0,10,1.559774889743805
undo,3,18,0,0,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,14995,657,1,0,10,1.563993037384447
undo,3,18,0,1,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,16813,1818,1,0,10,1.563993037384447
undo,4,25,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,5,94,10,0.0
undo,4,25,0,0,0,1,"[0, 1]",2,22,"[2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",268.9516506,13672,13557,16,145,9,1.0
undo,4,25,1,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,16248,2576,5,94,10,0.0
undo,4,25,0,0,0,19,"[0, 19]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",251.9479449,19313,3065,2,30,10,1.0
undo,4,25,0,0,0,29,"[0, 19, 29]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]",235.6691243,20465,1152,2,22,10,1.0272252084351727
undo,4,25,0,0,0,22,"[0, 19, 29, 22]",4,24,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28]",219.5446088,21404,939,2,17,10,1.03988854593305
undo,4,25,0,0,0,23,"[0, 19, 29, 22, 23]",5,10,"[1, 3, 5, 7, 8, 9, 11, 20, 21, 24]",160.1476392,22861,1457,1,8,9,3.4768066793568115
undo,4,25,0,0,0,7,"[0, 19, 29, 22, 23, 7]",6,3,"[3, 9, 24]",82.31448429,25321,2460,1,3,9,1.8573741286819305
undo,4,25,0,0,0,24,"[0, 19, 29, 22, 23, 7, 24]",7,2,"[3, 9]",57.55564749,26479,1158,1,1,9,1.725025582994401
undo,4,25,0,0,0,9,"[0, 19, 29, 22, 23, 7, 24, 9]",8,1,[3],39.52789111,28924,2445,1,0,9,1.668527856409981
undo,4,25,0,0,1,3,"[0, 19, 29, 22, 23, 7, 24, 9, 3]",9,0,[],9.262399207,31481,2557,1,0,9,1.5702475590603595
undo,4,25,0,1,1,3,"[0, 19, 29, 22, 23, 7, 24, 9, 3]",9,0,[],9.262399207,33565,2084,1,0,9,1.5702475590603595
