condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,1188,-1,84,830,9,0.0
undo,0,21,0,0,0,18,"[0, 18]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",240.923778,19117,17929,44,305,9,1.0
undo,0,21,0,0,0,22,"[0, 18, 22]",3,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",214.5230205,20798,1681,13,86,9,1.0395459700082075
undo,0,21,0,0,0,29,"[0, 18, 22, 29]",4,20,"[2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27]",184.2575286,21918,1120,13,48,9,1.3662220122820667
undo,0,21,0,0,0,25,"[0, 18, 22, 29, 25]",5,13,"[4, 6, 8, 9, 11, 12, 14, 15, 16, 17, 20, 21, 23]",139.0358524,23322,1404,11,18,9,2.6909708046730523
undo,0,21,0,0,0,23,"[0, 18, 22, 29, 25, 23]",6,7,"[4, 8, 14, 15, 16, 17, 21]",95.71149432,25863,2541,6,5,9,2.0630993046242816
undo,0,21,0,0,0,21,"[0, 18, 22, 29, 25, 23, 21]",7,2,"[4, 14]",66.09730853,27253,1390,2,0,9,2.602133289828447
undo,0,21,0,0,0,14,"[0, 18, 22, 29, 25, 23, 21, 14]",8,1,[4],40.48481158,30328,3075,1,0,9,2.26566587256098
undo,0,21,0,0,1,4,"[0, 18, 22, 29, 25, 23, 21, 14, 4]",9,0,[],26.34267596,31167,839,1,0,9,2.1395154462606985
undo,0,21,0,1,1,4,"[0, 18, 22, 29, 25, 23, 21, 14, 4]",9,0,[],26.34267596,57391,26224,1,0,9,2.1395154462606985
