condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,192,-1,2,96,9,0.0
basic,0,28,0,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,5166,4974,1,64,9,1.0
basic,0,28,0,0,0,20,"[0, 3, 20]",3,20,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 26, 28]",209.7416475,6726,1560,2,29,8,1.6703057504555512
basic,0,28,0,0,0,15,"[0, 3, 20, 15]",4,10,"[5, 6, 8, 9, 10, 16, 22, 23, 26, 28]",157.2440286,13375,6649,1,6,7,1.4376587969564578
basic,0,28,0,0,0,23,"[0, 3, 20, 15, 23]",5,2,"[16, 22]",88.73855432,14206,831,2,0,6,1.269324093812023
basic,0,28,0,0,1,16,"[0, 3, 20, 15, 23, 16]",6,0,[],48.42726558,15926,1720,1,0,6,1.2537020201649651
basic,0,28,0,1,1,16,"[0, 3, 20, 15, 23, 16]",6,0,[],48.42726558,17492,1566,1,0,6,1.2537020201649651
basic,1,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,150,-1,3,136,10,0.0
basic,1,18,0,0,0,28,"[0, 28]",2,16,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",236.4311397,3113,2963,2,19,10,1.0
basic,1,18,0,0,0,7,"[0, 28, 7]",3,15,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",214.4084242,4028,915,2,17,10,1.4345180696367563
basic,1,18,0,0,0,25,"[0, 28, 7, 25]",4,13,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 26, 27]",186.6055466,5099,1071,2,15,10,1.8896451241781882
basic,1,18,0,0,0,8,"[0, 28, 7, 25, 8]",5,10,"[3, 5, 9, 12, 13, 14, 16, 23, 26, 27]",149.551532,6385,1286,2,10,10,1.590467437592877
basic,1,18,0,0,0,13,"[0, 28, 7, 25, 8, 13]",6,9,"[3, 5, 9, 12, 14, 16, 23, 26, 27]",128.4565089,7494,1109,2,5,10,1.8248274983549797
basic,1,18,0,0,0,14,"[0, 28, 7, 25, 8, 13, 14]",7,7,"[3, 5, 9, 12, 23, 26, 27]",109.4828429,10106,2612,2,3,10,1.6993534956692746
basic,1,18,0,0,0,3,"[0, 28, 7, 25, 8, 13, 14, 3]",8,3,"[5, 12, 27]",79.39962499,11588,1482,2,1,10,1.802637206541468
basic,1,18,0,0,0,5,"[0, 28, 7, 25, 8, 13, 14, 3, 5]",9,1,[12],21.21887216,13037,1449,1,0,10,1.559774889743805
basic,1,18,0,0,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,14590,1553,1,0,10,1.563993037384447
basic,1,18,0,1,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,15843,1253,1,0,10,1.563993037384447
basic,2,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,156,-1,1,30,10,0.0
basic,2,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,3150,2994,8,104,9,1.0
basic,2,39,0,0,0,10,"[0, 29, 10]",3,19,"[1, 2, 4, 5, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 28]",178.4239862,4689,1539,3,48,9,1.0231293692376968
basic,2,39,0,0,0,7,"[0, 29, 10, 7]",4,14,"[1, 2, 4, 5, 9, 12, 13, 15, 16, 18, 19, 22, 24, 26]",145.0024362,5880,1191,2,20,9,1.0186411966151707
basic,2,39,0,0,0,26,"[0, 29, 10, 7, 26]",5,9,"[1, 2, 5, 12, 13, 16, 18, 19, 22]",126.3208945,6829,949,1,9,9,1.0752526811750318
basic,2,39,0,0,0,22,"[0, 29, 10, 7, 26, 22]",6,6,"[1, 5, 12, 16, 18, 19]",108.6008494,7880,1051,1,3,9,1.2360944063790367
basic,2,39,0,0,0,16,"[0, 29, 10, 7, 26, 22, 16]",7,2,"[18, 19]",73.6008494,9463,1583,1,1,9,1.1926155792040818
basic,2,39,0,0,0,19,"[0, 29, 10, 7, 26, 22, 16, 19]",8,1,[18],56.1366002,10631,1168,1,0,9,1.2089345217410772
basic,2,39,0,0,1,18,"[0, 29, 10, 7, 26, 22, 16, 19, 18]",9,0,[],12.96253391,11958,1327,1,0,9,1.2243548998729528
basic,2,39,0,1,1,18,"[0, 29, 10, 7, 26, 22, 16, 19, 18]",9,0,[],12.96253391,13280,1322,1,0,9,1.2243548998729528
basic,3,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,159,-1,2,182,10,0.0
basic,3,9,0,0,0,25,"[0, 25]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28]",275.9168108,2886,2727,2,104,10,1.0
basic,3,9,0,0,0,10,"[0, 25, 10]",3,20,"[3, 4, 5, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",236.0670932,3821,935,2,76,10,1.1767014107208227
basic,3,9,0,0,0,20,"[0, 25, 10, 20]",4,13,"[8, 9, 15, 16, 17, 18, 19, 21, 22, 23, 26, 27, 28]",153.6049806,7480,3659,7,31,9,1.1559102626209
basic,3,9,0,0,0,21,"[0, 25, 10, 20, 21]",5,11,"[8, 9, 15, 16, 17, 18, 19, 22, 23, 26, 28]",141.5219347,8117,637,7,23,9,1.3369987418374067
basic,3,9,0,0,0,28,"[0, 25, 10, 20, 21, 28]",6,4,"[8, 9, 23, 26]",88.52193467,9584,1467,4,4,9,2.8471728698277694
basic,3,9,0,0,0,8,"[0, 25, 10, 20, 21, 28, 8]",7,3,"[9, 23, 26]",77.70528084,10692,1108,2,1,9,3.4852880207547177
basic,3,9,0,0,0,23,"[0, 25, 10, 20, 21, 28, 8, 23]",8,1,[9],56.23437029,11361,669,1,0,9,4.094155669069095
basic,3,9,0,0,1,9,"[0, 25, 10, 20, 21, 28, 8, 23, 9]",9,0,[],33.87369051,12774,1413,1,0,9,3.573855889055686
basic,3,9,0,1,1,9,"[0, 25, 10, 20, 21, 28, 8, 23, 9]",9,0,[],33.87369051,14129,1355,1,0,9,3.573855889055686
basic,4,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,142,-1,6,168,10,0.0
basic,4,37,0,0,0,18,"[0, 18]",2,19,"[1, 2, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 26, 28, 29]",202.4090168,5913,5771,6,89,10,1.0
basic,4,37,0,0,0,7,"[0, 18, 7]",3,12,"[1, 2, 4, 9, 15, 17, 19, 20, 21, 22, 26, 29]",175.2428614,7895,1982,6,53,10,1.0413073512834488
basic,4,37,0,0,0,22,"[0, 18, 7, 22]",4,8,"[1, 2, 4, 15, 19, 20, 21, 26]",125.2428614,9210,1315,6,29,10,1.0730792320325544
basic,4,37,0,0,0,2,"[0, 18, 7, 22, 2]",5,7,"[1, 4, 15, 19, 20, 21, 26]",97.58422802,11675,2465,2,13,10,1.338975835424605
basic,4,37,0,0,0,4,"[0, 18, 7, 22, 2, 4]",6,5,"[1, 15, 19, 20, 21]",86.18247377,12714,1039,2,6,10,1.3155324116512812
basic,4,37,0,0,0,1,"[0, 18, 7, 22, 2, 4, 1]",7,4,"[15, 19, 20, 21]",68.46242863,13839,1125,2,4,10,1.4624721991921241
basic,4,37,0,0,0,20,"[0, 18, 7, 22, 2, 4, 1, 20]",8,2,"[15, 21]",34.22794309,14860,1021,2,0,10,1.7730355582319604
basic,4,37,0,0,0,21,"[0, 18, 7, 22, 2, 4, 1, 20, 21]",9,1,[15],19.80573799,16188,1328,1,0,10,1.8054518555969565
basic,4,37,0,0,1,15,"[0, 18, 7, 22, 2, 4, 1, 20, 21, 15]",10,0,[],4.805737987,17241,1053,1,0,10,1.7740347323632142
basic,4,37,0,1,1,15,"[0, 18, 7, 22, 2, 4, 1, 20, 21, 15]",10,0,[],4.805737987,18658,1417,1,0,10,1.7740347323632142
