condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,23,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,156,-1,76,2626,10,0.0
basic,0,23,0,0,0,21,"[0, 21]",2,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",267.1062316,8849,8693,52,986,10,1.0
basic,0,23,0,0,0,5,"[0, 21, 5]",3,24,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29]",210.8834604,10546,1697,3,21,8,1.0074329272517222
basic,0,23,0,0,0,26,"[0, 21, 5, 26]",4,6,"[4, 8, 11, 16, 19, 20]",132.4487742,13569,3023,1,5,6,1.0069904353748054
basic,0,23,0,0,0,11,"[0, 21, 5, 26, 11]",5,1,[16],71.41599612,16078,2509,1,0,6,1.1101020566483102
basic,0,23,0,0,1,16,"[0, 21, 5, 26, 11, 16]",6,0,[],20.15197365,19021,2943,1,0,6,1.090066973788043
basic,0,23,0,1,1,16,"[0, 21, 5, 26, 11, 16]",6,0,[],20.15197365,20388,1367,1,0,6,1.090066973788043
basic,1,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,157,-1,1,30,10,0.0
basic,1,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,4802,4645,8,104,9,1.0
basic,1,39,0,0,0,12,"[0, 29, 12]",3,18,"[1, 2, 4, 5, 7, 9, 10, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26, 28]",182.5221931,6813,2011,5,54,9,1.0026200331524904
basic,1,39,0,0,0,10,"[0, 29, 12, 10]",4,16,"[1, 2, 4, 5, 7, 9, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26]",147.0116313,8509,1696,5,34,9,1.2874817019928908
basic,1,39,0,0,0,7,"[0, 29, 12, 10, 7]",5,10,"[1, 2, 5, 13, 16, 18, 19, 22, 24, 26]",113.5900814,10183,1674,4,12,9,1.2250826263866774
basic,1,39,0,0,0,26,"[0, 29, 12, 10, 7, 26]",6,5,"[1, 16, 18, 19, 22]",94.90853971,12149,1966,3,4,9,1.2697275353190085
basic,1,39,0,0,0,22,"[0, 29, 12, 10, 7, 26, 22]",7,2,"[16, 19]",77.18849457,13565,1416,2,0,9,1.438961743955176
basic,1,39,0,0,0,16,"[0, 29, 12, 10, 7, 26, 22, 16]",8,1,[19],42.18849457,15781,2216,1,0,9,1.3580882130477205
basic,1,39,0,0,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,22770,6989,1,0,9,1.3646589157842668
basic,1,39,0,1,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,23837,1067,1,0,9,1.3646589157842668
basic,2,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,159,-1,9,226,9,0.0
basic,2,26,0,0,0,18,"[0, 18]",2,15,"[2, 5, 7, 8, 9, 11, 12, 13, 15, 20, 21, 23, 24, 25, 27]",160.9136959,9091,8932,24,22,5,1.0
basic,2,26,0,0,0,11,"[0, 18, 11]",3,6,"[5, 8, 13, 21, 23, 25]",114.3411718,14418,5327,7,2,5,1.2338382000291297
basic,2,26,0,0,0,5,"[0, 18, 11, 5]",4,2,"[13, 23]",40.93136316,16903,2485,2,0,5,1.7504238061726565
basic,2,26,0,0,1,23,"[0, 18, 11, 5, 23]",5,0,[],8.235797711,19251,2348,1,0,5,2.1673494627553263
basic,2,26,0,1,1,23,"[0, 18, 11, 5, 23]",5,0,[],8.235797711,20507,1256,1,0,5,2.1673494627553263
basic,3,41,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,165,-1,1,143,10,0.0
basic,3,41,0,0,0,27,"[0, 27]",2,15,"[1, 2, 3, 5, 9, 10, 13, 14, 17, 20, 21, 22, 24, 26, 28]",199.3421637,2648,2483,14,45,6,1.0
basic,3,41,0,0,0,24,"[0, 27, 24]",3,6,"[1, 2, 9, 10, 17, 26]",136.5408899,4317,1669,3,8,6,1.2664021281651117
basic,3,41,0,0,0,10,"[0, 27, 24, 10]",4,4,"[1, 2, 9, 17]",87.29660086,6433,2116,3,2,6,2.5142526796358493
basic,3,41,0,0,0,17,"[0, 27, 24, 10, 17]",5,2,"[2, 9]",38.05231185,8133,1700,2,0,6,4.132468993454642
basic,3,41,0,0,1,2,"[0, 27, 24, 10, 17, 2]",6,0,[],5.49467066,9969,1836,1,0,6,3.255047181476131
basic,3,41,0,1,1,2,"[0, 27, 24, 10, 17, 2]",6,0,[],5.49467066,13173,3204,1,0,6,3.255047181476131
basic,4,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,166,-1,6,74,7,0.0
basic,4,1,0,0,0,24,"[0, 24]",2,8,"[5, 7, 8, 14, 16, 19, 20, 26]",185.4137879,6170,6004,9,13,5,1.0
basic,4,1,0,0,0,26,"[0, 24, 26]",3,6,"[5, 8, 14, 16, 19, 20]",152.1722476,8172,2002,7,4,5,1.502125301442057
basic,4,1,0,0,0,19,"[0, 24, 26, 19]",4,4,"[5, 8, 16, 20]",113.5458318,9762,1590,4,0,5,1.5438989781695114
basic,4,1,0,0,1,8,"[0, 24, 26, 19, 8]",5,0,[],60.39510274,14438,4676,1,0,5,2.44494793122449
basic,4,1,0,1,1,8,"[0, 24, 26, 19, 8]",5,0,[],60.39510274,16094,1656,1,0,5,2.44494793122449
basic,5,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,156,-1,6,248,10,0.0
basic,5,45,0,0,0,15,"[0, 15]",2,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",253.9022777,3072,2916,5,207,10,1.0
basic,5,45,0,0,0,23,"[0, 15, 23]",3,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 29]",230.3014303,4638,1566,5,163,10,1.0006068457769497
basic,5,45,0,0,0,20,"[0, 15, 23, 20]",4,19,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 21, 22, 24, 25, 29]",188.8647316,6718,2080,5,137,10,1.2062119754673604
basic,5,45,0,0,0,24,"[0, 15, 23, 20, 24]",5,14,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 17, 19, 21, 22, 29]",145.0355176,9087,2369,1,23,10,1.5044386356496664
basic,5,45,0,0,0,7,"[0, 15, 23, 20, 24, 7]",6,9,"[2, 3, 6, 10, 12, 17, 19, 22, 29]",110.6262165,10702,1615,1,22,10,1.4273775035809357
basic,5,45,0,0,0,2,"[0, 15, 23, 20, 24, 7, 2]",7,6,"[3, 6, 10, 12, 22, 29]",72.61306087,12718,2016,1,7,10,1.3566457419165387
basic,5,45,0,0,0,3,"[0, 15, 23, 20, 24, 7, 2, 3]",8,4,"[6, 10, 22, 29]",47.29508307,14451,1733,1,3,10,1.4087069987569252
basic,5,45,0,0,0,29,"[0, 15, 23, 20, 24, 7, 2, 3, 29]",9,1,[10],27.29508307,16018,1567,1,0,10,1.6931989191216303
basic,5,45,0,0,1,10,"[0, 15, 23, 20, 24, 7, 2, 3, 29, 10]",10,0,[],5.754423843,17450,1432,1,0,10,1.9996819797033594
basic,5,45,0,1,1,10,"[0, 15, 23, 20, 24, 7, 2, 3, 29, 10]",10,0,[],5.754423843,19193,1743,1,0,10,1.9996819797033594
basic,6,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,169,-1,12,149,8,0.0
basic,6,19,0,0,0,29,"[0, 29]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",265.0715016,5664,5495,12,120,8,1.0
basic,6,19,0,0,0,9,"[0, 29, 9]",3,17,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 19, 20, 21, 22, 24, 27, 28]",181.7108394,10870,5206,11,65,8,1.0375842971861238
basic,6,19,0,0,0,6,"[0, 29, 9, 6]",4,12,"[4, 7, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28]",140.2741407,12782,1912,11,34,8,1.0389786364356892
basic,6,19,0,0,0,4,"[0, 29, 9, 6, 4]",5,7,"[10, 11, 14, 20, 22, 27, 28]",99.22538921,15337,2555,2,6,8,1.2182485830176533
basic,6,19,0,0,0,14,"[0, 29, 9, 6, 4, 14]",6,3,"[11, 20, 22]",49.21539021,18331,2994,3,0,7,1.1992264850067285
basic,6,19,0,0,1,22,"[0, 29, 9, 6, 4, 14, 22]",7,0,[],6.261927018,23905,5574,1,0,7,1.3788088793332804
basic,6,19,0,1,1,22,"[0, 29, 9, 6, 4, 14, 22]",7,0,[],6.261927018,25407,1502,1,0,7,1.3788088793332804
basic,7,10,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,140,-1,1,100,9,0.0
basic,7,10,0,0,0,13,"[0, 13]",2,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",249.4628849,4300,4160,1,79,9,1.0
basic,7,10,0,0,0,11,"[0, 13, 11]",3,20,"[1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]",206.4512586,5671,1371,1,54,9,1.0313137484914219
basic,7,10,0,0,0,19,"[0, 13, 11, 19]",4,11,"[2, 6, 8, 9, 10, 14, 18, 20, 24, 26, 27]",170.0919407,7350,1679,1,22,9,1.0879446220132545
basic,7,10,0,0,0,2,"[0, 13, 11, 19, 2]",5,4,"[14, 20, 26, 27]",126.1829439,9117,1767,1,4,9,1.06474052351343
basic,7,10,0,0,0,14,"[0, 13, 11, 19, 2, 14]",6,3,"[20, 26, 27]",114.0174188,10502,1385,1,3,9,1.1628909195912238
