condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,2,0,0,0,0,[0],1,23,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,1296,-1,70,620,10,0.0
basic,0,2,0,0,0,19,"[0, 19]",2,22,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 29]",210.306076,6813,5517,67,431,10,1.0
basic,0,2,0,0,0,12,"[0, 19, 12]",3,17,"[1, 4, 5, 6, 7, 13, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29]",174.2921898,10815,4002,66,298,10,1.1107635036313153
basic,0,2,0,0,0,5,"[0, 19, 12, 5]",4,11,"[1, 6, 7, 13, 15, 16, 18, 22, 25, 26, 29]",144.7625437,12982,2167,38,136,10,1.0968174771581647
basic,0,2,0,0,0,22,"[0, 19, 12, 5, 22]",5,8,"[1, 6, 7, 13, 15, 18, 26, 29]",131.9562952,14147,1165,20,63,10,1.0889910507461968
basic,0,2,0,0,0,13,"[0, 19, 12, 5, 22, 13]",6,7,"[1, 6, 7, 15, 18, 26, 29]",117.0902265,15882,1735,19,20,10,1.236526217328057
basic,0,2,0,0,0,18,"[0, 19, 12, 5, 22, 13, 18]",7,4,"[7, 15, 26, 29]",81.91921567,17127,1245,10,3,10,1.2128708213409936
basic,0,2,0,0,0,7,"[0, 19, 12, 5, 22, 13, 18, 7]",8,3,"[15, 26, 29]",71.62358553,18854,1727,5,0,10,1.2019811287894737
basic,0,2,0,0,0,15,"[0, 19, 12, 5, 22, 13, 18, 7, 15]",9,2,"[26, 29]",56.85876247,20071,1217,2,0,10,1.2907869828541363
basic,0,2,0,0,1,29,"[0, 19, 12, 5, 22, 13, 18, 7, 15, 29]",10,0,[],28.39826353,26328,6257,1,0,10,1.4795089334237532
basic,0,2,0,1,1,29,"[0, 19, 12, 5, 22, 13, 18, 7, 15, 29]",10,0,[],28.39826353,28524,2196,1,0,10,1.4795089334237532
basic,1,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,418,-1,8,157,10,0.0
basic,1,14,0,0,0,15,"[0, 15]",2,20,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",216.7053423,5100,4682,8,102,10,1.0
basic,1,14,0,0,0,28,"[0, 15, 28]",3,17,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 22, 23, 25, 26, 27]",197.4959696,6734,1634,8,48,10,1.0446007867311968
basic,1,14,0,0,0,17,"[0, 15, 28, 17]",4,14,"[1, 2, 3, 4, 7, 8, 13, 18, 19, 20, 22, 23, 25, 26]",184.0423455,8409,1675,8,39,10,1.0729463354689972
basic,1,14,0,0,0,18,"[0, 15, 28, 17, 18]",5,9,"[1, 2, 4, 7, 8, 19, 23, 25, 26]",119.412631,10632,2223,8,27,10,1.5035901079219378
basic,1,14,0,0,0,8,"[0, 15, 28, 17, 18, 8]",6,8,"[1, 2, 4, 7, 19, 23, 25, 26]",105.8111605,11443,811,8,18,10,1.4819689987843856
basic,1,14,0,0,0,19,"[0, 15, 28, 17, 18, 8, 19]",7,5,"[1, 7, 23, 25, 26]",85.19563238,14231,2788,4,9,10,1.4526746797093781
basic,1,14,0,0,0,23,"[0, 15, 28, 17, 18, 8, 19, 23]",8,3,"[7, 25, 26]",40.92374514,17732,3501,3,0,9,1.3782796809029378
basic,1,14,0,0,1,26,"[0, 15, 28, 17, 18, 8, 19, 23, 26]",9,0,[],30.10709131,19865,2133,1,0,9,1.360356998767621
basic,1,14,0,1,1,26,"[0, 15, 28, 17, 18, 8, 19, 23, 26]",9,0,[],30.10709131,21406,1541,1,0,9,1.360356998767621
basic,2,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,1542,-1,31,704,9,0.0
basic,2,22,0,0,0,29,"[0, 29]",2,22,"[1, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28]",222.9935068,5302,3760,11,235,9,1.0
basic,2,22,0,0,0,19,"[0, 29, 19]",3,18,"[1, 3, 6, 7, 8, 9, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 28]",207.9602104,10568,5266,11,172,9,1.1559285443414686
basic,2,22,0,0,0,7,"[0, 29, 19, 7]",4,14,"[1, 3, 6, 8, 9, 13, 14, 15, 16, 17, 20, 21, 24, 28]",161.6892692,12108,1540,2,38,9,1.0997496152822535
basic,2,22,0,0,0,14,"[0, 29, 19, 7, 14]",5,12,"[1, 3, 6, 9, 13, 15, 16, 17, 20, 21, 24, 28]",148.6508644,14191,2083,2,24,9,1.1683447899109163
basic,2,22,0,0,0,9,"[0, 29, 19, 7, 14, 9]",6,5,"[6, 16, 17, 24, 28]",105.6043779,15303,1112,2,4,9,2.1706974496486087
