condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,34,0,0,0,0,[0],1,25,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,308,-1,12,367,10,0.0
basic,0,34,0,0,0,13,"[0, 13]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",279.9750156,6669,6361,12,331,10,1.0
basic,0,34,0,0,0,1,"[0, 13, 1]",3,16,"[3, 5, 7, 8, 9, 10, 11, 12, 19, 21, 22, 23, 24, 25, 27, 29]",211.8574701,7996,1327,3,92,10,1.0010381285747127
basic,0,34,0,0,0,8,"[0, 13, 1, 8]",4,14,"[3, 5, 7, 9, 10, 11, 12, 19, 22, 23, 24, 25, 27, 29]",201.0871405,10107,2111,2,54,10,1.1636807
basic,0,34,0,0,0,25,"[0, 13, 1, 8, 25]",5,12,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 24, 27, 29]",183.999133,10974,867,2,28,10,1.1396208815936457
basic,0,34,0,0,0,24,"[0, 13, 1, 8, 25, 24]",6,11,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 27, 29]",166.5062774,11524,550,2,23,10,1.374180768736554
basic,0,34,0,0,0,12,"[0, 13, 1, 8, 25, 24, 12]",7,7,"[7, 9, 10, 11, 22, 23, 27]",115.4670767,13971,2447,1,8,10,1.4994254760835948
basic,0,34,0,0,0,7,"[0, 13, 1, 8, 25, 24, 12, 7]",8,5,"[9, 11, 22, 23, 27]",100.4337804,14845,874,1,4,10,1.758992610425009
basic,0,34,0,0,0,23,"[0, 13, 1, 8, 25, 24, 12, 7, 23]",9,1,[27],72.27352467,15900,1055,1,0,10,2.399781305190153
basic,0,34,0,0,1,27,"[0, 13, 1, 8, 25, 24, 12, 7, 23, 27]",10,0,[],18.60789321,17263,1363,1,0,10,4.766619878750327
basic,0,34,0,1,1,27,"[0, 13, 1, 8, 25, 24, 12, 7, 23, 27]",10,0,[],18.60789321,21030,3767,1,0,10,4.766619878750327
basic,1,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,180,-1,2,32,9,0.0
basic,1,12,0,0,0,25,"[0, 25]",2,16,"[2, 4, 5, 6, 7, 9, 12, 14, 16, 18, 19, 22, 23, 24, 27, 28]",225.7975742,4210,4030,5,34,8,1.0
basic,1,12,0,0,0,16,"[0, 25, 16]",3,11,"[2, 4, 5, 6, 7, 12, 14, 19, 22, 24, 27]",169.0701557,5027,817,4,22,8,1.4434159828731936
basic,1,12,0,0,0,22,"[0, 25, 16, 22]",4,10,"[2, 4, 5, 6, 7, 12, 14, 19, 24, 27]",148.0701557,5979,952,2,13,8,1.726364042386772
basic,1,12,0,0,0,4,"[0, 25, 16, 22, 4]",5,5,"[12, 14, 19, 24, 27]",103.4719495,6842,863,2,5,8,1.5733828402319396
basic,1,12,0,0,0,12,"[0, 25, 16, 22, 4, 12]",6,2,"[14, 27]",61.28190329,9346,2504,1,1,8,1.4448405722842959
basic,1,12,0,0,0,27,"[0, 25, 16, 22, 4, 12, 27]",7,1,[14],36.93031196,10731,1385,1,0,8,1.537998507213724
basic,1,12,0,0,1,14,"[0, 25, 16, 22, 4, 12, 27, 14]",8,0,[],8.2772144,11547,816,1,0,8,1.5668177596106356
basic,1,12,0,1,1,14,"[0, 25, 16, 22, 4, 12, 27, 14]",8,0,[],8.2772144,14010,2463,1,0,8,1.5668177596106356
basic,2,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,165,-1,5,41,8,0.0
basic,2,30,0,0,0,16,"[0, 16]",2,17,"[3, 5, 7, 9, 11, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",219.3774225,4808,4643,5,34,8,1.0
basic,2,30,0,0,0,25,"[0, 16, 25]",3,10,"[3, 5, 7, 9, 11, 18, 19, 20, 27, 29]",115.0845656,5825,1017,5,28,8,1.0336279544884488
basic,2,30,0,0,0,20,"[0, 16, 25, 20]",4,8,"[3, 5, 7, 9, 18, 19, 27, 29]",93.15285342,6727,902,4,14,8,1.0337964627284246
basic,2,30,0,0,0,27,"[0, 16, 25, 20, 27]",5,4,"[3, 5, 18, 29]",59.09408069,7541,814,4,6,8,1.1504365534848
basic,2,30,0,0,0,3,"[0, 16, 25, 20, 27, 3]",6,3,"[5, 18, 29]",39.98910751,8128,587,4,0,8,1.1403876826835333
basic,2,30,0,0,0,29,"[0, 16, 25, 20, 27, 3, 29]",7,1,[18],21.38803228,8829,701,1,0,8,1.1443827771455848
basic,2,30,0,0,1,18,"[0, 16, 25, 20, 27, 3, 29, 18]",8,0,[],2.074824359,9766,937,1,0,8,1.2197761544023602
basic,2,30,0,1,1,18,"[0, 16, 25, 20, 27, 3, 29, 18]",8,0,[],2.074824359,11643,1877,1,0,8,1.2197761544023602
basic,3,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,165,-1,5,236,11,0.0
basic,3,35,0,0,0,15,"[0, 15]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",244.4212271,4567,4402,9,149,10,1.0
basic,3,35,0,0,0,24,"[0, 15, 24]",3,21,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29]",212.2187427,6063,1496,3,53,10,2.8301813252608574
basic,3,35,0,0,0,17,"[0, 15, 24, 17]",4,17,"[1, 2, 4, 5, 6, 9, 10, 16, 18, 19, 21, 23, 25, 26, 27, 28, 29]",200.5140428,6783,720,3,35,10,2.508403635477034
basic,3,35,0,0,0,1,"[0, 15, 24, 17, 1]",5,16,"[2, 4, 5, 6, 9, 10, 16, 18, 19, 21, 23, 25, 26, 27, 28, 29]",184.7026545,7487,704,3,30,10,2.4119939071293377
basic,3,35,0,0,0,9,"[0, 15, 24, 17, 1, 9]",6,6,"[5, 6, 18, 19, 23, 25]",115.1756813,9183,1696,10,7,9,1.64413366219499
basic,3,35,0,0,0,18,"[0, 15, 24, 17, 1, 9, 18]",7,4,"[5, 6, 23, 25]",95.15069691,9942,759,5,1,9,1.5925313145870033
basic,3,35,0,0,0,25,"[0, 15, 24, 17, 1, 9, 18, 25]",8,1,[6],61.31284828,10751,809,1,0,9,1.473911113757093
basic,3,35,0,0,1,6,"[0, 15, 24, 17, 1, 9, 18, 25, 6]",9,0,[],37.29202398,11519,768,1,0,9,1.7372373850600382
basic,3,35,0,1,1,6,"[0, 15, 24, 17, 1, 9, 18, 25, 6]",9,0,[],37.29202398,14362,2843,1,0,9,1.7372373850600382
basic,4,7,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,214,-1,3,79,9,0.0
basic,4,7,0,0,0,15,"[0, 15]",2,19,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 18, 19, 20, 21, 23, 25, 27, 28]",230.9348134,2753,2539,2,38,9,1.0
basic,4,7,0,0,0,6,"[0, 15, 6]",3,18,"[2, 4, 5, 7, 8, 9, 10, 13, 14, 16, 18, 19, 20, 21, 23, 25, 27, 28]",205.854941,3306,553,2,36,9,1.366719602896943
basic,4,7,0,0,0,25,"[0, 15, 6, 25]",4,11,"[2, 4, 7, 13, 14, 16, 18, 19, 20, 21, 23]",138.6760753,4425,1119,2,28,9,1.3624631728355765
basic,4,7,0,0,0,4,"[0, 15, 6, 25, 4]",5,7,"[2, 7, 13, 16, 18, 19, 20]",113.9374415,5113,688,2,12,9,1.3249684384385587
basic,4,7,0,0,0,20,"[0, 15, 6, 25, 4, 20]",6,5,"[2, 7, 13, 18, 19]",94.29055881,6276,1163,1,6,9,1.3721893242679268
basic,4,7,0,0,0,18,"[0, 15, 6, 25, 4, 20, 18]",7,3,"[7, 13, 19]",81.48431034,7954,1678,1,2,9,1.5262542308371432
basic,4,7,0,0,0,7,"[0, 15, 6, 25, 4, 20, 18, 7]",8,1,[19],40.25325408,9061,1107,1,0,9,1.41986878673423
basic,4,7,0,0,1,19,"[0, 15, 6, 25, 4, 20, 18, 7, 19]",9,0,[],10.84237174,10138,1077,1,0,9,1.5285658163212987
basic,4,7,0,1,1,19,"[0, 15, 6, 25, 4, 20, 18, 7, 19]",9,0,[],10.84237174,11642,1504,1,0,9,1.5285658163212987
basic,5,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,149,-1,8,191,9,0.0
basic,5,40,0,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,4813,4664,4,80,9,1.0
