condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,126,-1,34,427,10,0.0
undo,0,3,0,0,0,8,"[0, 8]",2,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",239.9666759,4651,4525,1,54,10,1.0
undo,0,3,0,0,0,4,"[0, 8, 4]",3,17,"[3, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 28]",184.3069957,7282,2631,3,17,9,1.0096590348420695
undo,0,3,0,0,0,5,"[0, 8, 4, 5]",4,3,"[6, 18, 28]",82.47379878,8880,1598,1,2,6,1.176384580056332
undo,0,3,0,0,0,6,"[0, 8, 4, 5, 6]",5,1,[28],31.38563968,11277,2397,1,0,6,1.4089673052555218
undo,0,3,0,0,1,28,"[0, 8, 4, 5, 6, 28]",6,0,[],9.362924132,12923,1646,1,0,6,1.3946367359139238
undo,0,3,0,1,1,28,"[0, 8, 4, 5, 6, 28]",6,0,[],9.362924132,15532,2609,1,0,6,1.3946367359139238
undo,1,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,145,-1,12,149,8,0.0
undo,1,19,0,0,0,12,"[0, 12]",2,15,"[1, 2, 3, 5, 8, 9, 13, 16, 17, 18, 19, 21, 23, 25, 29]",180.3964883,2072,1927,9,58,7,1.0
undo,1,19,0,0,0,17,"[0, 12, 17]",3,11,"[1, 2, 3, 8, 13, 16, 18, 19, 23, 25, 29]",160.2718765,3241,1169,6,25,7,1.0081383695928103
undo,1,19,0,0,0,2,"[0, 12, 17, 2]",4,4,"[3, 8, 23, 25]",92.24247114,6695,3454,1,3,6,1.0091263677059847
undo,1,19,0,0,1,23,"[0, 12, 17, 2, 23]",5,0,[],17.08929423,8577,1882,1,0,5,1.5734267515939837
