condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,4,0,0,0,0,[0],1,26,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,129,-1,4,489,10,0.0
basic,0,4,0,0,0,13,"[0, 13]",2,23,"[3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",232.1030192,43851,43722,2,270,10,1.0
basic,0,4,0,0,0,28,"[0, 13, 28]",3,19,"[3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",200.5277124,46464,2613,2,221,10,1.3431168257921573
basic,0,4,0,0,0,14,"[0, 13, 28, 14]",4,11,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22, 25]",134.2857318,61452,14988,28,123,9,1.2134786195381546
basic,0,4,0,0,0,25,"[0, 13, 28, 14, 25]",5,10,"[3, 4, 5, 6, 11, 16, 17, 20, 21, 22]",118.1612163,63764,2312,22,51,9,1.4339367384350254
basic,0,4,0,0,0,11,"[0, 13, 28, 14, 25, 11]",6,9,"[3, 4, 5, 6, 16, 17, 20, 21, 22]",99.37292203,64776,1012,11,18,9,1.632788140935394
basic,0,4,0,0,0,16,"[0, 13, 28, 14, 25, 11, 16]",7,6,"[3, 5, 17, 20, 21, 22]",84.37292203,65698,922,9,2,9,1.5642820747024264
basic,0,4,0,0,0,17,"[0, 13, 28, 14, 25, 11, 16, 17]",8,4,"[3, 20, 21, 22]",58.29611241,67178,1480,4,0,9,1.4745445015567764
basic,0,4,0,0,1,3,"[0, 13, 28, 14, 25, 11, 16, 17, 3]",9,0,[],33.78081107,68978,1800,1,0,9,1.5263697522111268
basic,0,4,0,1,1,3,"[0, 13, 28, 14, 25, 11, 16, 17, 3]",9,0,[],33.78081107,73150,4172,1,0,9,1.5263697522111268
basic,1,41,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,114,-1,1,143,10,0.0
basic,1,41,0,0,0,28,"[0, 28]",2,27,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",259.8004975,13264,13150,37,249,9,1.0
basic,1,41,0,0,0,5,"[0, 28, 5]",3,26,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",246.199027,16130,2866,30,182,9,1.714241539747437
basic,1,41,0,0,0,22,"[0, 28, 5, 22]",4,22,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27]",191.4541642,44797,28667,7,30,9,1.5739547554580093
basic,1,41,0,0,0,3,"[0, 28, 5, 22, 3]",5,14,"[2, 6, 9, 10, 12, 13, 14, 17, 18, 19, 20, 21, 25, 27]",161.4875161,45477,680,7,17,9,3.49573973620446
basic,1,41,0,0,0,21,"[0, 28, 5, 22, 3, 21]",6,8,"[2, 9, 10, 12, 13, 14, 17, 25]",129.3471987,47314,1837,7,6,9,3.491446139563656
basic,1,41,0,0,0,17,"[0, 28, 5, 22, 3, 21, 17]",7,3,"[2, 9, 10]",77.68483333,60605,13291,2,1,9,3.50722901785028
basic,1,41,0,0,0,9,"[0, 28, 5, 22, 3, 21, 17, 9]",8,1,[2],46.6687085,61893,1288,1,0,9,3.0784376539741842
basic,1,41,0,0,1,2,"[0, 28, 5, 22, 3, 21, 17, 9, 2]",9,0,[],34.58566252,63209,1316,1,0,9,2.9335163240466624
basic,1,41,0,1,1,2,"[0, 28, 5, 22, 3, 21, 17, 9, 2]",9,0,[],34.58566252,71629,8420,1,0,9,2.9335163240466624
basic,2,11,0,0,0,0,[0],1,25,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28]",300,114,-1,6,374,12,0.0
basic,2,11,0,0,0,18,"[0, 18]",2,21,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 25, 27, 28]",236.8493864,14202,14088,157,1477,11,1.0
basic,2,11,0,0,0,27,"[0, 18, 27]",3,19,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 28]",212.9956655,16012,1810,157,1315,11,1.060949579704323
basic,2,11,0,0,0,17,"[0, 18, 27, 17]",4,14,"[1, 2, 4, 5, 6, 8, 11, 12, 15, 19, 22, 23, 25, 28]",135.9177828,17284,1272,46,349,11,1.1156120043677304
basic,2,11,0,0,0,8,"[0, 18, 27, 17, 8]",5,11,"[1, 2, 5, 6, 11, 12, 15, 19, 22, 25, 28]",121.5999617,19612,2328,26,143,11,1.2285932943120847
basic,2,11,0,0,0,15,"[0, 18, 27, 17, 8, 15]",6,9,"[2, 5, 6, 11, 12, 19, 22, 25, 28]",108.1463377,20596,984,24,54,11,1.223015425852291
basic,2,11,0,0,0,11,"[0, 18, 27, 17, 8, 15, 11]",7,6,"[2, 5, 12, 19, 22, 28]",90.03556742,21468,872,22,2,11,1.2111003833550413
basic,2,11,0,0,0,5,"[0, 18, 27, 17, 8, 15, 11, 5]",8,3,"[2, 22, 28]",54.80773752,24145,2677,5,1,11,1.5070858562662883
basic,2,11,0,0,0,28,"[0, 18, 27, 17, 8, 15, 11, 5, 28]",9,2,"[2, 22]",36.9191937,25222,1077,2,0,11,1.5224287982960607
basic,2,11,0,0,0,2,"[0, 18, 27, 17, 8, 15, 11, 5, 28, 2]",10,1,[22],26.28904788,27317,2095,1,0,11,1.5334969671993883
basic,2,11,0,0,1,22,"[0, 18, 27, 17, 8, 15, 11, 5, 28, 2, 22]",11,0,[],16.23917226,28231,914,1,0,11,1.5050924702228456
basic,2,11,0,1,1,22,"[0, 18, 27, 17, 8, 15, 11, 5, 28, 2, 22]",11,0,[],16.23917226,31674,3443,1,0,11,1.5050924702228456
basic,3,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,5,108,9,0.0
basic,3,33,0,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,30079,29964,21,129,8,1.0
basic,3,33,0,0,0,13,"[0, 21, 13]",3,15,"[2, 5, 7, 8, 11, 14, 16, 17, 18, 19, 20, 24, 26, 28, 29]",148.0604038,37949,7870,17,72,8,1.0001005298764474
basic,3,33,0,0,0,19,"[0, 21, 13, 19]",4,11,"[7, 11, 14, 16, 17, 18, 20, 24, 26, 28, 29]",122.5653063,44007,6058,10,27,8,1.0588446738393702
basic,3,33,0,0,0,24,"[0, 21, 13, 19, 24]",5,7,"[7, 14, 16, 18, 26, 28, 29]",80.51771417,46650,2643,3,5,8,1.078006777679028
basic,3,33,0,0,0,7,"[0, 21, 13, 19, 24, 7]",6,3,"[14, 26, 29]",51.31155044,48130,1480,3,1,8,1.1669985062633954
basic,3,33,0,0,0,14,"[0, 21, 13, 19, 24, 7, 14]",7,2,"[26, 29]",36.44548169,49412,1282,2,0,8,1.2148465775488593
basic,3,33,0,0,1,26,"[0, 21, 13, 19, 24, 7, 14, 26]",8,0,[],23.79637105,51868,2456,1,0,8,1.2208379656544521
basic,3,33,0,1,1,26,"[0, 21, 13, 19, 24, 7, 14, 26]",8,0,[],23.79637105,58685,6817,1,0,8,1.2208379656544521
