condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,113,-1,3,136,10,0.0
basic,0,18,0,0,0,28,"[0, 28]",2,16,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",236.4311397,10225,10112,2,19,10,1.0
basic,0,18,0,0,0,7,"[0, 28, 7]",3,15,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",214.4084242,11288,1063,2,17,10,1.4345180696367563
basic,0,18,0,0,0,25,"[0, 28, 7, 25]",4,13,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 26, 27]",186.6055466,12255,967,2,15,10,1.8896451241781882
basic,0,18,0,0,0,13,"[0, 28, 7, 25, 13]",5,10,"[3, 5, 8, 9, 12, 14, 16, 23, 26, 27]",141.3286209,13653,1398,5,21,9,1.6878978848273398
basic,0,18,0,0,0,14,"[0, 28, 7, 25, 13, 14]",6,8,"[3, 5, 8, 9, 12, 23, 26, 27]",122.354955,14672,1019,3,7,9,1.584538278883837
basic,0,18,0,0,0,3,"[0, 28, 7, 25, 13, 14, 3]",7,4,"[5, 8, 12, 27]",92.27173704,17311,2639,2,2,9,1.6974526704451494
basic,0,18,0,0,0,5,"[0, 28, 7, 25, 13, 14, 3, 5]",8,1,[12],34.09098421,18920,1609,1,0,9,1.4877556777221013
basic,0,18,0,0,1,12,"[0, 28, 7, 25, 13, 14, 3, 5, 12]",9,0,[],22.68922996,19640,720,1,0,9,1.4946164653546268
basic,0,18,0,1,1,12,"[0, 28, 7, 25, 13, 14, 3, 5, 12]",9,0,[],22.68922996,24014,4374,1,0,9,1.4946164653546268
basic,1,20,0,0,0,0,[0],1,21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,116,-1,1,9,9,0.0
basic,1,20,0,0,0,5,"[0, 5]",2,14,"[1, 3, 4, 6, 8, 9, 12, 20, 21, 23, 26, 27, 28, 29]",174.3576505,7608,7492,3,24,7,1.0
basic,1,20,0,0,0,21,"[0, 5, 21]",3,10,"[1, 4, 6, 8, 9, 20, 23, 26, 27, 28]",129.3576505,8439,831,3,13,7,1.000374735486217
basic,1,20,0,0,0,8,"[0, 5, 21, 8]",4,6,"[1, 6, 9, 23, 27, 28]",111.8934013,9205,766,3,7,7,1.0232558372988163
