condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,193,-1,31,704,9,0.0
undo,0,22,0,0,0,16,"[0, 16]",2,21,"[1, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",218.605897,4923,4730,17,147,9,1.0
undo,0,22,0,0,0,6,"[0, 16, 6]",3,16,"[1, 3, 7, 9, 13, 14, 15, 17, 19, 20, 21, 22, 24, 25, 28, 29]",184.1675463,5909,986,5,77,9,1.3071109638102874
undo,0,22,0,0,0,9,"[0, 16, 6, 9]",4,15,"[1, 3, 7, 13, 14, 15, 17, 19, 20, 21, 22, 24, 25, 28, 29]",157.5404924,10724,4815,4,33,9,1.5907585082674378
undo,0,22,0,0,0,19,"[0, 16, 6, 9, 19]",5,12,"[3, 7, 13, 14, 15, 17, 20, 21, 24, 25, 28, 29]",137.1444143,11466,742,3,17,9,2.0453047636701496
undo,0,22,0,0,0,29,"[0, 16, 6, 9, 19, 29]",6,10,"[3, 7, 13, 14, 15, 17, 20, 21, 24, 28]",122.111118,13532,2066,3,10,9,2.310050419546042
undo,0,22,0,0,0,14,"[0, 16, 6, 9, 19, 29, 14]",7,2,"[7, 17]",63.86165444,16869,3337,1,1,9,1.8228779744230632
undo,0,22,0,0,0,7,"[0, 16, 6, 9, 19, 29, 14, 7]",8,1,[17],50.82324963,17682,813,1,0,9,1.981278197083242
undo,0,22,0,0,1,17,"[0, 16, 6, 9, 19, 29, 14, 7, 17]",9,0,[],9.205945539,19191,1509,1,0,9,1.840137026694984
undo,0,22,0,1,1,17,"[0, 16, 6, 9, 19, 29, 14, 7, 17]",9,0,[],9.205945539,23829,4638,1,0,9,1.840137026694984
undo,1,6,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,195,-1,180,4304,10,0.0
undo,1,6,0,0,0,24,"[0, 24]",2,25,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",202.7066292,18984,18789,27,234,9,1.0
undo,1,6,0,0,0,10,"[0, 24, 10]",3,21,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23, 26, 27, 29]",189.2902213,19659,675,26,178,9,1.312589882047767
undo,1,6,0,0,0,17,"[0, 24, 10, 17]",4,20,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 18, 20, 21, 22, 23, 26, 27, 29]",169.5671384,20307,648,21,99,9,1.848113977294317
undo,1,6,0,0,0,18,"[0, 24, 10, 17, 18]",5,16,"[1, 2, 3, 6, 7, 8, 13, 14, 16, 20, 21, 22, 23, 26, 27, 29]",155.6387501,21562,1255,14,52,9,2.3704031572105486
undo,1,6,0,0,0,16,"[0, 24, 10, 17, 18, 16]",6,14,"[1, 2, 3, 6, 7, 13, 14, 20, 21, 22, 23, 26, 27, 29]",132.2935151,23470,1908,10,24,9,2.3234375005798116
undo,1,6,0,0,0,29,"[0, 24, 10, 17, 18, 16, 29]",7,7,"[3, 6, 14, 21, 22, 23, 27]",95.60564243,24297,827,5,5,9,1.919047806135419
undo,1,6,0,0,0,23,"[0, 24, 10, 17, 18, 16, 29, 23]",8,2,"[6, 22]",48.08722495,25953,1656,2,0,9,1.8771256133264236
undo,1,6,0,0,1,6,"[0, 24, 10, 17, 18, 16, 29, 23, 6]",9,0,[],12.73188589,27069,1116,1,0,9,1.783620426741387
undo,1,6,0,1,1,6,"[0, 24, 10, 17, 18, 16, 29, 23, 6]",9,0,[],12.73188589,29397,2328,1,0,9,1.783620426741387
undo,2,25,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,245,-1,5,94,10,0.0
undo,2,25,0,0,0,23,"[0, 23]",2,23,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",259.7756293,6700,6455,3,33,10,1.0
undo,2,25,0,0,0,7,"[0, 23, 7]",3,16,"[1, 3, 5, 8, 9, 11, 13, 17, 19, 21, 22, 24, 26, 27, 28, 29]",181.9424744,7786,1086,1,21,9,1.0073109045884563
undo,2,25,0,0,0,24,"[0, 23, 7, 24]",4,10,"[3, 5, 8, 9, 11, 13, 19, 22, 28, 29]",157.1836376,8534,748,1,17,9,1.0161584555781231
undo,2,25,0,0,0,9,"[0, 23, 7, 24, 9]",5,8,"[3, 8, 11, 13, 19, 22, 28, 29]",139.1558812,9134,600,1,16,9,1.0303325523073676
undo,2,25,0,0,0,8,"[0, 23, 7, 24, 9, 8]",6,3,"[3, 13, 28]",88.9065031,11177,2043,4,1,8,1.055612641218378
undo,2,25,0,0,0,3,"[0, 23, 7, 24, 9, 8, 3]",7,2,"[13, 28]",49.70191153,12486,1309,2,0,8,1.351837400410144
undo,2,25,0,0,1,28,"[0, 23, 7, 24, 9, 8, 3, 28]",8,0,[],18.39695985,13210,724,1,0,8,1.3013490779110028
undo,2,25,0,1,1,28,"[0, 23, 7, 24, 9, 8, 3, 28]",8,0,[],18.39695985,14913,1703,1,0,8,1.3013490779110028
undo,3,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,198,-1,2,200,10,0.0
undo,3,36,0,0,0,16,"[0, 16]",2,12,"[2, 8, 9, 10, 12, 13, 17, 18, 19, 23, 25, 27]",193.262003,10873,10675,20,112,8,1.0
undo,3,36,0,0,0,17,"[0, 16, 17]",3,10,"[2, 9, 10, 12, 13, 18, 19, 23, 25, 27]",164.9423985,12433,1560,14,64,8,1.4289609665642613
undo,3,36,0,0,0,9,"[0, 16, 17, 9]",4,8,"[2, 10, 12, 13, 18, 19, 23, 25]",138.693589,13292,859,6,21,8,2.335567583937715
undo,3,36,0,0,0,19,"[0, 16, 17, 9, 19]",5,6,"[2, 10, 12, 13, 18, 25]",123.5608431,14294,1002,6,5,8,2.2891022786553017
undo,3,36,0,0,0,2,"[0, 16, 17, 9, 19, 2]",6,3,"[10, 13, 25]",86.43942067,15224,930,2,1,8,1.891101810711848
undo,3,36,0,0,0,25,"[0, 16, 17, 9, 19, 2, 25]",7,1,[13],61.43942067,15917,693,1,0,8,2.0836773189568087
undo,3,36,0,0,1,13,"[0, 16, 17, 9, 19, 2, 25, 13]",8,0,[],40.84816038,16562,645,1,0,8,2.642206520923964
undo,3,36,0,1,1,13,"[0, 16, 17, 9, 19, 2, 25, 13]",8,0,[],40.84816038,22517,5955,1,0,8,2.642206520923964
undo,4,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,254,-1,13,161,9,0.0
undo,4,16,0,0,0,28,"[0, 28]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",284.3475242,10302,10048,11,92,9,1.0
undo,4,16,0,0,0,17,"[0, 28, 17]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",219.1555001,12205,1903,10,46,9,1.3773866384707543
undo,4,16,0,0,0,16,"[0, 28, 17, 16]",4,25,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",190.8358956,13120,915,10,34,9,1.3209953830681203
undo,4,16,0,0,0,8,"[0, 28, 17, 16, 8]",5,12,"[3, 4, 5, 9, 12, 13, 15, 19, 20, 21, 25, 29]",142.4623491,16280,3160,6,19,9,1.2700932705506198
undo,4,16,0,0,0,20,"[0, 28, 17, 16, 8, 20]",6,6,"[4, 5, 9, 12, 15, 25]",84.6869218,18161,1881,4,4,9,1.1899382910703262
undo,4,16,0,0,0,25,"[0, 28, 17, 16, 8, 20, 25]",7,3,"[5, 9, 15]",72.03781116,18837,676,2,2,9,1.2372268181049477
undo,4,16,0,0,0,9,"[0, 28, 17, 16, 8, 20, 25, 9]",8,2,"[5, 15]",59.23156268,19336,499,2,0,9,1.221922950237529
undo,4,16,0,0,1,15,"[0, 28, 17, 16, 8, 20, 25, 9, 15]",9,0,[],20.334262,20586,1250,1,0,9,1.318239760375411
undo,4,16,0,1,1,15,"[0, 28, 17, 16, 8, 20, 25, 9, 15]",9,0,[],20.334262,23782,3196,1,0,9,1.318239760375411
undo,5,31,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,244,-1,2,87,10,0.0
undo,5,31,0,0,0,14,"[0, 14]",2,25,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.861378,5052,4808,2,59,10,1.0
undo,5,31,0,0,0,27,"[0, 14, 27]",3,22,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",235.6833724,6316,1264,1,39,10,1.5881859159302467
undo,5,31,0,0,0,8,"[0, 14, 27, 8]",4,20,"[1, 3, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",224.6380114,6900,584,1,36,10,2.1665048452331277
undo,5,31,0,0,0,18,"[0, 14, 27, 8, 18]",5,15,"[1, 5, 6, 7, 11, 12, 13, 16, 17, 19, 20, 22, 25, 28, 29]",188.7911147,8041,1141,1,26,10,1.7273375741920205
undo,5,31,0,0,0,17,"[0, 14, 27, 8, 18, 17]",6,13,"[1, 5, 6, 7, 11, 12, 13, 16, 19, 20, 22, 25, 28]",159.584951,11412,3371,1,13,10,1.551192427769927
undo,5,31,0,0,0,25,"[0, 14, 27, 8, 18, 17, 25]",7,7,"[1, 5, 11, 12, 20, 22, 28]",99.14489804,13289,1877,4,5,9,1.3923783527528582
undo,5,31,0,0,0,12,"[0, 14, 27, 8, 18, 17, 25, 12]",8,3,"[1, 20, 22]",68.55078096,13917,628,3,0,9,1.3338517222537312
undo,5,31,0,0,1,22,"[0, 14, 27, 8, 18, 17, 25, 12, 22]",9,0,[],18.06315871,14901,984,1,0,9,1.8717753474146654
undo,5,31,0,1,1,22,"[0, 14, 27, 8, 18, 17, 25, 12, 22]",9,0,[],18.06315871,17647,2746,1,0,9,1.8717753474146654
undo,6,20,0,0,0,0,[0],1,21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",300,204,-1,1,9,9,0.0
undo,6,20,0,0,0,12,"[0, 12]",2,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29]",271.5570747,3568,3364,1,8,9,1.0
