condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,25,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,484,-1,5,94,10,0.0
undo,0,25,0,0,0,23,"[0, 23]",2,23,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",259.7756293,10020,9536,3,33,10,1.0
undo,0,25,0,0,0,19,"[0, 23, 19]",3,21,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 27, 28, 29]",223.9287326,11373,1353,3,24,10,1.583101227007039
undo,0,25,0,0,0,29,"[0, 23, 19, 29]",4,19,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28]",207.649912,13052,1679,3,17,10,1.474631541426484
undo,0,25,0,0,0,22,"[0, 23, 19, 29, 22]",5,18,"[1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 24, 25, 28]",191.5253965,14463,1411,3,14,10,1.4020377754906637
undo,0,25,0,0,0,7,"[0, 23, 19, 29, 22, 7]",6,7,"[3, 8, 9, 11, 13, 24, 28]",115.8814939,21154,6691,3,11,10,1.5709678649326715
undo,0,25,0,0,0,24,"[0, 23, 19, 29, 22, 7, 24]",7,5,"[3, 8, 9, 13, 28]",91.12265712,22630,1476,3,7,10,1.486191600033379
undo,0,25,0,0,0,9,"[0, 23, 19, 29, 22, 7, 24, 9]",8,4,"[3, 8, 13, 28]",73.09490075,23825,1195,3,3,10,1.453504870342882
undo,0,25,0,0,0,3,"[0, 23, 19, 29, 22, 7, 24, 9, 3]",9,3,"[8, 13, 28]",42.82940885,26450,2625,3,0,10,1.388955167525479
undo,0,25,0,0,1,28,"[0, 23, 19, 29, 22, 7, 24, 9, 3, 28]",10,0,[],11.52445716,27921,1471,1,0,10,1.3331084120212044
undo,0,25,0,1,1,28,"[0, 23, 19, 29, 22, 7, 24, 9, 3, 28]",10,0,[],11.52445716,30035,2114,1,0,10,1.3331084120212044
undo,1,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,392,-1,34,427,10,0.0
undo,1,3,0,0,0,7,"[0, 7]",2,28,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",278.8103799,5093,4701,24,215,10,1.0
undo,1,3,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,6814,1721,34,427,10,0.0
undo,1,3,0,0,0,8,"[0, 8]",2,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",239.9666759,11578,4764,1,54,10,1.0
undo,1,3,0,0,0,24,"[0, 8, 24]",3,23,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",227.8011509,12839,1261,1,50,10,1.2267083825981846
undo,1,3,0,0,0,17,"[0, 8, 24, 17]",4,11,"[3, 4, 7, 10, 14, 15, 16, 19, 20, 21, 27]",158.4469873,14194,1355,1,18,10,1.3836579788002414
undo,1,3,0,0,0,20,"[0, 8, 24, 17, 20]",5,9,"[3, 4, 7, 10, 14, 15, 16, 19, 21]",145.7978767,15961,1767,1,14,10,1.3620097615632467
undo,1,3,0,0,0,3,"[0, 8, 24, 17, 20, 3]",6,5,"[4, 10, 14, 19, 21]",125.4017986,17487,1526,1,11,10,1.3956695218398405
undo,1,3,0,0,0,14,"[0, 8, 24, 17, 20, 3, 14]",7,4,"[4, 10, 19, 21]",79.91553697,19483,1996,3,2,9,1.709990368717013
undo,1,3,0,0,0,19,"[0, 8, 24, 17, 20, 3, 14, 19]",8,1,[21],52.98971293,21060,1577,1,0,9,1.673732706152295
undo,1,3,0,0,1,21,"[0, 8, 24, 17, 20, 3, 14, 19, 21]",9,0,[],40.78315731,22875,1815,1,0,9,1.685751509942779
undo,1,3,0,1,1,21,"[0, 8, 24, 17, 20, 3, 14, 19, 21]",9,0,[],40.78315731,26997,4122,1,0,9,1.685751509942779
undo,2,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,433,-1,3,136,10,0.0
undo,2,18,0,0,0,28,"[0, 28]",2,16,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",236.4311397,5099,4666,2,19,10,1.0
undo,2,18,0,0,0,7,"[0, 28, 7]",3,15,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",214.4084242,6210,1111,2,17,10,1.4345180696367563
undo,2,18,0,0,0,25,"[0, 28, 7, 25]",4,13,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 26, 27]",186.6055466,7557,1347,2,15,10,1.8896451241781882
undo,2,18,0,0,0,8,"[0, 28, 7, 25, 8]",5,10,"[3, 5, 9, 12, 13, 14, 16, 23, 26, 27]",149.551532,10207,2650,2,10,10,1.590467437592877
undo,2,18,0,0,0,13,"[0, 28, 7, 25, 8, 13]",6,9,"[3, 5, 9, 12, 14, 16, 23, 26, 27]",128.4565089,11959,1752,2,5,10,1.8248274983549797
undo,2,18,0,0,0,14,"[0, 28, 7, 25, 8, 13, 14]",7,7,"[3, 5, 9, 12, 23, 26, 27]",109.4828429,13095,1136,2,3,10,1.6993534956692746
undo,2,18,0,0,0,3,"[0, 28, 7, 25, 8, 13, 14, 3]",8,3,"[5, 12, 27]",79.39962499,14190,1095,2,1,10,1.802637206541468
undo,2,18,0,0,0,5,"[0, 28, 7, 25, 8, 13, 14, 3, 5]",9,1,[12],21.21887216,18204,4014,1,0,10,1.559774889743805
undo,2,18,0,0,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,19588,1384,1,0,10,1.563993037384447
undo,2,18,0,1,1,12,"[0, 28, 7, 25, 8, 13, 14, 3, 5, 12]",10,0,[],9.817117911,21237,1649,1,0,10,1.563993037384447
undo,3,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,412,-1,6,248,10,0.0
undo,3,45,0,0,0,17,"[0, 17]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 29]",235.867325,5971,5559,1,34,10,1.0
undo,3,45,0,0,0,24,"[0, 17, 24]",3,20,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 29]",193.8078433,7740,1769,1,33,10,1.0309432256229287
undo,3,45,0,0,0,7,"[0, 17, 24, 7]",4,18,"[1, 2, 3, 4, 5, 6, 9, 10, 12, 14, 15, 16, 19, 20, 21, 22, 23, 29]",159.3985423,8955,1215,1,32,10,1.059763151913087
undo,3,45,0,0,0,2,"[0, 17, 24, 7, 2]",5,12,"[3, 4, 6, 10, 12, 14, 16, 19, 20, 22, 23, 29]",121.3853866,12692,3737,1,23,10,1.0656581932115423
undo,3,45,0,0,0,3,"[0, 17, 24, 7, 2, 3]",6,8,"[6, 10, 12, 14, 16, 20, 22, 29]",96.06740884,15995,3303,1,13,10,1.1368250049574795
