condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,144,-1,8,157,10,0.0
undo,0,14,0,0,0,18,"[0, 18]",2,17,"[1, 2, 3, 4, 7, 8, 9, 13, 15, 17, 19, 20, 22, 23, 25, 26, 28]",179.8958785,2937,2793,18,136,9,1.0
undo,0,14,0,0,0,8,"[0, 18, 8]",3,13,"[1, 2, 4, 7, 13, 15, 17, 19, 20, 23, 25, 26, 28]",166.294408,3609,672,18,99,9,1.0203858410107731
undo,0,14,0,0,0,1,"[0, 18, 8, 1]",4,10,"[2, 4, 7, 15, 17, 19, 23, 25, 26, 28]",142.6935606,4332,723,11,42,9,1.0173392374431458
undo,0,14,0,0,0,19,"[0, 18, 8, 1, 19]",5,9,"[2, 4, 7, 15, 17, 23, 25, 26, 28]",127.4620143,6257,1925,11,22,9,1.1668364376922102
undo,0,14,0,0,0,25,"[0, 18, 8, 1, 19, 25]",6,5,"[2, 4, 7, 23, 26]",91.61511768,9457,3200,5,7,9,1.273103293863789
undo,0,14,0,0,0,7,"[0, 18, 8, 1, 19, 25, 7]",7,4,"[2, 4, 23, 26]",71.91740208,11047,1590,2,2,9,1.3059971565497175
undo,0,14,0,0,0,23,"[0, 18, 8, 1, 19, 25, 7, 23]",8,1,[26],34.80945145,16918,5871,1,0,9,1.4108075818506876
undo,0,14,0,0,1,26,"[0, 18, 8, 1, 19, 25, 7, 23, 26]",9,0,[],23.99279762,18812,1894,1,0,9,1.3911752305399343
undo,0,14,0,1,1,26,"[0, 18, 8, 1, 19, 25, 7, 23, 26]",9,0,[],23.99279762,20022,1210,1,0,9,1.3911752305399343
undo,1,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,148,-1,2,182,10,0.0
