condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,144,-1,6,74,7,0.0
undo,0,1,0,0,0,14,"[0, 14]",2,19,"[1, 4, 5, 8, 9, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",200.1901808,9783,9639,5,42,7,1.0
undo,0,1,0,0,0,20,"[0, 14, 20]",3,8,"[1, 4, 5, 8, 17, 18, 19, 29]",107.5349058,10879,1096,3,6,6,1.1318930635390845
undo,0,1,0,0,0,5,"[0, 14, 20, 5]",4,3,"[4, 18, 29]",86.06399521,11988,1109,2,2,6,1.1422313843984317
undo,0,1,0,0,0,18,"[0, 14, 20, 5, 18]",5,2,"[4, 29]",63.23857079,13195,1207,2,0,6,1.1754181498166683
undo,0,1,0,0,1,4,"[0, 14, 20, 5, 18, 4]",6,0,[],24.2898866,15248,2053,1,0,6,1.1682212432106793
undo,0,1,0,1,1,4,"[0, 14, 20, 5, 18, 4]",6,0,[],24.2898866,16907,1659,1,0,6,1.1682212432106793
undo,1,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,165,-1,2,32,9,0.0
undo,1,12,0,0,0,6,"[0, 6]",2,28,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",283.5987805,11349,11184,2,18,9,1.0
undo,1,12,0,0,0,21,"[0, 6, 21]",3,8,"[1, 3, 5, 9, 11, 15, 17, 18]",131.7534645,14321,2972,2,8,7,1.0284586776415474
undo,1,12,0,0,0,18,"[0, 6, 21, 18]",4,7,"[1, 3, 5, 9, 11, 15, 17]",115.4746439,15232,911,1,4,7,1.2294861824177323
undo,1,12,0,0,0,15,"[0, 6, 21, 18, 15]",5,3,"[1, 11, 17]",61.71592369,17249,2017,1,2,7,1.2610447610821491
undo,1,12,0,0,0,17,"[0, 6, 21, 18, 15, 17]",6,1,[11],45.22350118,18382,1133,1,0,7,1.3054480077975943
undo,1,12,0,0,1,11,"[0, 6, 21, 18, 15, 17, 11]",7,0,[],1.80691449,20217,1835,1,0,7,1.250398137790006
undo,1,12,0,1,1,11,"[0, 6, 21, 18, 15, 17, 11]",7,0,[],1.80691449,21892,1675,1,0,7,1.250398137790006
undo,2,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,154,-1,16,556,12,0.0
undo,2,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,4965,4811,16,520,12,1.0
undo,2,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,6838,1873,15,422,12,1.082311746871282
undo,2,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,8221,1383,15,389,12,1.215201926898219
undo,2,43,0,0,0,25,"[0, 29, 20, 16, 25]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 19, 22, 23]",175.7708124,10799,2578,53,282,11,1.566384303308987
undo,2,43,0,0,0,15,"[0, 29, 20, 16, 25, 15]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23]",153.0992443,12525,1726,27,108,11,1.776736412604812
undo,2,43,0,0,0,12,"[0, 29, 20, 16, 25, 15, 12]",7,10,"[1, 3, 6, 7, 9, 11, 14, 19, 22, 23]",133.7860364,13923,1398,21,41,11,1.6813323012225032
undo,2,43,0,0,0,3,"[0, 29, 20, 16, 25, 15, 12, 3]",8,9,"[1, 6, 7, 9, 11, 14, 19, 22, 23]",120.7860364,15286,1363,20,12,11,1.608740348096123
undo,2,43,0,0,0,22,"[0, 29, 20, 16, 25, 15, 12, 3, 22]",9,6,"[1, 6, 7, 11, 14, 19]",86.07292644,18469,3183,9,2,11,1.793657891802588
undo,2,43,0,0,0,19,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19]",10,3,"[1, 6, 7]",65.45739831,19781,1312,3,0,11,1.6882745891803936
undo,2,43,0,0,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,21182,1401,1,0,11,1.825064866046553
undo,2,43,0,1,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,24225,3043,1,0,11,1.825064866046553
undo,3,3,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,147,-1,34,427,10,0.0
undo,3,3,0,0,0,8,"[0, 8]",2,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",239.9666759,9344,9197,1,54,10,1.0
undo,3,3,0,0,0,24,"[0, 8, 24]",3,23,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",227.8011509,11020,1676,1,50,10,1.2267083825981846
undo,3,3,0,0,0,17,"[0, 8, 24, 17]",4,11,"[3, 4, 7, 10, 14, 15, 16, 19, 20, 21, 27]",158.4469873,13418,2398,1,18,10,1.3836579788002414
undo,3,3,0,0,0,20,"[0, 8, 24, 17, 20]",5,9,"[3, 4, 7, 10, 14, 15, 16, 19, 21]",145.7978767,14538,1120,1,14,10,1.3620097615632467
undo,3,3,0,0,0,3,"[0, 8, 24, 17, 20, 3]",6,5,"[4, 10, 14, 19, 21]",125.4017986,16097,1559,1,11,10,1.3956695218398405
undo,3,3,0,0,0,19,"[0, 8, 24, 17, 20, 3, 19]",7,4,"[4, 10, 14, 21]",88.06548922,17328,1231,1,4,10,1.4360605238855817
undo,3,3,0,0,0,21,"[0, 8, 24, 17, 20, 3, 19, 21]",8,2,"[10, 14]",75.85893361,18544,1216,1,1,10,1.4576450248605066
