condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,33,0,0,0,0,[0],1,23,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",300,251,-1,5,108,9,0.0
undo,0,33,0,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,12637,12386,21,129,8,1.0
undo,0,33,0,0,0,13,"[0, 21, 13]",3,15,"[2, 5, 7, 8, 11, 14, 16, 17, 18, 19, 20, 24, 26, 28, 29]",148.0604038,14951,2314,17,72,8,1.0001005298764474
undo,0,33,0,0,0,19,"[0, 21, 13, 19]",4,11,"[7, 11, 14, 16, 17, 18, 20, 24, 26, 28, 29]",122.5653063,16600,1649,10,27,8,1.0588446738393702
undo,0,33,0,0,0,24,"[0, 21, 13, 19, 24]",5,7,"[7, 14, 16, 18, 26, 28, 29]",80.51771417,17688,1088,3,5,8,1.078006777679028
undo,0,33,0,0,0,7,"[0, 21, 13, 19, 24, 7]",6,3,"[14, 26, 29]",51.31155044,19121,1433,3,1,8,1.1669985062633954
undo,0,33,0,0,0,14,"[0, 21, 13, 19, 24, 7, 14]",7,2,"[26, 29]",36.44548169,20499,1378,2,0,8,1.2148465775488593
undo,0,33,1,0,0,7,"[0, 21, 13, 19, 24, 7]",6,3,"[14, 26, 29]",51.31155044,28304,7805,3,1,8,1.1669985062633954
undo,0,33,1,0,0,24,"[0, 21, 13, 19, 24]",5,7,"[7, 14, 16, 18, 26, 28, 29]",80.51771417,28804,500,3,5,8,1.078006777679028
undo,0,33,1,0,0,19,"[0, 21, 13, 19]",4,11,"[7, 11, 14, 16, 17, 18, 20, 24, 26, 28, 29]",122.5653063,29287,483,10,27,8,1.0588446738393702
undo,0,33,1,0,0,13,"[0, 21, 13]",3,15,"[2, 5, 7, 8, 11, 14, 16, 17, 18, 19, 20, 24, 26, 28, 29]",148.0604038,29954,667,17,72,8,1.0001005298764474
undo,0,33,0,0,0,17,"[0, 21, 13, 17]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",125.2568953,40045,10091,6,21,8,1.0965005103980894
undo,0,33,0,0,0,19,"[0, 21, 13, 17, 19]",5,6,"[7, 14, 16, 24, 26, 29]",81.32513005,41399,1354,1,6,8,1.3049461552347723
undo,0,33,0,0,0,24,"[0, 21, 13, 17, 19, 24]",6,1,[7],39.27753797,42329,930,1,0,7,1.2805615728788176
undo,0,33,1,0,0,19,"[0, 21, 13, 17, 19]",5,6,"[7, 14, 16, 24, 26, 29]",81.32513005,49817,7488,1,6,8,1.3049461552347723
undo,0,33,1,0,0,17,"[0, 21, 13, 17]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",125.2568953,50150,333,6,21,8,1.0965005103980894
undo,0,33,1,0,0,13,"[0, 21, 13]",3,15,"[2, 5, 7, 8, 11, 14, 16, 17, 18, 19, 20, 24, 26, 28, 29]",148.0604038,50783,633,17,72,8,1.0001005298764474
undo,0,33,1,0,0,21,"[0, 21]",2,17,"[2, 5, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 24, 26, 27, 28, 29]",174.4611614,52700,1917,21,129,8,1.0
undo,0,33,0,0,0,17,"[0, 21, 17]",3,12,"[2, 7, 11, 13, 14, 16, 18, 19, 20, 24, 26, 29]",135.8218032,53780,1080,3,35,8,1.0302064673538902
undo,0,33,0,0,0,13,"[0, 21, 17, 13]",4,10,"[2, 7, 11, 14, 16, 19, 20, 24, 26, 29]",113.0182947,54475,695,3,18,8,1.2307555582916028
undo,0,33,0,0,0,19,"[0, 21, 17, 13, 19]",5,6,"[7, 14, 16, 24, 26, 29]",87.52319715,55710,1235,3,6,8,1.267959080158969
undo,0,33,0,0,0,24,"[0, 21, 17, 13, 19, 24]",6,2,"[7, 14]",45.47560506,57045,1335,1,1,8,1.2501192148258107
undo,0,33,0,0,0,7,"[0, 21, 17, 13, 19, 24, 7]",7,1,[14],16.26944133,58376,1331,1,0,8,1.3314375425758662
undo,0,33,0,0,1,14,"[0, 21, 17, 13, 19, 24, 7, 14]",8,0,[],1.403372582,60108,1732,1,0,8,1.37637211918224
undo,0,33,0,1,1,14,"[0, 21, 17, 13, 19, 24, 7, 14]",8,0,[],1.403372582,62381,2273,1,0,8,1.37637211918224
undo,1,0,0,0,0,0,[0],1,27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,315,-1,104,1136,9,0.0
