condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,163,-1,2,96,9,0.0
undo,0,28,0,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,26934,26771,1,64,9,1.0
undo,0,28,0,0,0,14,"[0, 3, 14]",3,13,"[1, 2, 5, 7, 10, 11, 12, 13, 17, 18, 19, 20, 26]",142.7396498,28156,1222,19,59,8,1.0338694802207566
undo,0,28,0,0,0,18,"[0, 3, 14, 18]",4,10,"[1, 2, 5, 7, 11, 12, 13, 17, 19, 26]",117.2445523,28744,588,18,18,8,1.098527225277385
undo,0,28,0,0,0,13,"[0, 3, 14, 18, 13]",5,7,"[2, 7, 11, 12, 17, 19, 26]",92.83144103,29601,857,8,6,8,1.0872780601597938
undo,0,28,0,0,0,12,"[0, 3, 14, 18, 13, 12]",6,3,"[2, 7, 19]",75.6267905,30585,984,3,1,8,1.0890748557820906
undo,0,28,0,0,0,7,"[0, 3, 14, 18, 13, 12, 7]",7,2,"[2, 19]",62.47384406,31092,507,2,0,8,1.2125627495730145
undo,0,28,0,0,1,19,"[0, 3, 14, 18, 13, 12, 7, 19]",8,0,[],34.74299481,31958,866,1,0,8,1.4527925513951803
undo,0,28,1,0,0,7,"[0, 3, 14, 18, 13, 12, 7]",7,2,"[2, 19]",62.47384406,36983,5025,2,0,8,1.2125627495730145
undo,0,28,1,0,0,12,"[0, 3, 14, 18, 13, 12]",6,3,"[2, 7, 19]",75.6267905,37333,350,3,1,8,1.0890748557820906
undo,0,28,1,0,0,13,"[0, 3, 14, 18, 13]",5,7,"[2, 7, 11, 12, 17, 19, 26]",92.83144103,37533,200,8,6,8,1.0872780601597938
undo,0,28,1,0,0,18,"[0, 3, 14, 18]",4,10,"[1, 2, 5, 7, 11, 12, 13, 17, 19, 26]",117.2445523,37768,235,18,18,8,1.098527225277385
undo,0,28,1,0,0,14,"[0, 3, 14]",3,13,"[1, 2, 5, 7, 10, 11, 12, 13, 17, 18, 19, 20, 26]",142.7396498,38002,234,19,59,8,1.0338694802207566
undo,0,28,1,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,38369,367,1,64,9,1.0
undo,0,28,0,0,0,5,"[0, 3, 5]",3,20,"[2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 23, 25, 26, 28, 29]",166.9865166,48864,10495,1,34,9,1.0203769473612083
undo,0,28,0,0,0,26,"[0, 3, 5, 26]",4,13,"[2, 4, 7, 8, 9, 12, 13, 14, 18, 19, 20, 25, 28]",134.2298379,49399,535,1,28,9,1.0315203228799597
undo,0,28,0,0,0,19,"[0, 3, 5, 26, 19]",5,7,"[2, 7, 9, 12, 13, 14, 18]",93.22983789,51983,2584,1,17,9,1.1324645362297356
undo,0,28,0,0,0,7,"[0, 3, 5, 26, 19, 7]",6,5,"[2, 12, 13, 14, 18]",65.49898864,52703,720,1,6,9,1.1971194919020265
undo,0,28,0,0,0,12,"[0, 3, 5, 26, 19, 7, 12]",7,2,"[13, 18]",52.3460422,53334,631,1,1,9,1.2020762147848982
undo,0,28,0,0,0,13,"[0, 3, 5, 26, 19, 7, 12, 13]",8,1,[18],35.14139167,54148,814,1,0,9,1.39005144078531
undo,0,28,0,0,1,18,"[0, 3, 5, 26, 19, 7, 12, 13, 18]",9,0,[],10.72828044,55822,1674,1,0,9,1.738787343626007
undo,0,28,0,1,1,18,"[0, 3, 5, 26, 19, 7, 12, 13, 18]",9,0,[],10.72828044,60627,4805,1,0,9,1.738787343626007
undo,1,8,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,157,-1,10,149,9,0.0
undo,1,8,0,0,0,25,"[0, 25]",2,22,"[1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",230.992754,10653,10496,26,209,8,1.0
undo,1,8,0,0,0,1,"[0, 25, 1]",3,18,"[3, 4, 5, 6, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 29]",205.992754,11388,735,14,91,8,1.008733440965848
undo,1,8,0,0,0,23,"[0, 25, 1, 23]",4,16,"[3, 4, 5, 6, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 28, 29]",182.9710251,12105,717,9,47,8,1.0070385748869022
undo,1,8,0,0,0,18,"[0, 25, 1, 23, 18]",5,11,"[3, 4, 5, 11, 14, 15, 16, 17, 21, 24, 28]",141.2097991,12952,847,4,20,8,1.2012681423254592
undo,1,8,0,0,0,14,"[0, 25, 1, 23, 18, 14]",6,4,"[5, 11, 17, 28]",83.72066969,14976,2024,1,3,8,2.5313580934293256
undo,1,8,0,0,0,17,"[0, 25, 1, 23, 18, 14, 17]",7,1,[11],46.70715865,15757,781,1,0,8,2.319010387383878
undo,1,8,0,0,1,11,"[0, 25, 1, 23, 18, 14, 17, 11]",8,0,[],21.52780202,16473,716,1,0,8,2.1270438046767053
undo,1,8,1,0,0,17,"[0, 25, 1, 23, 18, 14, 17]",7,1,[11],46.70715865,18432,1959,1,0,8,2.319010387383878
undo,1,8,1,0,0,14,"[0, 25, 1, 23, 18, 14]",6,4,"[5, 11, 17, 28]",83.72066969,18666,234,1,3,8,2.5313580934293256
undo,1,8,1,0,0,18,"[0, 25, 1, 23, 18]",5,11,"[3, 4, 5, 11, 14, 15, 16, 17, 21, 24, 28]",141.2097991,18952,286,4,20,8,1.2012681423254592
undo,1,8,1,0,0,23,"[0, 25, 1, 23]",4,16,"[3, 4, 5, 6, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 28, 29]",182.9710251,19183,231,9,47,8,1.0070385748869022
undo,1,8,1,0,0,1,"[0, 25, 1]",3,18,"[3, 4, 5, 6, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 29]",205.992754,19450,267,14,91,8,1.008733440965848
undo,1,8,1,0,0,25,"[0, 25]",2,22,"[1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",230.992754,19686,236,26,209,8,1.0
undo,1,8,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,19972,286,10,149,9,0.0
undo,1,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,21213,1241,10,100,9,1.0
undo,1,8,0,0,0,14,"[0, 5, 14]",3,20,"[1, 2, 3, 4, 6, 7, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",214.5512559,22080,867,4,36,9,1.0001019035932595
undo,1,8,0,0,0,17,"[0, 5, 14, 17]",4,15,"[1, 4, 6, 7, 11, 15, 16, 18, 19, 20, 22, 23, 24, 25, 28]",177.5377449,24675,2595,4,16,9,1.121197267659591
undo,1,8,0,0,0,11,"[0, 5, 14, 17, 11]",5,11,"[1, 4, 15, 16, 18, 19, 22, 23, 24, 25, 28]",152.3583883,25166,491,4,8,9,1.1277254166016362
undo,1,8,0,0,0,24,"[0, 5, 14, 17, 11, 24]",6,3,"[15, 16, 28]",115.1428001,26430,1264,2,2,9,1.1227411011978805
undo,1,8,0,0,0,15,"[0, 5, 14, 17, 11, 24, 15]",7,2,"[16, 28]",98.37974552,27495,1065,2,0,9,1.1956385406066814
undo,1,8,0,0,0,16,"[0, 5, 14, 17, 11, 24, 15, 16]",8,1,[28],47.30137436,28480,985,1,0,9,1.36482239111247
undo,1,8,0,0,1,28,"[0, 5, 14, 17, 11, 24, 15, 16, 28]",9,0,[],24.94069458,29446,966,1,0,9,1.632953105226947
undo,1,8,1,0,0,16,"[0, 5, 14, 17, 11, 24, 15, 16]",8,1,[28],47.30137436,32190,2744,1,0,9,1.36482239111247
undo,1,8,1,0,0,15,"[0, 5, 14, 17, 11, 24, 15]",7,2,"[16, 28]",98.37974552,32392,202,2,0,9,1.1956385406066814
undo,1,8,1,0,0,24,"[0, 5, 14, 17, 11, 24]",6,3,"[15, 16, 28]",115.1428001,32592,200,2,2,9,1.1227411011978805
undo,1,8,1,0,0,11,"[0, 5, 14, 17, 11]",5,11,"[1, 4, 15, 16, 18, 19, 22, 23, 24, 25, 28]",152.3583883,32774,182,4,8,9,1.1277254166016362
undo,1,8,1,0,0,17,"[0, 5, 14, 17]",4,15,"[1, 4, 6, 7, 11, 15, 16, 18, 19, 20, 22, 23, 24, 25, 28]",177.5377449,33011,237,4,16,9,1.121197267659591
undo,1,8,1,0,0,14,"[0, 5, 14]",3,20,"[1, 2, 3, 4, 6, 7, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",214.5512559,33226,215,4,36,9,1.0001019035932595
undo,1,8,1,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,33441,215,10,100,9,1.0
undo,1,8,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,33740,299,10,149,9,0.0
undo,1,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,37218,3478,10,100,9,1.0
undo,1,8,0,0,0,25,"[0, 5, 25]",3,20,"[1, 2, 3, 4, 6, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",215.3091468,38339,1121,4,42,9,1.2272747879909065
undo,1,8,0,0,0,14,"[0, 5, 25, 14]",4,16,"[1, 3, 4, 6, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28]",170.2092576,41751,3412,1,13,9,1.5190857385933465
undo,1,8,0,0,0,17,"[0, 5, 25, 14, 17]",5,9,"[1, 4, 11, 15, 16, 18, 23, 24, 28]",133.1957466,42434,683,1,9,9,1.5271682935559303
undo,1,8,0,0,0,11,"[0, 5, 25, 14, 17, 11]",6,5,"[15, 16, 18, 24, 28]",108.01639,43472,1038,1,6,9,1.4664212485560129
undo,1,8,0,0,0,24,"[0, 5, 25, 14, 17, 11, 24]",7,2,"[15, 16]",70.80080183,44272,800,1,1,9,1.3920548417170795
undo,1,8,0,0,0,15,"[0, 5, 25, 14, 17, 11, 24, 15]",8,1,[16],54.03774722,46319,2047,1,0,9,1.4585932832823736
undo,1,8,1,0,0,24,"[0, 5, 25, 14, 17, 11, 24]",7,2,"[15, 16]",70.80080183,47280,961,1,1,9,1.3920548417170795
undo,1,8,1,0,0,11,"[0, 5, 25, 14, 17, 11]",6,5,"[15, 16, 18, 24, 28]",108.01639,47514,234,1,6,9,1.4664212485560129
undo,1,8,1,0,0,17,"[0, 5, 25, 14, 17]",5,9,"[1, 4, 11, 15, 16, 18, 23, 24, 28]",133.1957466,47732,218,1,9,9,1.5271682935559303
undo,1,8,1,0,0,14,"[0, 5, 25, 14]",4,16,"[1, 3, 4, 6, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28]",170.2092576,47931,199,1,13,9,1.5190857385933465
undo,1,8,1,0,0,25,"[0, 5, 25]",3,20,"[1, 2, 3, 4, 6, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",215.3091468,48166,235,4,42,9,1.2272747879909065
undo,1,8,1,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,48498,332,10,100,9,1.0
undo,1,8,0,0,0,14,"[0, 5, 14]",3,20,"[1, 2, 3, 4, 6, 7, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29]",214.5512559,49498,1000,4,36,9,1.0001019035932595
undo,1,8,0,0,0,17,"[0, 5, 14, 17]",4,15,"[1, 4, 6, 7, 11, 15, 16, 18, 19, 20, 22, 23, 24, 25, 28]",177.5377449,50010,512,4,16,9,1.121197267659591
undo,1,8,0,0,0,11,"[0, 5, 14, 17, 11]",5,11,"[1, 4, 15, 16, 18, 19, 22, 23, 24, 25, 28]",152.3583883,50573,563,4,8,9,1.1277254166016362
