condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,44,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,196,-1,13,126,7,0.0
undo,0,44,0,0,0,8,"[0, 8]",2,17,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 20, 21, 23, 24, 25, 27]",145.7923478,10189,9993,1,10,7,1.0
undo,0,44,0,0,0,20,"[0, 8, 20]",3,16,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 21, 23, 24, 25, 27]",133.7093018,11002,813,1,9,7,1.0890794433668698
undo,0,44,0,0,0,9,"[0, 8, 20, 9]",4,7,"[4, 7, 11, 12, 14, 23, 24]",76.43801756,12365,1363,1,6,7,1.40892325509949
undo,0,44,0,0,0,4,"[0, 8, 20, 9, 4]",5,4,"[7, 12, 23, 24]",56.74030196,13526,1161,1,3,7,1.3849770570803555
undo,0,44,0,0,0,7,"[0, 8, 20, 9, 4, 7]",6,1,[23],25.72417712,14432,906,1,0,7,1.3274380931474288
undo,0,44,0,0,1,23,"[0, 8, 20, 9, 4, 7, 23]",7,0,[],6.619203947,15332,900,1,0,7,1.3395824779823196
undo,0,44,0,1,1,23,"[0, 8, 20, 9, 4, 7, 23]",7,0,[],6.619203947,16972,1640,1,0,7,1.3395824779823196
undo,1,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,187,-1,5,236,11,0.0
undo,1,35,0,0,0,24,"[0, 24]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",268.9838752,3331,3144,49,512,10,1.0
undo,1,35,0,0,0,17,"[0, 24, 17]",3,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",257.2791753,4183,852,33,238,10,1.0771477201815276
undo,1,35,0,0,0,1,"[0, 24, 17, 1]",4,25,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",241.4677869,5049,866,26,151,10,1.2244804141479215
undo,1,35,0,0,0,23,"[0, 24, 17, 1, 23]",5,14,"[2, 4, 5, 6, 9, 15, 18, 19, 20, 25, 26, 27, 28, 29]",182.9442874,6427,1378,25,33,9,1.1009726708851126
undo,1,35,0,0,0,9,"[0, 24, 17, 1, 23, 9]",6,8,"[5, 6, 15, 18, 19, 25, 27, 28]",145.3012269,9216,2789,7,6,9,1.376147155000847
undo,1,35,0,0,0,18,"[0, 24, 17, 1, 23, 9, 18]",7,5,"[5, 6, 15, 19, 25]",125.2762426,10167,951,3,3,9,1.3583304940000351
undo,1,35,0,0,0,6,"[0, 24, 17, 1, 23, 9, 18, 6]",8,2,"[5, 25]",91.66076992,11883,1716,2,0,9,1.3777073111858877
undo,1,35,0,0,1,25,"[0, 24, 17, 1, 23, 9, 18, 6, 25]",9,0,[],67.63994563,12749,866,1,0,9,1.4348408117538762
undo,1,35,0,1,1,25,"[0, 24, 17, 1, 23, 9, 18, 6, 25]",9,0,[],67.63994563,14707,1958,1,0,9,1.4348408117538762
undo,2,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,203,-1,2,182,10,0.0
undo,2,9,0,0,0,8,"[0, 8]",2,25,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",236.2191251,4789,4586,2,102,9,1.0
undo,2,9,0,0,0,28,"[0, 8, 28]",3,23,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",225.4024713,5631,842,2,52,9,1.0043219354187498
undo,2,9,0,0,0,26,"[0, 8, 28, 26]",4,22,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27]",180.6252449,6571,940,2,14,9,1.0218284416881065
undo,2,9,0,0,0,18,"[0, 8, 28, 26, 18]",5,13,"[1, 3, 5, 6, 9, 13, 15, 16, 19, 20, 21, 23, 24]",119.7483199,8422,1851,2,6,9,1.0343247703783052
undo,2,9,0,0,0,5,"[0, 8, 28, 26, 18, 5]",6,3,"[1, 13, 24]",55.85778854,9767,1345,2,4,9,1.0965846847367935
undo,2,9,0,0,0,13,"[0, 8, 28, 26, 18, 5, 13]",7,2,"[1, 24]",40.59345102,11038,1271,2,0,9,1.1139896497149246
undo,2,9,0,0,0,24,"[0, 8, 28, 26, 18, 5, 13, 24]",8,1,[1],23.10059533,12024,986,1,0,9,1.1088313254366502
undo,2,9,0,0,1,1,"[0, 8, 28, 26, 18, 5, 13, 24, 1]",9,0,[],2.100595335,13019,995,1,0,9,1.2171433313097024
undo,2,9,0,1,1,1,"[0, 8, 28, 26, 18, 5, 13, 24, 1]",9,0,[],2.100595335,14678,1659,1,0,9,1.2171433313097024
undo,3,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,181,-1,9,226,9,0.0
undo,3,26,0,0,0,10,"[0, 10]",2,6,"[4, 6, 14, 16, 17, 29]",138.1822012,6255,6074,9,66,7,1.0
undo,3,26,0,0,0,6,"[0, 10, 6]",3,5,"[4, 14, 16, 17, 29]",108.9076389,7206,951,8,23,7,1.1897813099332413
undo,3,26,0,0,0,14,"[0, 10, 6, 14]",4,4,"[4, 16, 17, 29]",87.88384285,7889,683,4,6,7,1.3162481558218453
undo,3,26,0,0,0,17,"[0, 10, 6, 14, 17]",5,3,"[4, 16, 29]",65.41163779,8759,870,3,1,7,1.6510075497064465
undo,3,26,0,0,0,4,"[0, 10, 6, 14, 17, 4]",6,1,[29],44.31661468,9557,798,1,0,7,2.1095586782058087
undo,3,26,0,0,1,29,"[0, 10, 6, 14, 17, 4, 29]",7,0,[],20.31661468,10371,814,1,0,7,2.288952413143475
undo,3,26,1,0,0,4,"[0, 10, 6, 14, 17, 4]",6,1,[29],44.31661468,13810,3439,1,0,7,2.1095586782058087
undo,3,26,1,0,0,17,"[0, 10, 6, 14, 17]",5,3,"[4, 16, 29]",65.41163779,14627,817,3,1,7,1.6510075497064465
undo,3,26,1,0,0,14,"[0, 10, 6, 14]",4,4,"[4, 16, 17, 29]",87.88384285,15143,516,4,6,7,1.3162481558218453
undo,3,26,1,0,0,6,"[0, 10, 6]",3,5,"[4, 14, 16, 17, 29]",108.9076389,15560,417,8,23,7,1.1897813099332413
undo,3,26,1,0,0,10,"[0, 10]",2,6,"[4, 6, 14, 16, 17, 29]",138.1822012,15911,351,9,66,7,1.0
undo,3,26,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,16127,216,9,226,9,0.0
undo,3,26,0,0,0,4,"[0, 4]",2,13,"[5, 6, 10, 12, 13, 14, 16, 17, 19, 21, 23, 26, 29]",178.7976898,17606,1479,4,118,8,1.0
