condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,28,0,0,0,0,[0],1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,227,-1,2,96,9,0.0
basic,0,28,0,0,0,3,"[0, 3]",2,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",251.0817008,5256,5029,1,64,9,1.0
basic,0,28,0,0,0,20,"[0, 3, 20]",3,20,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 26, 28]",209.7416475,6068,812,2,29,8,1.6703057504555512
basic,0,28,0,0,0,15,"[0, 3, 20, 15]",4,10,"[5, 6, 8, 9, 10, 16, 22, 23, 26, 28]",157.2440286,7090,1022,1,6,7,1.4376587969564578
basic,0,28,0,0,0,5,"[0, 3, 20, 15, 5]",5,1,[26],51.3148069,8783,1693,1,0,6,1.9077211700878633
basic,0,28,0,0,1,26,"[0, 3, 20, 15, 5, 26]",6,0,[],18.55812819,9885,1102,1,0,6,1.7512983446699026
basic,0,28,0,1,1,26,"[0, 3, 20, 15, 5, 26]",6,0,[],18.55812819,11682,1797,1,0,6,1.7512983446699026
basic,1,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,168,-1,6,168,10,0.0
basic,1,37,0,0,0,18,"[0, 18]",2,19,"[1, 2, 4, 6, 7, 9, 10, 12, 14, 15, 17, 19, 20, 21, 22, 23, 26, 28, 29]",202.4090168,4534,4366,6,89,10,1.0
basic,1,37,0,0,0,22,"[0, 18, 22]",3,9,"[1, 2, 4, 7, 15, 19, 20, 21, 26]",136.9720242,6043,1509,15,58,9,1.001057447339584
basic,1,37,0,0,0,4,"[0, 18, 22, 4]",4,8,"[1, 2, 7, 15, 19, 20, 21, 26]",111.9720242,7917,1874,8,28,9,1.1568597805027683
