condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,37,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,144,-1,6,168,10,0.0
basic,0,37,0,0,0,9,"[0, 9]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",275.7925631,5059,4915,45,289,9,1.0
basic,0,37,0,0,0,18,"[0, 9, 18]",3,15,"[1, 2, 4, 6, 7, 10, 15, 17, 19, 20, 21, 22, 26, 28, 29]",172.2068498,6419,1360,33,160,9,1.3094770236215172
basic,0,37,0,0,0,7,"[0, 9, 18, 7]",4,9,"[1, 2, 4, 15, 19, 20, 21, 22, 26]",145.0406944,7517,1098,17,59,9,1.293395038406712
basic,0,37,0,0,0,22,"[0, 9, 18, 7, 22]",5,7,"[1, 2, 4, 15, 19, 20, 21]",95.04069441,8586,1069,6,17,9,1.2585327043140475
basic,0,37,0,0,0,4,"[0, 9, 18, 7, 22, 4]",6,5,"[1, 2, 15, 20, 21]",70.04069441,9688,1102,4,7,9,1.4148462251829255
basic,0,37,0,0,0,2,"[0, 9, 18, 7, 22, 4, 2]",7,3,"[1, 15, 20]",58.63894016,10645,957,2,2,9,1.5965980495342236
basic,0,37,0,0,0,1,"[0, 9, 18, 7, 22, 4, 2, 1]",8,2,"[15, 20]",41.43428963,11542,897,2,0,9,1.6331913686535429
basic,0,37,0,0,1,15,"[0, 9, 18, 7, 22, 4, 2, 1, 15]",9,0,[],1.471807221,12898,1356,1,0,9,1.7940707213212848
basic,0,37,0,1,1,15,"[0, 9, 18, 7, 22, 4, 2, 1, 15]",9,0,[],1.471807221,14809,1911,1,0,9,1.7940707213212848
basic,1,32,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,146,-1,17,359,10,0.0
basic,1,32,0,0,0,19,"[0, 19]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",283.5075775,2591,2445,16,294,10,1.0
basic,1,32,0,0,0,13,"[0, 19, 13]",3,24,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]",260.3127505,3532,941,14,227,10,1.0172874229878615
basic,1,32,0,0,0,15,"[0, 19, 13, 15]",4,18,"[2, 3, 5, 8, 9, 10, 11, 12, 16, 17, 20, 22, 23, 24, 25, 26, 27, 28]",177.4393531,6075,2543,9,116,10,1.435447391509833
