condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,13,161,9,0.0
undo,0,16,0,0,0,28,"[0, 28]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",284.3475242,5473,5358,11,92,9,1.0
undo,0,16,0,0,0,17,"[0, 28, 17]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",219.1555001,6675,1202,10,46,9,1.3773866384707543
undo,0,16,0,0,0,16,"[0, 28, 17, 16]",4,25,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",190.8358956,7466,791,10,34,9,1.3209953830681203
undo,0,16,0,0,0,21,"[0, 28, 17, 16, 21]",5,13,"[3, 5, 7, 8, 9, 10, 12, 15, 20, 22, 25, 26, 29]",146.1816685,8598,1132,4,7,9,1.8136482702070456
undo,0,16,0,0,0,8,"[0, 28, 17, 16, 21, 8]",6,6,"[5, 9, 12, 15, 20, 25]",96.92722704,9865,1267,4,2,9,1.637204572335983
undo,0,16,0,0,0,20,"[0, 28, 17, 16, 21, 8, 20]",7,2,"[9, 25]",39.15179974,10955,1090,2,0,9,1.441590377328759
undo,0,16,0,0,0,25,"[0, 28, 17, 16, 21, 8, 20, 25]",8,1,[9],26.5026891,11825,870,1,0,9,1.484361110265371
undo,0,16,0,0,1,9,"[0, 28, 17, 16, 21, 8, 20, 25, 9]",9,0,[],13.69644062,12553,728,1,0,9,1.4530180692918209
undo,0,16,0,1,1,9,"[0, 28, 17, 16, 21, 8, 20, 25, 9]",9,0,[],13.69644062,14376,1823,1,0,9,1.4530180692918209
undo,1,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,148,-1,84,830,9,0.0
undo,1,21,0,0,0,25,"[0, 25]",2,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29]",240.1836143,4594,4446,30,238,9,1.0
undo,1,21,0,0,0,23,"[0, 25, 23]",3,21,"[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 24, 27, 29]",196.8592562,5225,631,14,80,9,1.0416131642057598
undo,1,21,0,0,0,21,"[0, 25, 23, 21]",4,14,"[1, 4, 6, 8, 9, 14, 15, 16, 17, 18, 20, 22, 24, 29]",167.2450705,6177,952,10,25,9,1.4768792067751173
undo,1,21,0,0,0,14,"[0, 25, 23, 21, 14]",5,10,"[4, 8, 9, 15, 16, 17, 18, 22, 24, 29]",141.6325735,7010,833,8,13,9,1.3826076066332742
undo,1,21,0,0,0,4,"[0, 25, 23, 21, 14, 4]",6,7,"[8, 15, 16, 17, 18, 24, 29]",127.4904379,7700,690,8,3,9,1.3487191473328533
undo,1,21,0,0,0,16,"[0, 25, 23, 21, 14, 4, 16]",7,3,"[8, 15, 24]",82.89223163,9312,1612,4,1,9,1.3301484172843694
undo,1,21,0,0,0,8,"[0, 25, 23, 21, 14, 4, 16, 8]",8,2,"[15, 24]",64.2911564,10375,1063,2,0,9,1.3009886562393016
undo,1,21,0,0,1,15,"[0, 25, 23, 21, 14, 4, 16, 8, 15]",9,0,[],39.2911564,11320,945,1,0,9,1.5486591410600183
undo,1,21,0,1,1,15,"[0, 25, 23, 21, 14, 4, 16, 8, 15]",9,0,[],39.2911564,12547,1227,1,0,9,1.5486591410600183
undo,2,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,116,-1,1,30,10,0.0
undo,2,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,4330,4214,8,104,9,1.0
undo,2,39,0,0,0,12,"[0, 29, 12]",3,18,"[1, 2, 4, 5, 7, 9, 10, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26, 28]",182.5221931,5339,1009,5,54,9,1.0026200331524904
undo,2,39,0,0,0,10,"[0, 29, 12, 10]",4,16,"[1, 2, 4, 5, 7, 9, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26]",147.0116313,6213,874,5,34,9,1.2874817019928908
undo,2,39,0,0,0,7,"[0, 29, 12, 10, 7]",5,10,"[1, 2, 5, 13, 16, 18, 19, 22, 24, 26]",113.5900814,7260,1047,4,12,9,1.2250826263866774
undo,2,39,0,0,0,26,"[0, 29, 12, 10, 7, 26]",6,5,"[1, 16, 18, 19, 22]",94.90853971,8010,750,3,4,9,1.2697275353190085
undo,2,39,0,0,0,22,"[0, 29, 12, 10, 7, 26, 22]",7,2,"[16, 19]",77.18849457,8507,497,2,0,9,1.438961743955176
undo,2,39,0,0,0,16,"[0, 29, 12, 10, 7, 26, 22, 16]",8,1,[19],42.18849457,9894,1387,1,0,9,1.3580882130477205
undo,2,39,0,0,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,10626,732,1,0,9,1.3646589157842668
undo,2,39,0,1,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,11252,626,1,0,9,1.3646589157842668
undo,3,24,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,4,76,10,0.0
undo,3,24,0,0,0,14,"[0, 14]",2,27,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",278.0455016,7004,6889,4,54,10,1.0
undo,3,24,0,0,0,2,"[0, 14, 2]",3,15,"[4, 6, 8, 10, 15, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29]",229.9414477,8829,1825,35,48,7,1.4963765161513798
undo,3,24,0,0,0,10,"[0, 14, 2, 10]",4,8,"[6, 8, 15, 16, 20, 22, 24, 29]",147.1767209,9884,1055,8,10,7,2.171258406361039
undo,3,24,0,0,0,24,"[0, 14, 2, 10, 24]",5,2,"[6, 20]",93.83817952,10959,1075,2,0,6,1.7201068500559236
undo,3,24,0,0,1,6,"[0, 14, 2, 10, 24, 6]",6,0,[],56.50187011,11953,994,1,0,6,2.133569351426306
undo,3,24,1,0,0,24,"[0, 14, 2, 10, 24]",5,2,"[6, 20]",93.83817952,13361,1408,2,0,6,1.7201068500559236
undo,3,24,1,0,0,10,"[0, 14, 2, 10]",4,8,"[6, 8, 15, 16, 20, 22, 24, 29]",147.1767209,13560,199,8,10,7,2.171258406361039
undo,3,24,1,0,0,2,"[0, 14, 2]",3,15,"[4, 6, 8, 10, 15, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29]",229.9414477,13710,150,35,48,7,1.4963765161513798
undo,3,24,1,0,0,14,"[0, 14]",2,27,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",278.0455016,13894,184,4,54,10,1.0
undo,3,24,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,14076,182,4,76,10,0.0
