condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,152,-1,84,830,9,0.0
undo,0,21,0,0,0,25,"[0, 25]",2,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29]",240.1836143,7957,7805,30,238,9,1.0
undo,0,21,0,0,0,21,"[0, 25, 21]",3,18,"[1, 3, 4, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20, 22, 23, 24, 29]",190.8480288,11628,3671,15,84,9,1.2142997420204755
undo,0,21,0,0,0,14,"[0, 25, 21, 14]",4,14,"[1, 4, 6, 8, 9, 15, 16, 17, 18, 20, 22, 23, 24, 29]",165.2355318,12422,794,5,37,9,1.1765448423019491
undo,0,21,0,0,0,4,"[0, 25, 21, 14, 4]",5,10,"[8, 9, 15, 16, 17, 18, 22, 23, 24, 29]",151.0933962,13199,777,3,20,9,1.1641858298437302
undo,0,21,0,0,0,16,"[0, 25, 21, 14, 4, 16]",6,5,"[8, 15, 17, 23, 24]",106.4951899,16756,3557,1,5,9,1.1855407976594248
undo,0,21,0,0,0,8,"[0, 25, 21, 14, 4, 16, 8]",7,3,"[15, 23, 24]",87.8941147,17443,687,1,2,9,1.1707127593616282
undo,0,21,0,0,0,15,"[0, 25, 21, 14, 4, 16, 8, 15]",8,1,[24],62.8941147,18458,1015,1,0,9,1.4084531679038648
undo,0,21,0,0,1,24,"[0, 25, 21, 14, 4, 16, 8, 15, 24]",9,0,[],17.18853517,19627,1169,1,0,9,1.4220252128555146
undo,0,21,0,1,1,24,"[0, 25, 21, 14, 4, 16, 8, 15, 24]",9,0,[],17.18853517,20283,656,1,0,9,1.4220252128555146
undo,1,31,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,148,-1,2,87,10,0.0
undo,1,31,0,0,0,14,"[0, 14]",2,25,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",263.861378,12967,12819,2,59,10,1.0
undo,1,31,0,0,0,27,"[0, 14, 27]",3,22,"[1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",235.6833724,13891,924,1,39,10,1.5881859159302467
undo,1,31,0,0,0,8,"[0, 14, 27, 8]",4,20,"[1, 3, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29]",224.6380114,14580,689,1,36,10,2.1665048452331277
undo,1,31,0,0,0,18,"[0, 14, 27, 8, 18]",5,15,"[1, 5, 6, 7, 11, 12, 13, 16, 17, 19, 20, 22, 25, 28, 29]",188.7911147,16372,1792,1,26,10,1.7273375741920205
